Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,4e-06,21.337645,[14  4] ; [17 62],[ 5.75257732 12.24742268] ; [25.24742268 53.75257732],1
s7,1,0.005597,7.675659,[ 6 10] ; [ 7 63],[ 2.41860465 13.58139535] ; [10.58139535 59.41860465],0
u3,1,0.012133,6.291379,[7 1] ; [10 17],[3.88571429 4.11428571] ; [13.11428571 13.88571429],0
s8,1,0.015904,5.813457,[ 4 14] ; [ 4 76],[ 1.46938776 16.53061224] ; [ 6.53061224 73.46938776],0
p10,1,0.020605,5.359878,[12  5] ; [31 47],[7.69473684 9.30526316] ; [35.30526316 42.69473684],0
u1,1,0.038898,4.265308,[ 3 15] ; [ 3 77],[ 1.10204082 16.89795918] ; [ 4.89795918 75.10204082],0
v4,1,0.061525,3.495798,[16  2] ; [52 26],[12.75  5.25] ; [55.25 22.75],0
s4,1,0.062273,3.475783,[ 4 14] ; [ 6 74],[ 1.83673469 16.16326531] ; [ 8.16326531 71.83673469],0
r2,1,0.096477,2.762842,[17  1] ; [61 18],[14.4742268  3.5257732] ; [63.5257732 15.4742268],0
p6,1,0.099525,2.713146,[ 5 12] ; [10 66],[ 2.74193548 14.25806452] ; [12.25806452 63.74193548],0
n2,1,0.115895,2.471932,[5 1] ; [15 16],[3.24324324 2.75675676] ; [16.75675676 14.24324324],0
d4,1,0.123151,2.37678,[15  3] ; [51 28],[12.24742268  5.75257732] ; [53.75257732 25.24742268],0
v3,1,0.148358,2.089052,[ 7 11] ; [17 59],[ 4.59574468 13.40425532] ; [19.40425532 56.59574468],0
r3,1,0.155357,2.018848,[15  3] ; [53 27],[12.48979592  5.51020408] ; [55.51020408 24.48979592],0
v1,1,0.174292,1.845633,[8 9] ; [24 56],[ 5.60824742 11.39175258] ; [26.39175258 53.60824742],0
a4,1,0.212872,1.551784,[ 5 13] ; [35 45],[ 7.34693878 10.65306122] ; [32.65306122 47.34693878],0
p9,1,0.214095,1.543516,[11  6] ; [38 41],[8.67708333 8.32291667] ; [40.32291667 38.67708333],0
d5,1,0.284522,1.145364,[10  8] ; [55 25],[11.93877551  6.06122449] ; [53.06122449 26.93877551],0
a7,1,0.289189,1.123394,[13  5] ; [47 33],[11.02040816  6.97959184] ; [48.97959184 31.02040816],0
a8,1,0.323936,0.97299,[ 2 15] ; [ 4 72],[ 1.09677419 15.90322581] ; [ 4.90322581 71.09677419],0
a2,1,0.337942,0.918222,[ 1 17] ; [11 69],[ 2.20408163 15.79591837] ; [ 9.79591837 70.20408163],0
a3,1,0.354713,0.856526,[10  8] ; [53 26],[11.69072165  6.30927835] ; [51.30927835 27.69072165],0
p11,1,0.417501,0.657339,[10  8] ; [36 44],[8.44897959 9.55102041] ; [37.55102041 42.44897959],0
r4,1,0.418252,0.65522,[12  6] ; [45 35],[10.46938776  7.53061224] ; [46.53061224 33.46938776],0
s5,1,0.443855,0.586295,[ 2 15] ; [ 5 73],[ 1.25263158 15.74736842] ; [ 5.74736842 72.25263158],0
d3,1,0.479384,0.500264,[11  7] ; [41 38],[9.64948454 8.35051546] ; [42.35051546 36.64948454],0
b5,1,0.507726,0.438751,[11  7] ; [42 38],[9.73469388 8.26530612] ; [43.26530612 36.73469388],0
p7,1,0.529901,0.394581,[7 9] ; [28 51],[ 5.89473684 10.10526316] ; [29.10526316 49.89473684],0
d1,1,0.558008,0.343165,[ 5 13] ; [28 52],[ 6.06122449 11.93877551] ; [26.93877551 53.06122449],0
b1,1,0.570509,0.321832,[11  7] ; [43 37],[9.91836735 8.08163265] ; [44.08163265 35.91836735],0
a6,1,0.584831,0.298489,[10  8] ; [50 30],[11.02040816  6.97959184] ; [48.97959184 31.02040816],0
u2,1,0.595416,0.281966,[5 3] ; [14 13],[4.34285714 3.65714286] ; [14.65714286 12.34285714],0
s1,1,0.624557,0.239515,[ 2 16] ; [ 6 73],[ 1.48453608 16.51546392] ; [ 6.51546392 72.48453608],0
b4,1,0.636883,0.222842,[11  7] ; [44 36],[10.10204082  7.89795918] ; [44.89795918 35.10204082],0
a1,1,0.654715,0.200008,[ 1 17] ; [ 7 73],[ 1.46938776 16.53061224] ; [ 6.53061224 73.46938776],0
p3,1,0.663969,0.188738,[ 5 12] ; [19 59],[ 4.29473684 12.70526316] ; [19.70526316 58.29473684],0
d2,1,0.668424,0.183451,[ 6 12] ; [31 49],[ 6.79591837 11.20408163] ; [30.20408163 49.79591837],0
n3,1,0.714219,0.1341,[4 2] ; [17 12],[3.6 2.4] ; [17.4 11.6],0
n5,1,0.747764,0.10342,[ 7 11] ; [34 45],[ 7.60824742 10.39175258] ; [33.39175258 45.60824742],0
p4,1,0.749029,0.102349,[ 5 12] ; [20 58],[ 4.47368421 12.52631579] ; [20.52631579 57.47368421],0
p8,1,0.773402,0.082902,[ 4 13] ; [21 57],[ 4.47368421 12.52631579] ; [20.52631579 57.47368421],0
v2,1,0.831837,0.045091,[ 6 12] ; [27 48],[ 6.38709677 11.61290323] ; [26.61290323 48.38709677],0
n4,1,0.923639,0.009188,[9 9] ; [41 39],[9.18367347 8.81632653] ; [40.81632653 39.18367347],0
a5,1,0.957219,0.002878,[10  8] ; [45 35],[10.10204082  7.89795918] ; [44.89795918 35.10204082],0
p2,1,0.977491,0.000796,[9 8] ; [41 37],[8.94736842 8.05263158] ; [41.05263158 36.94736842],0
r1,1,0.991282,0.000119,[11  7] ; [49 31],[11.02040816  6.97959184] ; [48.97959184 31.02040816],0
n1,1,1.0,0.0,[2 3] ; [12 18],[2. 3.] ; [12. 18.],0
