Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,3e-06,21.596349,[ 1 28] ; [20 14],[ 9.66666667 19.33333333] ; [11.33333333 22.66666667],1
d4,1,4e-06,21.503695,[ 8 21] ; [29  5],[17.03174603 11.96825397] ; [19.96825397 14.03174603],1
d3,1,0.000194,13.891486,[ 6 23] ; [23 11],[13.34920635 15.65079365] ; [15.65079365 18.34920635],1
a5,1,0.000744,11.37666,[ 9 20] ; [25  9],[15.65079365 13.34920635] ; [18.34920635 15.65079365],1
u3,1,0.003619,8.465608,[ 1 14] ; [6 4],[ 4.2 10.8] ; [2.8 7.2],0
a7,1,0.005557,7.688641,[ 7 22] ; [20 14],[12.42857143 16.57142857] ; [14.57142857 19.42857143],0
a4,1,0.012112,6.294358,[ 5 23] ; [16 17],[ 9.63934426 18.36065574] ; [11.36065574 21.63934426],0
d2,1,0.017486,5.646921,[ 8 21] ; [19 14],[12.62903226 16.37096774] ; [14.37096774 18.62903226],0
a6,1,0.03086,4.660758,[10 19] ; [21 13],[14.26984127 14.73015873] ; [16.73015873 17.26984127],0
v2,1,0.052331,3.765171,[ 1 26] ; [ 7 27],[ 3.54098361 23.45901639] ; [ 4.45901639 29.54098361],0
a2,1,0.073876,3.194726,[ 1 28] ; [ 6 28],[ 3.22222222 25.77777778] ; [ 3.77777778 30.22222222],0
v4,1,0.11351,2.504665,[13 16] ; [22 12],[16.11111111 12.88888889] ; [18.88888889 15.11111111],0
u2,1,0.115184,2.481618,[ 3 12] ; [5 5],[ 4.8 10.2] ; [3.2 6.8],0
p5,1,0.130176,2.290401,[ 1 27] ; [ 5 28],[ 2.75409836 25.24590164] ; [ 3.24590164 29.75409836],0
a3,1,0.133681,2.249224,[14 13] ; [24 10],[16.81967213 10.18032787] ; [21.18032787 12.81967213],0
p2,1,0.147149,2.10156,[14 15] ; [10 23],[11.22580645 17.77419355] ; [12.77419355 20.22580645],0
b5,1,0.155038,2.021971,[11 18] ; [19 15],[13.80952381 15.19047619] ; [16.19047619 17.80952381],0
r2,1,0.173544,1.852061,[17 12] ; [24  8],[19.49180328  9.50819672] ; [21.50819672 10.49180328],0
