Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.3e-05,18.939412,[1 2] ; [57  2],[2.80645161 0.19354839] ; [55.19354839  3.80645161],1
n4,1,1.3e-05,18.939412,[1 2] ; [57  2],[2.80645161 0.19354839] ; [55.19354839  3.80645161],1
r4,1,0.000133,14.602478,[1 2] ; [56  3],[2.75806452 0.24193548] ; [54.24193548  4.75806452],1
s7,1,0.004833,7.940848,[1 2] ; [52  6],[2.60655738 0.39344262] ; [50.39344262  7.60655738],0
r3,1,0.018386,5.559003,[2 1] ; [57  2],[2.85483871 0.14516129] ; [56.14516129  2.85483871],0
p8,1,0.022973,5.170569,[1 2] ; [50  9],[2.46774194 0.53225806] ; [48.53225806 10.46774194],0
p3,1,0.035737,4.40961,[1 2] ; [48 10],[2.40983607 0.59016393] ; [46.59016393 11.40983607],0
a3,1,0.061187,3.50491,[1 2] ; [47 12],[2.32258065 0.67741935] ; [45.67741935 13.32258065],0
s8,1,0.064809,3.409845,[1 2] ; [46 12],[2.31147541 0.68852459] ; [44.68852459 13.31147541],0
p4,1,0.103593,2.649343,[2 1] ; [54  4],[2.75409836 0.24590164] ; [53.24590164  4.75409836],0
p2,1,0.2162,1.529415,[2 1] ; [53  6],[2.66129032 0.33870968] ; [52.33870968  6.66129032],0
r1,1,0.279226,1.170852,[2 1] ; [52  7],[2.61290323 0.38709677] ; [51.38709677  7.61290323],0
v3,1,0.387797,0.745838,[1 2] ; [34 24],[1.72131148 1.27868852] ; [33.27868852 24.72131148],0
s2,1,0.406237,0.689787,[2 1] ; [50  9],[2.51612903 0.48387097] ; [49.48387097  9.51612903],0
v2,1,0.45919,0.547868,[1 2] ; [32 26],[1.62295082 1.37704918] ; [31.37704918 26.62295082],0
p11,1,0.468669,0.525112,[2 1] ; [49 10],[2.46774194 0.53225806] ; [48.53225806 10.46774194],0
b4,1,0.516041,0.421798,[1 2] ; [31 28],[1.5483871 1.4516129] ; [30.4516129 28.5483871],0
a4,1,0.632442,0.228763,[1 2] ; [28 31],[1.40322581 1.59677419] ; [27.59677419 31.40322581],0
u3,1,0.648807,0.207407,[1 1] ; [8 4],[1.28571429 0.71428571] ; [7.71428571 4.28571429],0
a6,1,0.65415,0.200708,[2 1] ; [31 27],[1.62295082 1.37704918] ; [31.37704918 26.62295082],0
d2,1,0.695916,0.152756,[2 1] ; [32 26],[1.67213115 1.32786885] ; [32.32786885 25.67213115],0
n1,1,0.69627,0.152381,[1 1] ; [9 5],[1.25 0.75] ; [8.75 5.25],0
b1,1,0.756925,0.095804,[1 2] ; [25 34],[1.25806452 1.74193548] ; [24.74193548 34.25806452],0
d3,1,0.774221,0.082288,[2 1] ; [43 15],[2.21311475 0.78688525] ; [42.78688525 15.21311475],0
v1,1,0.828605,0.046868,[2 1] ; [42 16],[2.16393443 0.83606557] ; [41.83606557 16.16393443],0
b2,1,0.877111,0.023911,[1 1] ; [20 25],[0.89361702 1.10638298] ; [20.10638298 24.89361702],0
b3,1,0.877111,0.023911,[1 1] ; [20 25],[0.89361702 1.10638298] ; [20.10638298 24.89361702],0
a5,1,0.917542,0.010719,[2 1] ; [41 18],[2.08064516 0.91935484] ; [40.91935484 18.08064516],0
p12,1,0.917542,0.010719,[1 2] ; [18 41],[0.91935484 2.08064516] ; [18.08064516 40.91935484],0
s5,1,0.929573,0.007811,[2 1] ; [38 17],[2.06896552 0.93103448] ; [37.93103448 17.06896552],0
u2,1,1.0,0.0,[1 1] ; [6 6],[1. 1.] ; [6. 6.],0
