Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,4e-06,21.158332,[ 3 25] ; [17  6],[10.98039216 17.01960784] ; [ 9.01960784 13.98039216],1
p2,1,0.000308,13.023088,[ 4 24] ; [14  8],[10.08 17.92] ; [ 7.92 14.08],1
p11,1,0.000497,12.126359,[ 7 21] ; [17  6],[13.17647059 14.82352941] ; [10.82352941 12.17647059],1
r3,1,0.003813,8.370908,[12 16] ; [19  4],[17.01960784 10.98039216] ; [13.98039216  9.01960784],0
n2,1,0.005039,7.865327,[ 3 13] ; [5 1],[ 5.81818182 10.18181818] ; [2.18181818 3.81818182],0
n1,1,0.028887,4.774306,[ 5 11] ; [5 1],[7.27272727 8.72727273] ; [2.72727273 3.27272727],0
d5,1,0.03779,4.314431,[14 14] ; [18  5],[17.56862745 10.43137255] ; [14.43137255  8.56862745],0
a8,1,0.044604,4.033537,[ 2 26] ; [ 6 15],[ 4.57142857 23.42857143] ; [ 3.42857143 17.57142857],0
r4,1,0.0457,3.992624,[ 5 23] ; [10 13],[ 8.23529412 19.76470588] ; [ 6.76470588 16.23529412],0
s8,1,0.06416,3.426459,[ 2 26] ; [ 6 17],[ 4.39215686 23.60784314] ; [ 3.60784314 19.39215686],0
s6,1,0.070633,3.268239,[ 6 22] ; [10 12],[ 8.96 19.04] ; [ 7.04 14.96],0
p3,1,0.085963,2.948399,[ 4 24] ; [ 8 15],[ 6.58823529 21.41176471] ; [ 5.41176471 17.58823529],0
d4,1,0.087726,2.915606,[17 11] ; [19  4],[19.76470588  8.23529412] ; [16.23529412  6.76470588],0
s3,1,0.0997,2.710333,[ 9 18] ; [13 10],[11.88 15.12] ; [10.12 12.88],0
a5,1,0.111406,2.534161,[12 16] ; [15  8],[14.82352941 13.17647059] ; [12.17647059 10.82352941],0
p6,1,0.127432,2.323513,[ 2 25] ; [ 5 17],[ 3.85714286 23.14285714] ; [ 3.14285714 18.85714286],0
a3,1,0.141868,2.157577,[12 15] ; [15  8],[14.58 12.42] ; [12.42 10.58],0
n6,1,0.155969,2.012882,[11 16] ; [14  9],[13.5 13.5] ; [11.5 11.5],0
p7,1,0.167419,1.905901,[ 6 22] ; [ 9 14],[ 8.23529412 19.76470588] ; [ 6.76470588 16.23529412],0
p4,1,0.167419,1.905901,[ 6 22] ; [ 9 14],[ 8.23529412 19.76470588] ; [ 6.76470588 16.23529412],0
v2,1,0.167419,1.905901,[ 6 22] ; [ 9 14],[ 8.23529412 19.76470588] ; [ 6.76470588 16.23529412],0
p5,1,0.225026,1.47203,[ 1 26] ; [ 3 20],[ 2.16 24.84] ; [ 1.84 21.16],0
a1,1,0.235004,1.410316,[ 4 24] ; [ 1 22],[ 2.74509804 25.25490196] ; [ 2.25490196 20.74509804],0
s5,1,0.254451,1.298701,[ 4 24] ; [ 6 16],[ 5.6 22.4] ; [ 4.4 17.6],0
p8,1,0.281825,1.158266,[ 4 23] ; [ 6 16],[ 5.51020408 21.48979592] ; [ 4.48979592 17.51020408],0
b4,1,0.319765,0.989907,[17 11] ; [17  6],[18.66666667  9.33333333] ; [15.33333333  7.66666667],0
d3,1,0.357363,0.847139,[11 17] ; [12 11],[12.62745098 15.37254902] ; [10.37254902 12.62745098],0
a6,1,0.357363,0.847139,[11 17] ; [12 11],[12.62745098 15.37254902] ; [10.37254902 12.62745098],0
s2,1,0.477062,0.505572,[ 5 23] ; [ 6 17],[ 6.03921569 21.96078431] ; [ 4.96078431 18.03921569],0
b5,1,0.507142,0.439959,[12 16] ; [12 11],[13.17647059 14.82352941] ; [10.82352941 12.17647059],0
n4,1,0.510443,0.433159,[17 11] ; [16  7],[18.11764706  9.88235294] ; [14.88235294  8.11764706],0
u2,1,0.525358,0.403361,[ 4 12] ; [3 5],[ 4.66666667 11.33333333] ; [2.33333333 5.66666667],0
b2,1,0.529651,0.395062,[ 7 11] ; [7 7],[ 7.875 10.125] ; [6.125 7.875],0
b3,1,0.529651,0.395062,[ 7 11] ; [7 7],[ 7.875 10.125] ; [6.125 7.875],0
s4,1,0.537537,0.380124,[ 4 24] ; [ 2 21],[ 3.29411765 24.70588235] ; [ 2.70588235 20.29411765],0
d1,1,0.540031,0.375482,[11 17] ; [11 12],[12.07843137 15.92156863] ; [ 9.92156863 13.07843137],0
r1,1,0.556739,0.345382,[12 16] ; [ 8 15],[10.98039216 17.01960784] ; [ 9.01960784 13.98039216],0
b1,1,0.642429,0.21558,[14 14] ; [13 10],[14.82352941 13.17647059] ; [12.17647059 10.82352941],0
a2,1,0.672939,0.178183,[ 2 26] ; [ 1 22],[ 1.64705882 26.35294118] ; [ 1.35294118 21.64705882],0
a4,1,0.697051,0.151558,[ 8 19] ; [ 8 15],[ 8.64 18.36] ; [ 7.36 15.64],0
s7,1,0.739735,0.11036,[ 4 22] ; [ 4 17],[ 4.42553191 21.57446809] ; [ 3.57446809 17.42553191],0
r2,1,0.740157,0.109989,[16 11] ; [12 10],[15.42857143 11.57142857] ; [12.57142857  9.42857143],0
n5,1,0.740667,0.109541,[17 11] ; [15  8],[17.56862745 10.43137255] ; [14.43137255  8.56862745],0
d2,1,0.7766,0.080515,[14 13] ; [11 12],[13.5 13.5] ; [11.5 11.5],0
p12,1,0.861499,0.030438,[ 1 27] ; [ 1 21],[ 1.12 26.88] ; [ 0.88 21.12],0
p1,1,0.897928,0.016456,[ 4 24] ; [ 3 20],[ 3.84313725 24.15686275] ; [ 3.15686275 19.84313725],0
a7,1,0.920746,0.009899,[13 15] ; [11 12],[13.17647059 14.82352941] ; [10.82352941 12.17647059],0
v3,1,0.947628,0.004315,[ 4 24] ; [ 3 19],[ 3.92 24.08] ; [ 3.08 18.92],0
u3,1,1.0,0.0,[ 2 14] ; [1 7],[ 2. 14.] ; [1. 7.],0
