Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,27.475307,[13 68] ; [16  6],[22.80582524 58.19417476] ; [ 6.19417476 15.80582524],1
s5,1,1.1e-05,19.397214,[ 7 78] ; [10 11],[13.63207547 71.36792453] ; [ 3.36792453 17.63207547],1
s6,1,1.2e-05,19.164648,[24 65] ; [17  5],[32.87387387 56.12612613] ; [ 8.12612613 13.87387387],1
s2,1,0.000139,14.516545,[21 68] ; [15  8],[28.60714286 60.39285714] ; [ 7.39285714 15.60714286],1
v1,1,0.000196,13.867118,[28 60] ; [16  5],[35.52293578 52.47706422] ; [ 8.47706422 12.52293578],1
p9,1,0.001119,10.62019,[41 45] ; [19  3],[47.77777778 38.22222222] ; [12.22222222  9.77777778],0
p10,1,0.001557,10.01046,[34 52] ; [17  5],[40.61111111 45.38888889] ; [10.38888889 11.61111111],0
u3,1,0.006434,7.424471,[12 20] ; [8 1],[15.6097561 16.3902439] ; [4.3902439 4.6097561],0
s3,1,0.006477,7.412476,[37 51] ; [17  6],[42.81081081 45.18918919] ; [11.18918919 11.81081081],0
p11,1,0.009434,6.738783,[35 54] ; [16  7],[40.52678571 48.47321429] ; [10.47321429 12.52678571],0
r4,1,0.012398,6.253009,[48 41] ; [19  4],[53.24107143 35.75892857] ; [13.75892857  9.24107143],0
r3,1,0.020947,5.331185,[59 29] ; [21  2],[63.42342342 24.57657658] ; [16.57657658  6.42342342],0
p6,1,0.036884,4.355777,[ 8 76] ; [ 6 17],[10.99065421 73.00934579] ; [ 3.00934579 19.99065421],0
p8,1,0.05294,3.745815,[17 69] ; [ 9 14],[20.51376147 65.48623853] ; [ 5.48623853 17.51376147],0
s4,1,0.053495,3.728401,[12 77] ; [ 7 16],[15.09821429 73.90178571] ; [ 3.90178571 19.09821429],0
u2,1,0.054974,3.682864,[16 16] ; [7 1],[18.4 13.6] ; [4.6 3.4],0
d5,1,0.055885,3.655467,[54 34] ; [19  4],[57.87387387 30.12612613] ; [15.12612613  7.87387387],0
d4,1,0.069588,3.292717,[59 28] ; [20  3],[62.48181818 24.51818182] ; [16.51818182  6.48181818],0
n2,1,0.073279,3.207999,[21 16] ; [8 1],[23.32608696 13.67391304] ; [5.67391304 3.32608696],0
n1,1,0.079124,3.082807,[11 26] ; [5 3],[13.15555556 23.84444444] ; [2.84444444 5.15555556],0
v2,1,0.09148,2.848135,[27 56] ; [11 10],[30.32692308 52.67307692] ; [ 7.67307692 13.32692308],0
p2,1,0.102814,2.661334,[45 44] ; [16  7],[48.47321429 40.52678571] ; [12.52678571 10.47321429],0
r1,1,0.139579,2.182592,[55 34] ; [18  5],[58.00892857 30.99107143] ; [14.99107143  8.00892857],0
n4,1,0.17302,1.85658,[49 40] ; [ 9 14],[46.08928571 42.91071429] ; [11.91071429 11.08928571],0
