Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5.6e-05,16.218419,[48 34] ; [121  25],[60.78070175 21.21929825] ; [108.21929825  37.78070175],1
s3,1,8.1e-05,15.532524,[43 41] ; [111  34],[56.48908297 27.51091703] ; [97.51091703 47.48908297],1
p9,1,0.000168,14.15855,[60 22] ; [133  12],[69.71806167 12.28193833] ; [123.28193833  21.71806167],1
s2,1,0.00018,14.031175,[37 47] ; [101  45],[50.4 33.6] ; [87.6 58.4],1
v4,1,0.010274,6.586779,[75  8] ; [142   3],[78.99561404  4.00438596] ; [138.00438596   6.99561404],0
p10,1,0.029472,4.739831,[62 21] ; [125  20],[68.0745614 14.9254386] ; [118.9254386  26.0745614],0
a7,1,0.039926,4.221015,[65 19] ; [94 52],[58.06956522 25.93043478] ; [100.93043478  45.06956522],0
n5,1,0.058463,3.580453,[60 23] ; [121  25],[65.60262009 17.39737991] ; [115.39737991  30.60262009],0
p11,1,0.075028,3.169439,[62 22] ; [122  24],[67.2 16.8] ; [116.8  29.2],0
u4,1,0.106276,2.60875,[ 1 83] ; [  8 138],[ 3.28695652 80.71304348] ; [  5.71304348 140.28695652],0
p6,1,0.116833,2.459267,[25 57] ; [59 85],[30.47787611 51.52212389] ; [53.52212389 90.47787611],0
r4,1,0.159646,1.977579,[70 14] ; [131  15],[73.40869565 10.59130435] ; [127.59130435  18.40869565],0
b5,1,0.160042,1.973828,[45 39] ; [92 54],[50.03478261 33.96521739] ; [86.96521739 59.03478261],0
p12,1,0.168097,1.899837,[ 3 80] ; [ 12 132],[ 5.4845815 77.5154185] ; [  9.5154185 134.4845815],0
n6,1,0.177417,1.819128,[68 15] ; [129  17],[71.40174672 11.59825328] ; [125.59825328  20.40174672],0
p5,1,0.191972,1.702417,[ 6 78] ; [ 18 124],[ 8.92035398 75.07964602] ; [ 15.07964602 126.92035398],0
b3,1,0.214233,1.542589,[19 38] ; [48 63],[22.73214286 34.26785714] ; [44.26785714 66.73214286],0
b2,1,0.214233,1.542589,[19 38] ; [48 63],[22.73214286 34.26785714] ; [44.26785714 66.73214286],0
a2,1,0.228656,1.4492,[25 59] ; [ 33 113],[21.1826087 62.8173913] ; [ 36.8173913 109.1826087],0
b1,1,0.231242,1.433206,[39 45] ; [56 90],[34.69565217 49.30434783] ; [60.30434783 85.69565217],0
p3,1,0.255688,1.291954,[39 44] ; [80 66],[43.13100437 39.86899563] ; [75.86899563 70.13100437],0
v3,1,0.286737,1.13488,[31 50] ; [63 75],[34.76712329 46.23287671] ; [59.23287671 78.76712329],0
v1,1,0.311335,1.025004,[40 41] ; [79 61],[43.61538462 37.38461538] ; [75.38461538 64.61538462],0
u3,1,0.3175,0.999216,[13  9] ; [21  8],[14.66666667  7.33333333] ; [19.33333333  9.66666667],0
r2,1,0.320694,0.986115,[77  6] ; [138   6],[78.6123348  4.3876652] ; [136.3876652   7.6123348],0
p1,1,0.327578,0.958448,[ 5 79] ; [ 14 131],[ 6.96943231 77.03056769] ; [ 12.03056769 132.96943231],0
p7,1,0.332386,0.939581,[50 33] ; [94 47],[53.35714286 29.64285714] ; [90.64285714 50.35714286],0
u2,1,0.335743,0.92662,[12 10] ; [19  9],[13.64  8.36] ; [17.36 10.64],0
a3,1,0.338273,0.916964,[62 21] ; [117  29],[64.87772926 18.12227074] ; [114.12227074  31.87772926],0
a6,1,0.351089,0.869516,[59 24] ; [95 51],[55.81659389 27.18340611] ; [98.18340611 47.81659389],0
s4,1,0.360047,0.837729,[14 70] ; [ 18 128],[11.68695652 72.31304348] ; [ 20.31304348 125.68695652],0
p8,1,0.371964,0.797092,[39 44] ; [76 67],[42.23451327 40.76548673] ; [72.76548673 70.23451327],0
a4,1,0.406401,0.689304,[41 43] ; [63 83],[37.9826087 46.0173913] ; [66.0173913 79.9826087],0
