Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,8e-06,19.824538,[260  82] ; [20 25],[247.44186047  94.55813953] ; [32.55813953 12.44186047],1
s8,1,4.9e-05,16.498983,[239 115] ; [17 29],[226.56 127.44] ; [29.44 16.56],1
s5,1,7.7e-05,15.642178,[181 161] ; [ 9 34],[168.77922078 173.22077922] ; [21.22077922 21.77922078],1
r4,1,0.000101,15.11175,[332  24] ; [35 11],[325.00497512  30.99502488] ; [41.99502488  4.00497512],1
r3,1,0.000432,12.386741,[344   9] ; [40  6],[339.72932331  13.27067669] ; [44.27067669  1.72932331],1
d5,1,0.001699,9.849236,[297  56] ; [30 16],[289.30075188  63.69924812] ; [37.69924812  8.30075188],0
n6,1,0.002576,9.085594,[304  47] ; [32 14],[297.06801008  53.93198992] ; [38.93198992  7.06801008],0
v4,1,0.003256,8.65832,[345   9] ; [40  5],[341.57894737  12.42105263] ; [43.42105263  1.57894737],0
p9,1,0.00532,7.76725,[317  35] ; [35 11],[311.31658291  40.68341709] ; [40.68341709  5.31658291],0
a2,1,0.009298,6.764621,[103 253] ; [ 5 41],[ 95.64179104 260.35820896] ; [12.35820896 33.64179104],0
d1,1,0.013967,6.042263,[236 120] ; [22 24],[228.47761194 127.52238806] ; [29.52238806 16.47761194],0
p8,1,0.031103,4.647242,[189 162] ; [17 29],[182.13098237 168.86901763] ; [23.86901763 22.13098237],0
r1,1,0.040771,4.18552,[303  51] ; [34 12],[298.245  55.755] ; [38.755  7.245],0
a4,1,0.040855,4.182018,[173 183] ; [15 31],[166.48756219 189.51243781] ; [21.51243781 24.48756219],0
d2,1,0.049207,3.86827,[193 161] ; [18 28],[186.735 167.265] ; [24.265 21.735],0
p4,1,0.052538,3.75856,[236 118] ; [24 22],[230.1 123.9] ; [29.9 16.1],0
s4,1,0.052569,3.757569,[ 92 260] ; [ 6 40],[ 86.67336683 265.32663317] ; [11.32663317 34.67336683],0
a5,1,0.061302,3.501808,[270  86] ; [29 17],[264.78606965  91.21393035] ; [34.21393035 11.78606965],0
p1,1,0.063669,3.439132,[ 39 314] ; [ 1 44],[ 35.47738693 317.52261307] ; [ 4.52261307 40.47738693],0
p5,1,0.081183,3.041057,[ 50 303] ; [ 2 41],[ 46.35353535 306.64646465] ; [ 5.64646465 37.35353535],0
d4,1,0.096144,2.768375,[308  45] ; [36 10],[304.34085213  48.65914787] ; [39.65914787  6.34085213],0
p2,1,0.100966,2.690215,[302  53] ; [34 11],[298.2  56.8] ; [37.8  7.2],0
p6,1,0.103409,2.652168,[151 200] ; [14 32],[145.88161209 205.11838791] ; [19.11838791 26.88161209],0
b5,1,0.114478,2.491288,[221 135] ; [23 23],[216.07960199 139.92039801] ; [27.92039801 18.07960199],0
n5,1,0.142107,2.154989,[280  74] ; [32 14],[276.12  77.88] ; [35.88 10.12],0
u1,1,0.142253,2.153413,[ 80 276] ; [ 6 40],[ 76.15920398 279.84079602] ; [ 9.84079602 36.15920398],0
b2,1,0.190511,1.713658,[ 83 140] ; [14 14],[ 86.17928287 136.82071713] ; [10.82071713 17.17928287],0
b3,1,0.190511,1.713658,[ 83 140] ; [14 14],[ 86.17928287 136.82071713] ; [10.82071713 17.17928287],0
a6,1,0.289951,1.119849,[235 118] ; [27 19],[231.79448622 121.20551378] ; [30.20551378 15.79448622],0
u3,1,0.291617,1.112141,[57 26] ; [7 6],[55.33333333 27.66666667] ; [8.66666667 4.33333333],0
p10,1,0.299488,1.076474,[303  50] ; [36  9],[300.67085427  52.32914573] ; [38.32914573  6.67085427],0
v2,1,0.303514,1.058691,[196 141] ; [22 22],[192.82414698 144.17585302] ; [25.17585302 18.82414698],0
d3,1,0.403649,0.697429,[252 102] ; [30 16],[249.57 104.43] ; [32.43 13.57],0
n4,1,0.420839,0.647971,[280  74] ; [34 12],[277.89  76.11] ; [36.11  9.89],0
p12,1,0.46715,0.528708,[ 44 311] ; [ 4 42],[ 42.49376559 312.50623441] ; [ 5.50623441 40.49376559],0
a3,1,0.493139,0.46967,[271  84] ; [33 13],[269.12718204  85.87281796] ; [34.87281796 11.12718204],0
u4,1,0.505482,0.443408,[ 15 341] ; [ 1 45],[ 14.16915423 341.83084577] ; [ 1.83084577 44.16915423],0
p3,1,0.510345,0.43336,[192 163] ; [22 23],[189.925 165.075] ; [24.075 20.925],0
v3,1,0.511039,0.43194,[143 198] ; [15 26],[141.04188482 199.95811518] ; [16.95811518 24.04188482],0
u2,1,0.566284,0.32894,[51 31] ; [7 6],[50.06315789 31.93684211] ; [7.93684211 5.06315789],0
b4,1,0.572608,0.318339,[209 147] ; [25 21],[207.2238806 148.7761194] ; [26.7761194 19.2238806],0
a7,1,0.598181,0.277748,[260  95] ; [32 14],[258.50374065  96.49625935] ; [33.49625935 12.50374065],0
p7,1,0.631622,0.229867,[230 112] ; [28 16],[228.59067358 113.40932642] ; [29.40932642 14.59067358],0
r2,1,0.639568,0.219307,[341  11] ; [43  2],[340.47355164  11.52644836] ; [43.52644836  1.47355164],0
s1,1,0.691333,0.157646,[ 18 333] ; [ 3 43],[ 18.56675063 332.43324937] ; [ 2.43324937 43.56675063],0
b1,1,0.721438,0.127119,[145 211] ; [20 26],[146.11940299 209.88059701] ; [18.88059701 27.11940299],0
v1,1,0.743297,0.10725,[196 147] ; [24 20],[194.9870801 148.0129199] ; [25.0129199 18.9870801],0
a8,1,0.752608,0.099352,[ 51 279] ; [ 6 38],[ 50.29411765 279.70588235] ; [ 6.70588235 37.29411765],0
a1,1,0.803853,0.061684,[ 20 336] ; [ 3 43],[ 20.3681592 335.6318408] ; [ 2.6318408 43.3681592],0
n3,1,0.822265,0.05046,[54 19] ; [10  3],[54.3255814 18.6744186] ; [9.6744186 3.3255814],0
n2,1,0.836595,0.042539,[59 14] ; [10  2],[59.25882353 13.74117647] ; [9.74117647 2.25882353],0
n1,1,0.87746,0.023774,[35 38] ; [5 6],[34.76190476 38.23809524] ; [5.23809524 5.76190476],0
p11,1,0.881121,0.022365,[282  74] ; [36 10],[281.6119403  74.3880597] ; [36.3880597  9.6119403],0
