Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000296,13.095238,[ 2 26] ; [9 7],[ 7. 21.] ; [ 4. 12.],1
s2,1,0.001104,10.643973,[ 3 25] ; [9 7],[ 7.63636364 20.36363636] ; [ 4.36363636 11.63636364],0
n1,1,0.002197,9.377289,[ 2 11] ; [6 1],[5.2 7.8] ; [2.8 4.2],0
n4,1,0.013389,6.116992,[12 16] ; [13  3],[15.90909091 12.09090909] ; [9.09090909 6.90909091],0
s7,1,0.014615,5.962243,[ 5 21] ; [8 6],[ 8.45 17.55] ; [4.55 9.45],0
r2,1,0.032791,4.556668,[14 12] ; [13  2],[17.12195122  8.87804878] ; [9.87804878 5.12195122],0
n2,1,0.042762,4.104784,[5 8] ; [6 1],[7.15 5.85] ; [3.85 3.15],0
d2,1,0.075724,3.154376,[11 16] ; [11  5],[13.81395349 13.18604651] ; [8.18604651 7.81395349],0
r4,1,0.07713,3.12437,[ 4 24] ; [ 6 10],[ 6.36363636 21.63636364] ; [ 3.63636364 12.36363636],0
p9,1,0.084488,2.976379,[13 14] ; [12  4],[15.69767442 11.30232558] ; [9.30232558 6.69767442],0
n5,1,0.104631,2.633498,[16 12] ; [13  3],[18.45454545  9.54545455] ; [10.54545455  5.45454545],0
a6,1,0.152594,2.046131,[13 15] ; [11  5],[15.27272727 12.72727273] ; [8.72727273 7.27272727],0
a5,1,0.159469,1.979252,[17 11] ; [13  3],[19.09090909  8.90909091] ; [10.90909091  5.09090909],0
s5,1,0.195667,1.674424,[ 6 22] ; [6 9],[ 7.81395349 20.18604651] ; [ 4.18604651 10.81395349],0
v3,1,0.22106,1.497479,[ 8 20] ; [ 2 14],[ 6.36363636 21.63636364] ; [ 3.63636364 12.36363636],0
a7,1,0.227098,1.458947,[14 14] ; [11  5],[15.90909091 12.09090909] ; [9.09090909 6.90909091],0
a1,1,0.243208,1.361905,[ 2 26] ; [ 3 13],[ 3.18181818 24.81818182] ; [ 1.81818182 14.18181818],0
p1,1,0.243208,1.361905,[ 2 26] ; [ 3 13],[ 3.18181818 24.81818182] ; [ 1.81818182 14.18181818],0
n3,1,0.250829,1.318681,[4 9] ; [4 3],[5.2 7.8] ; [2.8 4.2],0
n6,1,0.279932,1.167421,[18  9] ; [8 8],[16.3255814 10.6744186] ; [9.6744186 6.3255814],0
b1,1,0.306891,1.044007,[20  8] ; [9 7],[18.45454545  9.54545455] ; [10.54545455  5.45454545],0
