Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.001998,9.551657,[ 9 66] ; [10 15],[14.25 60.75] ; [ 4.75 20.25],0
r1,1,0.004958,7.894737,[32 44] ; [18  6],[38. 38.] ; [12. 12.],0
r4,1,0.005782,7.616929,[31 46] ; [18  7],[36.99019608 40.00980392] ; [12.00980392 12.99019608],0
p7,1,0.007577,7.130821,[19 57] ; [13 11],[24.32 51.68] ; [ 7.68 16.32],0
v4,1,0.010119,6.613757,[49 26] ; [23  2],[54. 21.] ; [18.  7.],0
n6,1,0.011074,6.453333,[32 43] ; [18  7],[37.5 37.5] ; [12.5 12.5],0
n2,1,0.021519,5.284285,[13 18] ; [7 1],[15.8974359 15.1025641] ; [4.1025641 3.8974359],0
p10,1,0.032271,4.584041,[24 51] ; [14 11],[28.5 46.5] ; [ 9.5 15.5],0
r3,1,0.036001,4.397073,[43 33] ; [20  5],[47.40594059 28.59405941] ; [15.59405941  9.40594059],0
v3,1,0.045667,3.993851,[13 60] ; [ 9 15],[16.55670103 56.44329897] ; [ 5.44329897 18.55670103],0
b1,1,0.050085,3.838624,[42 35] ; [ 8 17],[37.74509804 39.25490196] ; [12.25490196 12.74509804],0
r2,1,0.053022,3.743231,[53 20] ; [22  2],[56.44329897 16.55670103] ; [18.55670103  5.44329897],0
s7,1,0.066558,3.36593,[ 9 61] ; [ 7 17],[11.91489362 58.08510638] ; [ 4.08510638 19.91489362],0
p9,1,0.086623,2.936038,[28 45] ; [14 10],[31.60824742 41.39175258] ; [10.39175258 13.60824742],0
p4,1,0.116379,2.46539,[14 63] ; [ 8 16],[16.77227723 60.22772277] ; [ 5.22772277 18.77227723],0
s4,1,0.131269,2.277434,[12 65] ; [ 1 24],[ 9.81372549 67.18627451] ; [ 3.18627451 21.81372549],0
d3,1,0.131382,2.276094,[38 37] ; [17  8],[41.25 33.75] ; [13.75 11.25],0
p2,1,0.135688,2.22619,[33 44] ; [15 10],[36.23529412 40.76470588] ; [11.76470588 13.23529412],0
b5,1,0.186175,1.747631,[44 33] ; [18  7],[46.80392157 30.19607843] ; [15.19607843  9.80392157],0
d1,1,0.205659,1.601722,[29 48] ; [13 12],[31.70588235 45.29411765] ; [10.29411765 14.70588235],0
n1,1,0.217657,1.51975,[10 21] ; [4 3],[11.42105263 19.57894737] ; [2.57894737 4.42105263],0
p3,1,0.264607,1.244493,[16 60] ; [ 8 17],[18.05940594 57.94059406] ; [ 5.94059406 19.05940594],0
a7,1,0.290746,1.116164,[42 33] ; [17  8],[44.25 30.75] ; [14.75 10.25],0
a4,1,0.30166,1.066839,[30 46] ; [ 7 18],[27.84158416 48.15841584] ; [ 9.15841584 15.84158416],0
v2,1,0.311652,1.02366,[17 57] ; [ 8 16],[18.87755102 55.12244898] ; [ 6.12244898 17.87755102],0
a6,1,0.359683,0.839,[48 29] ; [13 12],[46.04901961 30.95098039] ; [14.95098039 10.04901961],0
d4,1,0.420294,0.649493,[48 28] ; [18  7],[49.66336634 26.33663366] ; [16.33663366  8.66336634],0
b2,1,0.422852,0.642375,[19 25] ; [4 9],[17.75438596 26.24561404] ; [5.24561404 7.75438596],0
b3,1,0.422852,0.642375,[19 25] ; [4 9],[17.75438596 26.24561404] ; [5.24561404 7.75438596],0
n5,1,0.443451,0.587337,[42 34] ; [16  9],[43.64356436 32.35643564] ; [14.35643564 10.64356436],0
a5,1,0.568889,0.324545,[42 35] ; [12 13],[40.76470588 36.23529412] ; [13.23529412 11.76470588],0
s2,1,0.660175,0.193311,[12 65] ; [ 3 22],[11.32352941 65.67647059] ; [ 3.67647059 21.32352941],0
u1,1,0.670844,0.180617,[ 7 70] ; [ 3 22],[ 7.54901961 69.45098039] ; [ 2.45098039 22.54901961],0
s8,1,0.670844,0.180617,[ 7 70] ; [ 3 22],[ 7.54901961 69.45098039] ; [ 2.45098039 22.54901961],0
n3,1,0.719918,0.128571,[12 16] ; [4 4],[12.44444444 15.55555556] ; [3.55555556 4.44444444],0
u2,1,0.750492,0.101118,[11 20] ; [3 7],[10.58536585 20.41463415] ; [3.41463415 6.58536585],0
a8,1,0.755373,0.097071,[ 5 67] ; [ 1 19],[ 4.69565217 67.30434783] ; [ 1.30434783 18.69565217],0
v1,1,0.766004,0.088569,[19 57] ; [ 7 18],[19.56435644 56.43564356] ; [ 6.43564356 18.56435644],0
d5,1,0.777383,0.079937,[48 28] ; [15 10],[47.40594059 28.59405941] ; [15.59405941  9.40594059],0
n4,1,0.777538,0.079823,[45 31] ; [14 11],[44.3960396 31.6039604] ; [14.6039604 10.3960396],0
p1,1,0.810017,0.057794,[ 4 73] ; [ 1 24],[ 3.7745098 73.2254902] ; [ 1.2254902 23.7745098],0
s5,1,0.833933,0.043958,[ 5 69] ; [ 2 23],[ 5.23232323 68.76767677] ; [ 1.76767677 23.23232323],0
a2,1,0.83923,0.04116,[14 63] ; [ 5 20],[14.34313725 62.65686275] ; [ 4.65686275 20.34313725],0
d2,1,0.867997,0.027623,[32 44] ; [11 14],[32.35643564 43.64356436] ; [10.64356436 14.35643564],0
u3,1,0.893852,0.017804,[10 21] ; [3 7],[ 9.82926829 21.17073171] ; [3.17073171 6.82926829],0
b4,1,0.906564,0.013777,[39 38] ; [13 12],[39.25490196 37.74509804] ; [12.74509804 12.25490196],0
a3,1,0.918524,0.010464,[46 29] ; [15  9],[46.21212121 28.78787879] ; [14.78787879  9.21212121],0
s3,1,0.971523,0.001274,[21 55] ; [ 7 18],[21.06930693 54.93069307] ; [ 6.93069307 18.06930693],0
s1,1,0.986512,0.000286,[ 6 70] ; [ 2 23],[ 6.01980198 69.98019802] ; [ 1.98019802 23.01980198],0
