Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,37.075493,[103   7] ; [5 9],[95.80645161 14.19354839] ; [12.19354839  1.80645161],1
v4,1,7.9e-05,15.573392,[107   3] ; [10  4],[103.79032258   6.20967742] ; [13.20967742  0.79032258],1
r1,1,0.000708,11.468355,[86 24] ; [5 9],[80.72580645 29.27419355] ; [10.27419355  3.72580645],1
d5,1,0.008746,6.873993,[83 26] ; [6 8],[78.8699187 30.1300813] ; [10.1300813  3.8699187],0
s1,1,0.012892,6.183896,[  2 108] ; [ 2 12],[  3.5483871 106.4516129] ; [ 0.4516129 13.5483871],0
d1,1,0.019572,5.449679,[60 50] ; [ 3 11],[55.88709677 54.11290323] ; [7.11290323 6.88709677],0
n6,1,0.024515,5.057834,[96 14] ; [9 5],[93.14516129 16.85483871] ; [11.85483871  2.14516129],0
s3,1,0.0558,3.658024,[68 41] ; [5 9],[64.69105691 44.30894309] ; [8.30894309 5.69105691],0
b1,1,0.067002,3.354978,[50 60] ; [10  4],[53.22580645 56.77419355] ; [6.77419355 7.22580645],0
a5,1,0.095352,2.781618,[79 31] ; [7 7],[76.29032258 33.70967742] ; [9.70967742 4.29032258],0
a3,1,0.099239,2.717734,[72 38] ; [6 8],[69.19354839 40.80645161] ; [8.80645161 5.19354839],0
d3,1,0.101277,2.685324,[57 53] ; [ 4 10],[54.11290323 55.88709677] ; [6.88709677 7.11290323],0
a4,1,0.111725,2.529648,[48 62] ; [ 3 11],[45.24193548 64.75806452] ; [5.75806452 8.24193548],0
p9,1,0.112948,2.512478,[96 14] ; [10  4],[94.03225806 15.96774194] ; [11.96774194  2.03225806],0
n4,1,0.123555,2.371665,[90 20] ; [9 5],[87.82258065 22.17741935] ; [11.17741935  2.82258065],0
n5,1,0.150122,2.071007,[89 21] ; [9 5],[86.93548387 23.06451613] ; [11.06451613  2.93548387],0
b3,1,0.171767,1.867454,[31 36] ; [2 7],[29.09210526 37.90789474] ; [3.90789474 5.09210526],0
b2,1,0.171767,1.867454,[31 36] ; [2 7],[29.09210526 37.90789474] ; [3.90789474 5.09210526],0
p10,1,0.178975,1.806114,[94 16] ; [10  4],[92.25806452 17.74193548] ; [11.74193548  2.25806452],0
s7,1,0.181635,1.784194,[62 45] ; [5 8],[59.74166667 47.25833333] ; [7.25833333 5.74166667],0
r3,1,0.205219,1.604837,[104   6] ; [12  2],[102.90322581   7.09677419] ; [13.09677419  0.90322581],0
s5,1,0.211205,1.563145,[49 57] ; [ 4 10],[46.81666667 59.18333333] ; [6.18333333 7.81666667],0
p6,1,0.229527,1.443792,[57 51] ; [5 9],[54.8852459 53.1147541] ; [7.1147541 6.8852459],0
u2,1,0.246058,1.345547,[20 18] ; [6 2],[21.47826087 16.52173913] ; [4.52173913 3.47826087],0
s4,1,0.247305,1.338465,[24 86] ; [5 9],[25.72580645 84.27419355] ; [ 3.27419355 10.72580645],0
d4,1,0.255759,1.291568,[85 24] ; [9 5],[83.30081301 25.69918699] ; [10.69918699  3.30081301],0
p7,1,0.30564,1.049422,[91 19] ; [10  4],[89.59677419 20.40322581] ; [11.40322581  2.59677419],0
p11,1,0.30564,1.049422,[91 19] ; [10  4],[89.59677419 20.40322581] ; [11.40322581  2.59677419],0
s6,1,0.311335,1.025005,[74 31] ; [8 6],[72.35294118 32.64705882] ; [9.64705882 4.35294118],0
p2,1,0.312363,1.020659,[97 13] ; [11  3],[95.80645161 14.19354839] ; [12.19354839  1.80645161],0
d2,1,0.378549,0.77541,[53 57] ; [5 9],[51.4516129 58.5483871] ; [6.5483871 7.4516129],0
b5,1,0.394265,0.725749,[42 68] ; [7 7],[43.46774194 66.53225806] ; [5.53225806 8.46774194],0
v2,1,0.463277,0.537965,[57 50] ; [6 8],[55.7107438 51.2892562] ; [7.2892562 6.7107438],0
v1,1,0.465397,0.532884,[58 51] ; [6 8],[56.71544715 52.28455285] ; [7.28455285 6.71544715],0
b4,1,0.48641,0.484459,[58 52] ; [6 8],[56.77419355 53.22580645] ; [7.22580645 6.77419355],0
s2,1,0.527599,0.399015,[57 53] ; [6 8],[55.88709677 54.11290323] ; [7.11290323 6.88709677],0
a8,1,0.578847,0.308103,[14 93] ; [ 1 12],[13.375 93.625] ; [ 1.625 11.375],0
s8,1,0.605213,0.267205,[63 47] ; [7 7],[62.09677419 47.90322581] ; [7.90322581 6.09677419],0
v3,1,0.642769,0.215139,[46 63] ; [5 9],[45.19512195 63.80487805] ; [5.80487805 8.19512195],0
p1,1,0.664828,0.187711,[12 98] ; [ 1 13],[11.53225806 98.46774194] ; [ 1.46774194 12.53225806],0
n3,1,0.683017,0.166749,[14  9] ; [2 2],[13.62962963  9.37037037] ; [2.37037037 1.62962963],0
p5,1,0.701445,0.146973,[19 91] ; [ 3 11],[19.51612903 90.48387097] ; [ 2.48387097 11.51612903],0
a6,1,0.735164,0.114422,[42 68] ; [6 8],[42.58064516 67.41935484] ; [5.41935484 8.58064516],0
p12,1,0.8033,0.06204,[  6 103] ; [ 1 13],[  6.20325203 102.79674797] ; [ 0.79674797 13.20325203],0
u3,1,0.809987,0.057813,[16 22] ; [3 5],[15.69565217 22.30434783] ; [3.30434783 4.69565217],0
p3,1,0.931033,0.00749,[72 38] ; [9 5],[71.85483871 38.14516129] ; [9.14516129 4.85483871],0
p4,1,0.967829,0.001627,[78 32] ; [10  4],[78.06451613 31.93548387] ; [9.93548387 4.06451613],0
n1,1,1.0,0.0,[12 12] ; [2 2],[12. 12.] ; [2. 2.],0
