Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,3e-06,21.806101,[60 17] ; [15 28],[48.125 28.875] ; [26.875 16.125],1
d3,1,7e-06,20.229838,[52 24] ; [11 32],[40.23529412 35.76470588] ; [22.76470588 20.23529412],1
d5,1,0.001107,10.639593,[60 17] ; [21 22],[51.975 25.025] ; [29.025 13.975],0
a5,1,0.006233,7.481555,[52 25] ; [18 25],[44.91666667 32.08333333] ; [25.08333333 17.91666667],0
p2,1,0.011301,6.417294,[54 23] ; [19 22],[47.63559322 29.36440678] ; [25.36440678 15.63559322],0
r1,1,0.013008,6.167968,[56 20] ; [22 21],[49.81512605 26.18487395] ; [28.18487395 14.81512605],0
a2,1,0.017666,5.629008,[16 61] ; [ 2 41],[11.55 65.45] ; [ 6.45 36.55],0
b5,1,0.024203,5.080036,[52 25] ; [20 23],[46.2 30.8] ; [25.8 17.2],0
r3,1,0.030449,4.683748,[65 12] ; [29 14],[60.31666667 16.68333333] ; [33.68333333  9.31666667],0
d1,1,0.031332,4.634675,[37 40] ; [12 31],[31.44166667 45.55833333] ; [17.55833333 25.44166667],0
a4,1,0.031776,4.610545,[33 44] ; [10 33],[27.59166667 49.40833333] ; [15.40833333 27.59166667],0
d4,1,0.034115,4.488933,[59 18] ; [25 18],[53.9 23.1] ; [30.1 12.9],0
r4,1,0.048186,3.903472,[55 22] ; [23 20],[50.05 26.95] ; [27.95 15.05],0
b1,1,0.050234,3.833633,[34 43] ; [27 16],[39.14166667 37.85833333] ; [21.85833333 21.14166667],0
n2,1,0.104698,2.632479,[14 12] ; [14  4],[16.54545455  9.45454545] ; [11.45454545  6.54545455],0
a3,1,0.116882,2.458614,[50 26] ; [22 21],[45.98319328 30.01680672] ; [26.01680672 16.98319328],0
v2,1,0.149197,2.080447,[32 41] ; [12 28],[28.42477876 44.57522124] ; [15.57522124 24.42477876],0
p9,1,0.164897,1.928735,[48 28] ; [21 21],[44.44067797 31.55932203] ; [24.55932203 17.44067797],0
p8,1,0.17233,1.862558,[29 46] ; [11 31],[25.64102564 49.35897436] ; [14.35897436 27.64102564],0
a1,1,0.174465,1.844152,[ 5 72] ; [ 6 37],[ 7.05833333 69.94166667] ; [ 3.94166667 39.05833333],0
s4,1,0.174465,1.844152,[ 5 72] ; [ 6 37],[ 7.05833333 69.94166667] ; [ 3.94166667 39.05833333],0
a8,1,0.177087,1.821901,[ 9 63] ; [ 2 40],[ 6.94736842 65.05263158] ; [ 4.05263158 37.94736842],0
v4,1,0.181769,1.783102,[62 15] ; [30 13],[59.03333333 17.96666667] ; [32.96666667 10.03333333],0
p1,1,0.275446,1.189424,[ 8 69] ; [ 2 41],[ 6.41666667 70.58333333] ; [ 3.58333333 39.41666667],0
p3,1,0.300898,1.07021,[25 51] ; [10 32],[22.54237288 53.45762712] ; [12.45762712 29.54237288],0
u3,1,0.311775,1.023143,[15 11] ; [ 9 12],[13.27659574 12.72340426] ; [10.72340426 10.27659574],0
r2,1,0.319335,0.991667,[66 11] ; [33  9],[64.05882353 12.94117647] ; [34.94117647  7.05882353],0
p10,1,0.36759,0.811795,[40 36] ; [18 23],[37.67521368 38.32478632] ; [20.32478632 20.67521368],0
b4,1,0.421118,0.647193,[47 30] ; [23 20],[44.91666667 32.08333333] ; [25.08333333 17.91666667],0
s8,1,0.551196,0.35518,[14 63] ; [ 6 37],[12.83333333 64.16666667] ; [ 7.16666667 35.83333333],0
s6,1,0.561367,0.337344,[31 46] ; [15 28],[29.51666667 47.48333333] ; [16.48333333 26.51666667],0
p5,1,0.566449,0.32866,[ 2 73] ; [ 2 41],[ 2.54237288 72.45762712] ; [ 1.45762712 41.54237288],0
p11,1,0.586958,0.29512,[39 38] ; [24 19],[40.425 36.575] ; [22.575 20.425],0
n1,1,0.640078,0.21864,[ 8 17] ; [ 7 11],[ 8.72093023 16.27906977] ; [ 6.27906977 11.72093023],0
n4,1,0.663743,0.189009,[39 38] ; [20 23],[37.85833333 39.14166667] ; [21.14166667 21.85833333],0
v3,1,0.677898,0.172502,[19 54] ; [ 9 31],[18.08849558 54.91150442] ; [ 9.91150442 30.08849558],0
n5,1,0.683301,0.166434,[36 41] ; [18 24],[34.94117647 42.05882353] ; [19.05882353 22.94117647],0
s2,1,0.711906,0.136381,[20 56] ; [10 33],[19.15966387 56.84033613] ; [10.84033613 32.15966387],0
b2,1,0.785495,0.074074,[13 32] ; [ 8 17],[13.5 31.5] ; [ 7.5 17.5],0
b3,1,0.785495,0.074074,[13 32] ; [ 8 17],[13.5 31.5] ; [ 7.5 17.5],0
v1,1,0.821596,0.050847,[26 48] ; [16 27],[26.56410256 47.43589744] ; [15.43589744 27.56410256],0
n3,1,0.84669,0.037382,[16  9] ; [11  7],[15.69767442  9.30232558] ; [11.30232558  6.69767442],0
d2,1,0.864173,0.029263,[31 46] ; [18 25],[31.44166667 45.55833333] ; [17.55833333 25.44166667],0
p4,1,0.908289,0.01327,[29 48] ; [15 26],[28.71186441 48.28813559] ; [15.28813559 25.71186441],0
u2,1,0.912432,0.012094,[15 12] ; [12  9],[15.1875 11.8125] ; [11.8125  9.1875],0
s3,1,0.915179,0.011344,[30 46] ; [17 25],[30.27118644 45.72881356] ; [16.72881356 25.27118644],0
s1,1,0.922014,0.009584,[ 5 70] ; [ 3 39],[ 5.12820513 69.87179487] ; [ 2.87179487 39.12820513],0
p12,1,0.934002,0.006858,[ 2 74] ; [ 1 41],[ 1.93220339 74.06779661] ; [ 1.06779661 40.93220339],0
p7,1,0.945546,0.004665,[32 42] ; [18 23],[32.17391304 41.82608696] ; [17.82608696 23.17391304],0
p6,1,0.974702,0.001006,[14 61] ; [ 7 31],[13.9380531 61.0619469] ; [ 7.0619469 30.9380531],0
s5,1,0.995869,2.7e-05,[ 9 65] ; [ 5 36],[ 9.00869565 64.99130435] ; [ 4.99130435 36.00869565],0
