Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1.2e-05,19.103864,[14 20] ; [47  8],[23.30337079 10.69662921] ; [37.69662921 17.30337079],1
a3,1,8.5e-05,15.448957,[13 21] ; [43 11],[21.63636364 12.36363636] ; [34.36363636 19.63636364],1
a4,1,0.000234,13.535796,[ 6 28] ; [31 23],[14.29545455 19.70454545] ; [22.70454545 31.29545455],1
a7,1,0.001965,9.582222,[ 8 25] ; [32 23],[15. 18.] ; [25. 30.],0
d1,1,0.002418,9.201328,[ 8 26] ; [31 24],[14.8988764 19.1011236] ; [24.1011236 30.8988764],0
p9,1,0.002519,9.126398,[14 19] ; [39 13],[20.57647059 12.42352941] ; [32.42352941 19.57647059],0
d4,1,0.004115,8.232535,[16 17] ; [43 12],[22.125 10.875] ; [36.875 18.125],0
d2,1,0.008727,6.877794,[10 23] ; [32 22],[15.93103448 17.06896552] ; [26.06896552 27.93103448],0
a6,1,0.038486,4.283422,[14 20] ; [35 20],[18.71910112 15.28089888] ; [30.28089888 24.71910112],0
p5,1,0.048221,3.902262,[ 1 33] ; [ 9 45],[ 3.86363636 30.13636364] ; [ 6.13636364 47.86363636],0
p4,1,0.082897,3.007166,[ 8 25] ; [23 31],[11.75862069 21.24137931] ; [19.24137931 34.75862069],0
p6,1,0.090214,2.87055,[ 4 28] ; [15 38],[ 7.15294118 24.84705882] ; [11.84705882 41.15294118],0
s7,1,0.105523,2.620028,[ 9 23] ; [23 27],[12.48780488 19.51219512] ; [19.51219512 30.48780488],0
s8,1,0.109771,2.557508,[ 5 29] ; [16 38],[ 8.11363636 25.88636364] ; [12.88636364 41.11363636],0
p10,1,0.111681,2.530276,[14 18] ; [32 20],[17.52380952 14.47619048] ; [28.47619048 23.52380952],0
p3,1,0.166377,1.915289,[ 8 26] ; [20 33],[10.94252874 23.05747126] ; [17.05747126 35.94252874],0
p11,1,0.172714,1.859225,[16 18] ; [34 21],[19.1011236 14.8988764] ; [30.8988764 24.1011236],0
d3,1,0.220314,1.502323,[14 20] ; [30 25],[16.80898876 17.19101124] ; [27.19101124 27.80898876],0
a1,1,0.224518,1.475257,[ 3 31] ; [10 45],[ 4.96629213 29.03370787] ; [ 8.03370787 46.96629213],0
r2,1,0.25151,1.314895,[16 15] ; [31 17],[18.44303797 12.55696203] ; [28.55696203 19.44303797],0
b4,1,0.266974,1.232227,[22 12] ; [29 26],[19.48314607 14.51685393] ; [31.51685393 23.48314607],0
s2,1,0.329972,0.949009,[ 9 25] ; [19 33],[11.06976744 22.93023256] ; [16.93023256 35.06976744],0
u2,1,0.332275,0.940012,[ 9 11] ; [3 8],[ 7.74193548 12.25806452] ; [4.25806452 6.74193548],0
n6,1,0.354135,0.858586,[20 14] ; [35 16],[22. 12.] ; [33. 18.],0
b5,1,0.392896,0.729961,[16 18] ; [31 24],[17.95505618 16.04494382] ; [29.04494382 25.95505618],0
v2,1,0.393626,0.727711,[15 16] ; [21 33],[13.12941176 17.87058824] ; [22.87058824 31.12941176],0
v1,1,0.416436,0.660352,[10 24] ; [19 31],[11.73809524 22.26190476] ; [17.26190476 32.73809524],0
v4,1,0.427768,0.628877,[21 12] ; [28 23],[19.25 13.75] ; [29.75 21.25],0
n1,1,0.428016,0.628201,[ 6 11] ; [11 12],[7.225 9.775] ; [ 9.775 13.225],0
s5,1,0.494051,0.467691,[ 4 29] ; [ 9 42],[ 5.10714286 27.89285714] ; [ 7.89285714 43.10714286],0
v3,1,0.531548,0.391431,[ 8 26] ; [16 38],[ 9.27272727 24.72727273] ; [14.72727273 39.27272727],0
n5,1,0.534101,0.386583,[27  7] ; [44  8],[28.06976744  5.93023256] ; [42.93023256  9.06976744],0
s1,1,0.53797,0.379315,[ 3 31] ; [ 3 52],[ 2.29213483 31.70786517] ; [ 3.70786517 51.29213483],0
p7,1,0.587376,0.294461,[14 19] ; [19 33],[12.81176471 20.18823529] ; [20.18823529 31.81176471],0
u3,1,0.592948,0.285764,[ 4 17] ; [3 8],[ 4.59375 16.40625] ; [2.40625 8.59375],0
n2,1,0.719958,0.128533,[12  5] ; [15  8],[11.475  5.525] ; [15.525  7.475],0
s4,1,0.723568,0.1251,[ 6 28] ; [ 8 46],[ 5.40909091 28.59090909] ; [ 8.59090909 45.40909091],0
p2,1,0.731526,0.117715,[19 15] ; [31 21],[19.76744186 14.23255814] ; [30.23255814 21.76744186],0
s3,1,0.739051,0.110963,[12 20] ; [21 30],[12.72289157 19.27710843] ; [20.27710843 30.72289157],0
