Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.024865,5.033263,[ 2 14] ; [4 3],[ 4.17391304 11.82608696] ; [1.82608696 5.17391304],0
s3,1,0.031633,4.618254,[ 3 13] ; [4 2],[ 5.09090909 10.90909091] ; [1.90909091 4.09090909],0
v2,1,0.033179,4.536526,[ 6 10] ; [6 1],[8.34782609 7.65217391] ; [3.65217391 3.34782609],0
s2,1,0.070394,3.27381,[ 4 12] ; [4 2],[ 5.81818182 10.18181818] ; [2.18181818 3.81818182],0
p9,1,0.070394,3.27381,[12  4] ; [2 4],[10.18181818  5.81818182] ; [3.81818182 2.18181818],0
a4,1,0.073691,3.198832,[ 5 11] ; [5 2],[6.95652174 9.04347826] ; [3.04347826 3.95652174],0
d5,1,0.106345,2.60771,[8 8] ; [6 1],[9.73913043 6.26086957] ; [4.26086957 2.73913043],0
p10,1,0.132391,2.264245,[11  5] ; [2 4],[9.45454545 6.54545455] ; [3.54545455 2.45454545],0
d4,1,0.172208,1.863616,[9 7] ; [6 1],[10.43478261  5.56521739] ; [4.56521739 2.43478261],0
s6,1,0.221099,1.497222,[ 6 10] ; [4 2],[7.27272727 8.72727273] ; [2.72727273 3.27272727],0
a7,1,0.221433,1.495062,[7 9] ; [5 2],[8.34782609 7.65217391] ; [3.65217391 3.34782609],0
p7,1,0.221433,1.495062,[9 7] ; [2 5],[7.65217391 8.34782609] ; [3.34782609 3.65217391],0
a6,1,0.221433,1.495062,[7 9] ; [5 2],[8.34782609 7.65217391] ; [3.65217391 3.34782609],0
v3,1,0.241696,1.370677,[ 5 11] ; [4 3],[6.26086957 9.73913043] ; [2.73913043 4.26086957],0
a5,1,0.265572,1.239477,[10  6] ; [6 1],[11.13043478  4.86956522] ; [4.86956522 2.13043478],0
n4,1,0.265572,1.239477,[10  6] ; [6 1],[11.13043478  4.86956522] ; [4.86956522 2.13043478],0
s7,1,0.374857,0.7875,[ 6 10] ; [3 2],[6.85714286 9.14285714] ; [2.14285714 2.85714286],0
p3,1,0.381905,0.76456,[ 6 10] ; [4 3],[6.95652174 9.04347826] ; [3.04347826 3.95652174],0
p6,1,0.391777,0.733418,[ 4 12] ; [3 4],[ 4.86956522 11.13043478] ; [2.13043478 4.86956522],0
r4,1,0.391777,0.733418,[ 4 12] ; [3 4],[ 4.86956522 11.13043478] ; [2.13043478 4.86956522],0
a8,1,0.449102,0.572917,[ 1 15] ; [1 5],[ 1.45454545 14.54545455] ; [0.54545455 5.45454545],0
b1,1,0.492519,0.471018,[9 7] ; [5 2],[9.73913043 6.26086957] ; [4.26086957 2.73913043],0
b2,1,0.516407,0.421062,[4 9] ; [1 5],[3.42105263 9.57894737] ; [1.57894737 4.42105263],0
b3,1,0.516407,0.421062,[4 9] ; [1 5],[3.42105263 9.57894737] ; [1.57894737 4.42105263],0
p4,1,0.55409,0.350041,[7 9] ; [4 3],[7.65217391 8.34782609] ; [3.34782609 3.65217391],0
p11,1,0.55409,0.350041,[7 9] ; [4 3],[7.65217391 8.34782609] ; [3.34782609 3.65217391],0
n5,1,0.590726,0.289211,[11  5] ; [4 3],[10.43478261  5.56521739] ; [4.56521739 2.43478261],0
p2,1,0.590726,0.289211,[11  5] ; [4 3],[10.43478261  5.56521739] ; [4.56521739 2.43478261],0
s4,1,0.599275,0.276091,[ 3 13] ; [2 5],[ 3.47826087 12.52173913] ; [1.52173913 5.47826087],0
r3,1,0.603743,0.269388,[9 6] ; [5 2],[9.54545455 5.45454545] ; [4.45454545 2.54545455],0
n1,1,0.659243,0.194444,[2 2] ; [1 2],[1.71428571 2.28571429] ; [1.28571429 1.71428571],0
p8,1,0.679109,0.171131,[ 6 10] ; [2 5],[ 5.56521739 10.43478261] ; [2.43478261 4.56521739],0
r1,1,0.75235,0.099567,[8 8] ; [4 3],[8.34782609 7.65217391] ; [3.65217391 3.34782609],0
s1,1,0.794935,0.067552,[ 3 13] ; [1 6],[ 2.7826087 13.2173913] ; [1.2173913 5.7826087],0
s5,1,0.799782,0.064327,[ 2 14] ; [1 5],[ 2.18181818 13.81818182] ; [0.81818182 5.18181818],0
n2,1,0.80915,0.058333,[3 1] ; [2 1],[2.85714286 1.14285714] ; [2.14285714 0.85714286],0
s8,1,0.857561,0.032213,[ 4 12] ; [2 5],[ 4.17391304 11.82608696] ; [1.82608696 5.17391304],0
n6,1,0.898977,0.016117,[9 6] ; [4 3],[8.86363636 6.13636364] ; [4.13636364 2.86363636],0
r2,1,0.968296,0.00158,[9 7] ; [4 3],[9.04347826 6.95652174] ; [3.95652174 3.04347826],0
b5,1,0.968296,0.00158,[9 7] ; [4 3],[9.04347826 6.95652174] ; [3.95652174 3.04347826],0
b4,1,0.968296,0.00158,[9 7] ; [4 3],[9.04347826 6.95652174] ; [3.95652174 3.04347826],0
