Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,6e-06,20.537619,[211  35] ; [15 14],[202.16727273  43.83272727] ; [23.83272727  5.16727273],1
v4,1,2.1e-05,18.121203,[237  10] ; [22  7],[231.78623188  15.21376812] ; [27.21376812  1.78623188],1
d3,1,0.000406,12.50539,[168  80] ; [10 19],[159.36462094  88.63537906] ; [18.63537906 10.36462094],1
v1,1,0.000629,11.689425,[140 103] ; [ 7 22],[131.32720588 111.67279412] ; [15.67279412 13.32720588],1
p10,1,0.001188,10.509587,[200  46] ; [16 13],[193.22181818  52.77818182] ; [22.77818182  6.22181818],0
s1,1,0.001465,10.121807,[  3 243] ; [ 3 26],[  5.36727273 240.63272727] ; [ 0.63272727 28.36727273],0
p11,1,0.00159,9.97131,[207  42] ; [17 12],[200.63309353  48.36690647] ; [23.36690647  5.63309353],0
r1,1,0.02544,4.993662,[198  49] ; [18 11],[193.30434783  53.69565217] ; [22.69565217  6.30434783],0
p4,1,0.030374,4.687992,[162  86] ; [13 16],[156.67870036  91.32129964] ; [18.32129964 10.67870036],0
a2,1,0.031258,4.638716,[ 49 200] ; [ 1 28],[ 44.78417266 204.21582734] ; [ 5.21582734 23.78417266],0
p8,1,0.039635,4.233424,[169  75] ; [14 14],[164.16176471  79.83823529] ; [18.83823529  9.16176471],0
r3,1,0.068251,3.324599,[236  13] ; [25  4],[233.77338129  15.22661871] ; [27.22661871  1.77338129],0
a3,1,0.071167,3.255898,[169  78] ; [15 14],[164.66666667  82.33333333] ; [19.33333333  9.66666667],0
r2,1,0.073723,3.198117,[226  19] ; [23  5],[223.46153846  21.53846154] ; [25.53846154  2.46153846],0
d5,1,0.074385,3.183511,[199  50] ; [19 10],[195.25899281  53.74100719] ; [22.74100719  6.25899281],0
s7,1,0.079605,3.072942,[ 75 159] ; [ 4 22],[ 71.1 162.9] ; [ 7.9 18.1],0
b1,1,0.092439,2.831385,[ 97 152] ; [16 13],[101.21223022 147.78776978] ; [11.78776978 17.21223022],0
a5,1,0.125256,2.350339,[180  69] ; [17 12],[176.44964029  72.55035971] ; [20.55035971  8.44964029],0
s6,1,0.129952,2.293074,[123 119] ; [10 18],[119.20740741 122.79259259] ; [13.79259259 14.20740741],0
n1,1,0.144574,2.128584,[16 38] ; [4 3],[17.70491803 36.29508197] ; [2.29508197 4.70491803],0
a8,1,0.166009,1.91862,[ 26 190] ; [ 6 22],[ 28.32786885 187.67213115] ; [ 3.67213115 24.32786885],0
b4,1,0.195574,1.67512,[143 106] ; [13 16],[139.72661871 109.27338129] ; [16.27338129 12.72661871],0
a6,1,0.254082,1.300719,[164  85] ; [16 13],[161.22302158  87.77697842] ; [18.77697842 10.22302158],0
p6,1,0.257179,1.28388,[102 141] ; [ 9 20],[ 99.16544118 143.83455882] ; [11.83455882 17.16544118],0
b2,1,0.274962,1.191826,[52 99] ; [ 5 17],[ 49.75144509 101.24855491] ; [ 7.24855491 14.75144509],0
b3,1,0.274962,1.191826,[52 99] ; [ 5 17],[ 49.75144509 101.24855491] ; [ 7.24855491 14.75144509],0
a7,1,0.292597,1.107632,[178  71] ; [18 11],[175.55395683  73.44604317] ; [20.44604317  8.55395683],0
p1,1,0.318938,0.993296,[ 22 227] ; [ 1 28],[ 20.60071942 228.39928058] ; [ 2.39928058 26.60071942],0
d4,1,0.335599,0.927173,[191  57] ; [20  9],[188.90974729  59.09025271] ; [22.09025271  6.90974729],0
n6,1,0.342758,0.900089,[205  44] ; [21  7],[203.15523466  45.84476534] ; [22.84476534  5.15523466],0
s8,1,0.346217,0.887273,[ 74 173] ; [ 6 22],[ 71.85454545 175.14545455] ; [ 8.14545455 19.85454545],0
r4,1,0.43295,0.614896,[226  23] ; [25  4],[224.81654676  24.18345324] ; [26.18345324  2.81654676],0
n4,1,0.47338,0.514075,[187  62] ; [20  9],[185.40647482  63.59352518] ; [21.59352518  7.40647482],0
s5,1,0.517582,0.418709,[ 57 188] ; [ 5 23],[ 55.64102564 189.35897436] ; [ 6.35897436 21.64102564],0
u2,1,0.522129,0.409685,[44 35] ; [6 7],[42.93478261 36.06521739] ; [7.06521739 5.93478261],0
n5,1,0.533825,0.387106,[177  72] ; [19 10],[175.55395683  73.44604317] ; [20.44604317  8.55395683],0
v3,1,0.536427,0.382201,[ 93 151] ; [ 9 19],[ 91.5 152.5] ; [10.5 17.5],0
d1,1,0.628828,0.233654,[132 117] ; [14 15],[130.76978417 118.23021583] ; [15.23021583 13.76978417],0
a4,1,0.646123,0.210823,[ 96 151] ; [10 19],[ 94.86231884 152.13768116] ; [11.13768116 17.86231884],0
d2,1,0.652089,0.203277,[114 135] ; [12 17],[112.85611511 136.14388489] ; [13.14388489 15.85611511],0
p3,1,0.661398,0.19183,[144 105] ; [18 11],[145.10071942 103.89928058] ; [16.89928058 12.10071942],0
p12,1,0.673505,0.17753,[ 13 234] ; [ 1 28],[ 12.52898551 234.47101449] ; [ 1.47101449 27.52898551],0
s4,1,0.689923,0.159169,[ 28 220] ; [ 4 25],[ 28.64981949 219.35018051] ; [ 3.35018051 25.64981949],0
b5,1,0.691388,0.157587,[145 104] ; [18 11],[145.99640288 103.00359712] ; [17.00359712 11.99640288],0
p5,1,0.781609,0.076853,[ 31 218] ; [ 4 24],[ 31.46209386 217.53790614] ; [ 3.53790614 24.46209386],0
n3,1,0.872807,0.02563,[45  9] ; [6 1],[45.14754098  8.85245902] ; [5.85245902 1.14754098],0
s3,1,0.903224,0.014784,[ 65 180] ; [ 8 21],[ 65.27372263 179.72627737] ; [ 7.72627737 21.27372263],0
v2,1,0.971535,0.001273,[138 105] ; [16 12],[138.08856089 104.91143911] ; [15.91143911 12.08856089],0
n2,1,0.977248,0.000813,[39 16] ; [5 2],[39.03225806 15.96774194] ; [4.96774194 2.03225806],0
u3,1,1.0,0.0,[40 40] ; [7 7],[40. 40.] ; [7. 7.],0
