Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,24.473282,[3 4] ; [76  3],[6.43023256 0.56976744] ; [72.56976744  6.43023256],1
r4,1,1e-06,24.145125,[2 5] ; [75  6],[6.125 0.875] ; [70.875 10.125],1
r3,1,0.000375,12.652999,[4 3] ; [77  4],[6.44318182 0.55681818] ; [74.55681818  6.44318182],1
n2,1,0.002424,9.197279,[1 2] ; [20  1],[2.625 0.375] ; [18.375  2.625],0
p10,1,0.004077,8.249006,[2 5] ; [61 17],[5.18823529 1.81176471] ; [57.81176471 20.18823529],0
r1,1,0.017256,5.670112,[2 5] ; [57 22],[4.80232558 2.19767442] ; [54.19767442 24.80232558],0
s1,1,0.039144,4.254597,[2 5] ; [ 5 74],[0.56976744 6.43023256] ; [ 6.43023256 72.56976744],0
b1,1,0.063279,3.44929,[5 2] ; [29 52],[2.70454545 4.29545455] ; [31.29545455 49.70454545],0
p9,1,0.064375,3.420929,[3 4] ; [61 20],[5.09090909 1.90909091] ; [58.90909091 22.09090909],0
s8,1,0.074112,3.189511,[1 6] ; [40 41],[3.26136364 3.73863636] ; [37.73863636 43.26136364],0
a7,1,0.086932,2.930282,[2 5] ; [50 31],[4.13636364 2.86363636] ; [47.86363636 33.13636364],0
p11,1,0.11358,2.503694,[3 4] ; [58 23],[4.85227273 2.14772727] ; [56.14772727 24.85227273],0
b4,1,0.150283,2.069371,[2 5] ; [46 35],[3.81818182 3.18181818] ; [44.18181818 36.81818182],0
p2,1,0.160437,1.970102,[4 3] ; [64 16],[5.47126437 1.52873563] ; [62.52873563 17.47126437],0
s7,1,0.163988,1.937061,[2 5] ; [42 33],[3.75609756 3.24390244] ; [40.24390244 34.75609756],0
u2,1,0.166378,1.915279,[3 2] ; [12 29],[1.63043478 3.36956522] ; [13.36956522 27.63043478],0
v3,1,0.210894,1.565278,[1 6] ; [30 49],[2.52325581 4.47674419] ; [28.47674419 50.52325581],0
p7,1,0.210894,1.565278,[6 1] ; [49 30],[4.47674419 2.52325581] ; [50.52325581 28.47674419],0
a8,1,0.233245,1.420965,[2 5] ; [ 9 64],[0.9625 6.0375] ; [10.0375 62.9625],0
s2,1,0.233569,1.418997,[3 4] ; [53 28],[4.45454545 2.54545455] ; [51.54545455 29.45454545],0
n3,1,0.263128,1.252222,[2 1] ; [18  2],[2.60869565 0.39130435] ; [17.39130435  2.60869565],0
n4,1,0.264733,1.243835,[4 3] ; [61 19],[5.22988506 1.77011494] ; [59.77011494 20.22988506],0
a3,1,0.29023,1.118553,[2 5] ; [40 41],[3.34090909 3.65909091] ; [38.65909091 42.34090909],0
p4,1,0.29023,1.118553,[5 2] ; [41 40],[3.65909091 3.34090909] ; [42.34090909 38.65909091],0
n6,1,0.339732,0.911442,[5 2] ; [69 12],[5.88636364 1.11363636] ; [68.11363636 12.88636364],0
p3,1,0.414737,0.665181,[4 3] ; [33 47],[2.97701149 4.02298851] ; [34.02298851 45.97701149],0
s6,1,0.415072,0.664225,[4 3] ; [56 22],[4.94117647 2.05882353] ; [55.05882353 22.94117647],0
p6,1,0.421303,0.646678,[1 6] ; [23 58],[1.90909091 5.09090909] ; [22.09090909 58.90909091],0
a6,1,0.517413,0.419048,[3 4] ; [45 36],[3.81818182 3.18181818] ; [44.18181818 36.81818182],0
a5,1,0.517413,0.419048,[3 4] ; [45 36],[3.81818182 3.18181818] ; [44.18181818 36.81818182],0
n5,1,0.53548,0.383981,[6 1] ; [61 20],[5.32954545 1.67045455] ; [61.67045455 19.32954545],0
d3,1,0.56126,0.337528,[3 4] ; [26 55],[2.30681818 4.69318182] ; [26.69318182 54.30681818],0
p5,1,0.60688,0.264743,[1 5] ; [ 8 72],[0.62790698 5.37209302] ; [ 8.37209302 71.62790698],0
a4,1,0.613966,0.254439,[1 6] ; [18 62],[1.52873563 5.47126437] ; [17.47126437 62.52873563],0
d2,1,0.700551,0.147899,[2 5] ; [18 63],[1.59090909 5.40909091] ; [18.40909091 62.59090909],0
s4,1,0.760686,0.092769,[2 5] ; [19 62],[1.67045455 5.32954545] ; [19.32954545 61.67045455],0
p8,1,0.764933,0.089407,[2 4] ; [32 49],[2.34482759 3.65517241] ; [31.65517241 49.34482759],0
d5,1,0.788018,0.072299,[3 4] ; [39 42],[3.34090909 3.65909091] ; [38.65909091 42.34090909],0
b5,1,0.788018,0.072299,[4 3] ; [42 39],[3.65909091 3.34090909] ; [42.34090909 38.65909091],0
u3,1,0.788114,0.072232,[2 3] ; [19 22],[2.2826087 2.7173913] ; [18.7173913 22.2826087],0
n1,1,0.954928,0.003194,[1 2] ; [ 7 13],[1.04347826 1.95652174] ; [ 6.95652174 13.04347826],0
p1,1,0.959459,0.002584,[1 6] ; [12 68],[1.04597701 5.95402299] ; [11.95402299 68.04597701],0
