Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4.4e-05,16.669449,[33  6] ; [19 27],[23.85882353 15.14117647] ; [28.14117647 17.85882353],1
p4,1,0.002586,9.078966,[26 13] ; [16 31],[19.04651163 19.95348837] ; [22.95348837 24.04651163],0
p1,1,0.010533,6.542485,[ 7 31] ; [ 1 46],[ 3.57647059 34.42352941] ; [ 4.42352941 42.57647059],0
p6,1,0.019803,5.429195,[19 17] ; [13 34],[13.87951807 22.12048193] ; [18.12048193 28.87951807],0
a8,1,0.020323,5.38391,[ 1 36] ; [ 8 33],[ 4.26923077 32.73076923] ; [ 4.73076923 36.26923077],0
a7,1,0.023998,5.094772,[25 14] ; [40  7],[29.47674419  9.52325581] ; [35.52325581 11.47674419],0
b1,1,0.046731,3.955063,[17 22] ; [11 36],[12.69767442 26.30232558] ; [15.30232558 31.69767442],0
p5,1,0.056185,3.646573,[ 5 34] ; [ 1 45],[ 2.75294118 36.24705882] ; [ 3.24705882 42.75294118],0
p2,1,0.075665,3.155648,[33  6] ; [32 15],[29.47674419  9.52325581] ; [35.52325581 11.47674419],0
a5,1,0.111408,2.534136,[31  8] ; [30 17],[27.6627907 11.3372093] ; [33.3372093 13.6627907],0
d4,1,0.126899,2.330031,[36  3] ; [38  9],[33.55813953  5.44186047] ; [40.44186047  6.55813953],0
p8,1,0.184368,1.762056,[20 19] ; [17 29],[16.97647059 22.02352941] ; [20.02352941 25.97647059],0
p9,1,0.208835,1.579487,[33  6] ; [33 12],[30.64285714  8.35714286] ; [35.35714286  9.64285714],0
v4,1,0.212998,1.550931,[37  2] ; [40  6],[35.32941176  3.67058824] ; [41.67058824  4.32941176],0
r1,1,0.315176,1.008862,[27 12] ; [37 10],[29.02325581  9.97674419] ; [34.97674419 12.02325581],0
v3,1,0.315932,1.005714,[13 22] ; [12 33],[10.9375 24.0625] ; [14.0625 30.9375],0
n6,1,0.349,0.877089,[23 15] ; [33 14],[25.03529412 12.96470588] ; [30.96470588 16.03529412],0
b3,1,0.361785,0.831689,[12 14] ; [11 21],[10.31034483 15.68965517] ; [12.68965517 19.31034483],0
b2,1,0.361785,0.831689,[12 14] ; [11 21],[10.31034483 15.68965517] ; [12.68965517 19.31034483],0
a6,1,0.396946,0.717559,[24 15] ; [33 14],[25.84883721 13.15116279] ; [31.15116279 15.84883721],0
u3,1,0.422489,0.643382,[8 1] ; [9 3],[7.28571429 1.71428571] ; [9.71428571 2.28571429],0
s5,1,0.426822,0.631455,[16 19] ; [17 29],[14.25925926 20.74074074] ; [18.74074074 27.25925926],0
n2,1,0.431847,0.617851,[7 2] ; [10  6],[6.12 2.88] ; [10.88  5.12],0
a1,1,0.450266,0.569983,[ 2 37] ; [ 1 46],[ 1.36046512 37.63953488] ; [ 1.63953488 45.36046512],0
s3,1,0.465832,0.531845,[27 12] ; [29 18],[25.39534884 13.60465116] ; [30.60465116 16.39534884],0
d5,1,0.504151,0.446187,[32  7] ; [41  6],[33.10465116  5.89534884] ; [39.89534884  7.10465116],0
d2,1,0.515812,0.422259,[18 21] ; [25 22],[19.5 19.5] ; [23.5 23.5],0
r4,1,0.521521,0.410885,[35  4] ; [40  7],[34.01162791  4.98837209] ; [40.98837209  6.01162791],0
a4,1,0.529694,0.394978,[14 25] ; [20 27],[15.41860465 23.58139535] ; [18.58139535 28.41860465],0
r2,1,0.543193,0.369653,[36  2] ; [42  4],[35.28571429  2.71428571] ; [42.71428571  3.28571429],0
p11,1,0.56145,0.3372,[28 11] ; [31 16],[26.75581395 12.24418605] ; [32.24418605 14.75581395],0
s8,1,0.590851,0.289017,[23 16] ; [25 22],[21.76744186 17.23255814] ; [26.23255814 20.76744186],0
u2,1,0.648077,0.208333,[6 2] ; [10  2],[6.4 1.6] ; [9.6 2.4],0
b4,1,0.697339,0.151255,[25 14] ; [32 15],[25.84883721 13.15116279] ; [31.15116279 15.84883721],0
s4,1,0.697339,0.151255,[14 25] ; [15 32],[13.15116279 25.84883721] ; [15.84883721 31.15116279],0
b5,1,0.733228,0.116168,[23 16] ; [26 21],[22.22093023 16.77906977] ; [26.77906977 20.22093023],0
n1,1,0.733701,0.115741,[4 5] ; [ 6 10],[3.6 5.4] ; [6.4 9.6],0
v1,1,0.777507,0.079845,[17 21] ; [22 24],[17.64285714 20.35714286] ; [21.35714286 24.64285714],0
a3,1,0.791916,0.069603,[30  9] ; [35 12],[29.47674419  9.52325581] ; [35.52325581 11.47674419],0
n4,1,0.828516,0.046918,[20 19] ; [23 24],[19.5 19.5] ; [23.5 23.5],0
p10,1,0.844318,0.038563,[29  9] ; [35 12],[28.61176471  9.38823529] ; [35.38823529 11.61176471],0
s1,1,0.848244,0.036619,[ 2 37] ; [ 2 45],[ 1.81395349 37.18604651] ; [ 2.18604651 44.81395349],0
u1,1,0.886771,0.020275,[ 7 32] ; [ 9 38],[ 7.25581395 31.74418605] ; [ 8.74418605 38.25581395],0
n3,1,0.896743,0.016842,[7 2] ; [12  3],[7.125 1.875] ; [11.875  3.125],0
d1,1,0.923001,0.009342,[22 17] ; [27 20],[22.22093023 16.77906977] ; [26.77906977 20.22093023],0
s2,1,0.955027,0.00318,[23 16] ; [28 19],[23.12790698 15.87209302] ; [27.87209302 19.12790698],0
v2,1,0.964724,0.001956,[20 17] ; [24 20],[20.09876543 16.90123457] ; [23.90123457 20.09876543],0
a2,1,0.971465,0.00128,[ 9 30] ; [11 36],[ 9.06976744 29.93023256] ; [10.93023256 36.06976744],0
d3,1,0.971465,0.00128,[30  9] ; [36 11],[29.93023256  9.06976744] ; [36.06976744 10.93023256],0
s6,1,0.990789,0.000133,[29 10] ; [35 12],[29.02325581  9.97674419] ; [34.97674419 12.02325581],0
