Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,25.955881,[310  29] ; [28 15],[299.95287958  39.04712042] ; [38.04712042  4.95287958],1
p7,1,1e-06,23.828827,[270  67] ; [20 23],[257.18421053  79.81578947] ; [32.81578947 10.18421053],1
p4,1,8e-06,19.933575,[287  54] ; [24 19],[276.17447917  64.82552083] ; [34.82552083  8.17447917],1
p8,1,1.9e-05,18.24632,[237 102] ; [16 27],[224.52094241 114.47905759] ; [28.47905759 14.52094241],1
v4,1,2.7e-05,17.650322,[330   9] ; [36  7],[324.80104712  14.19895288] ; [41.19895288  1.80104712],1
p10,1,9.3e-05,15.281815,[300  37] ; [29 14],[291.77105263  45.22894737] ; [37.22894737  5.77105263],1
p11,1,0.00035,12.781059,[284  57] ; [26 17],[275.28645833  65.71354167] ; [34.71354167  8.28645833],1
r3,1,0.002457,9.172005,[326  12] ; [37  6],[322.03149606  15.96850394] ; [40.96850394  2.03149606],0
v1,1,0.011739,6.349801,[213 119] ; [18 23],[205.60857909 126.39142091] ; [25.39142091 15.60857909],0
r4,1,0.016922,5.704442,[315  26] ; [35  8],[310.80729167  30.19270833] ; [39.19270833  3.80729167],0
p6,1,0.021374,5.296027,[171 163] ; [14 29],[163.89920424 170.10079576] ; [21.10079576 21.89920424],0
r1,1,0.023684,5.117621,[284  55] ; [30 13],[278.65445026  60.34554974] ; [35.34554974  7.65445026],0
n5,1,0.034506,4.46947,[269  70] ; [28 15],[263.56806283  75.43193717] ; [33.43193717  9.56806283],0
v3,1,0.035284,4.431387,[156 172] ; [12 28],[149.73913043 178.26086957] ; [18.26086957 21.73913043],0
d3,1,0.042093,4.131477,[269  72] ; [28 15],[263.7421875  77.2578125] ; [33.2578125  9.7421875],0
p5,1,0.052983,3.744454,[ 67 273] ; [ 3 38],[ 62.4671916 277.5328084] ; [ 7.5328084 33.4671916],0
n6,1,0.091045,2.855801,[298  41] ; [33  9],[294.51181102  44.48818898] ; [36.48818898  5.51181102],0
s6,1,0.096617,2.760514,[248  84] ; [27 16],[243.46666667  88.53333333] ; [31.53333333 11.46666667],0
a2,1,0.098422,2.730925,[105 236] ; [ 8 35],[100.34635417 240.65364583] ; [12.65364583 30.34635417],0
d5,1,0.099305,2.716667,[312  29] ; [36  7],[309.03125  31.96875] ; [38.96875  4.03125],0
s8,1,0.11102,2.539635,[185 153] ; [18 25],[180.08923885 157.91076115] ; [22.91076115 20.08923885],0
n4,1,0.123901,2.367302,[285  55] ; [32 11],[281.40992167  58.59007833] ; [35.59007833  7.40992167],0
n2,1,0.152334,2.048726,[34 14] ; [15  2],[36.18461538 11.81538462] ; [12.81538462  4.18461538],0
p12,1,0.158078,1.992519,[ 40 299] ; [ 2 41],[ 37.27225131 301.72774869] ; [ 4.72774869 38.27225131],0
s1,1,0.170067,1.882356,[ 10 329] ; [ 3 40],[ 11.53664921 327.46335079] ; [ 1.46335079 41.53664921],0
a1,1,0.178547,1.809676,[ 21 320] ; [ 5 38],[ 23.08854167 317.91145833] ; [ 2.91145833 40.08854167],0
u3,1,0.197583,1.660152,[49 22] ; [6 6],[47.04819277 23.95180723] ; [7.95180723 4.04819277],0
v2,1,0.219778,1.505817,[209 122] ; [23 20],[205.32620321 125.67379679] ; [26.67379679 16.32620321],0
a8,1,0.268385,1.224982,[ 43 262] ; [ 3 36],[ 40.78488372 264.21511628] ; [ 5.21511628 33.78488372],0
s7,1,0.27158,1.208747,[194 127] ; [20 19],[190.81666667 130.18333333] ; [23.18333333 15.81666667],0
a3,1,0.274841,1.192426,[269  70] ; [31 12],[266.23036649  72.76963351] ; [33.76963351  9.23036649],0
