Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,0.000194,13.884914,[2 4] ; [ 10 287],[0.23762376 5.76237624] ; [ 11.76237624 285.23762376],1
p7,1,0.016666,5.731223,[3 3] ; [253  43],[5.08609272 0.91390728] ; [250.91390728  45.08609272],0
s5,1,0.059041,3.564125,[5 1] ; [127 158],[2.72164948 3.27835052] ; [129.27835052 155.72164948],0
p2,1,0.080242,3.06,[4 2] ; [268  32],[5.33333333 0.66666667] ; [266.66666667  33.33333333],0
d4,1,0.184784,1.758721,[4 2] ; [256  42],[5.13157895 0.86842105] ; [254.86842105  43.13157895],0
p1,1,0.194955,1.679768,[2 4] ; [ 43 256],[0.8852459 5.1147541] ; [ 44.1147541 254.8852459],0
b1,1,0.20009,1.641714,[4 2] ; [122 178],[2.47058824 3.52941176] ; [123.52941176 176.47058824],0
r1,1,0.205237,1.604709,[4 2] ; [256  44],[5.09803922 0.90196078] ; [254.90196078  45.09803922],0
b3,1,0.220992,1.497918,[1 4] ; [ 92 101],[2.34848485 2.65151515] ; [ 90.65151515 102.34848485],0
b2,1,0.220992,1.497918,[1 4] ; [ 92 101],[2.34848485 2.65151515] ; [ 90.65151515 102.34848485],0
b4,1,0.229313,1.445121,[5 1] ; [177 123],[3.56862745 2.43137255] ; [178.43137255 121.56862745],0
s2,1,0.238671,1.388424,[5 1] ; [178 121],[3.6 2.4] ; [179.4 119.6],0
d5,1,0.302214,1.064398,[4 2] ; [246  51],[4.95049505 1.04950495] ; [245.04950495  51.95049505],0
p11,1,0.350077,0.873177,[4 2] ; [245  55],[4.88235294 1.11764706] ; [244.11764706  55.88235294],0
s4,1,0.394897,0.723809,[2 4] ; [ 57 237],[1.18 4.82] ; [ 57.82 236.18],0
p4,1,0.395215,0.722837,[4 2] ; [241  58],[4.81967213 1.18032787] ; [240.18032787  58.81967213],0
a4,1,0.395868,0.72084,[2 4] ; [152 147],[3.0295082 2.9704918] ; [150.9704918 148.0295082],0
a6,1,0.410277,0.677997,[3 3] ; [197 101],[3.94736842 2.05263158] ; [196.05263158 101.94736842],0
p3,1,0.417416,0.657579,[3 3] ; [197 102],[3.93442623 2.06557377] ; [196.06557377 102.93442623],0
n1,1,0.45195,0.565757,[2 1] ; [24 30],[1.36842105 1.63157895] ; [24.63157895 29.36842105],0
p8,1,0.473538,0.513707,[5 1] ; [208  90],[4.20394737 1.79605263] ; [208.79605263  89.20394737],0
v1,1,0.504022,0.446458,[3 3] ; [188 109],[3.78217822 2.21782178] ; [187.21782178 109.78217822],0
p9,1,0.546011,0.364513,[5 1] ; [271  28],[5.4295082 0.5704918] ; [270.5704918  28.4295082],0
a3,1,0.610524,0.259412,[5 1] ; [221  77],[4.46052632 1.53947368] ; [221.53947368  76.46052632],0
d3,1,0.663715,0.189042,[4 2] ; [222  76],[4.46052632 1.53947368] ; [221.53947368  76.46052632],0
a5,1,0.676452,0.174148,[5 1] ; [228  72],[4.56862745 1.43137255] ; [228.43137255  71.56862745],0
a7,1,0.678558,0.171754,[4 2] ; [221  77],[4.44078947 1.55921053] ; [220.55921053  77.44078947],0
s6,1,0.700441,0.148013,[5 1] ; [223  68],[4.60606061 1.39393939] ; [223.39393939  67.60606061],0
v2,1,0.704666,0.143663,[4 2] ; [174 121],[3.54817276 2.45182724] ; [174.45182724 120.54817276],0
v3,1,0.711818,0.136468,[3 3] ; [124 168],[2.55704698 3.44295302] ; [124.44295302 167.55704698],0
b5,1,0.717138,0.131251,[4 2] ; [178 122],[3.56862745 2.43137255] ; [178.43137255 121.56862745],0
s8,1,0.717432,0.130967,[3 3] ; [171 127],[3.43421053 2.56578947] ; [170.56578947 127.43421053],0
s7,1,0.792217,0.069397,[4 2] ; [178 112],[3.68918919 2.31081081] ; [178.31081081 111.68918919],0
p10,1,0.817852,0.053042,[5 1] ; [258  40],[5.19078947 0.80921053] ; [257.80921053  40.19078947],0
d2,1,0.851588,0.035004,[3 3] ; [161 138],[3.22622951 2.77377049] ; [160.77377049 138.22622951],0
p5,1,0.869777,0.026877,[1 5] ; [ 58 242],[1.15686275 4.84313725] ; [ 57.84313725 242.15686275],0
d1,1,0.945816,0.004619,[4 2] ; [196 104],[3.92156863 2.07843137] ; [196.07843137 103.92156863],0
s3,1,0.980631,0.000589,[3 2] ; [181 118],[3.02631579 1.97368421] ; [180.97368421 118.02631579],0
