Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,51.456401,[111 153] ; [239  97],[154. 110.] ; [196. 140.],1
v3,1,0.0,37.555335,[ 76 191] ; [180 158],[112.9785124 154.0214876] ; [143.0214876 194.9785124],1
p4,1,8e-06,20.014147,[143 129] ; [242 103],[169.72447326 102.27552674] ; [215.27552674 129.72447326],1
n5,1,1.1e-05,19.321422,[201  70] ; [305  42],[221.88673139  49.11326861] ; [284.11326861  62.88673139],1
s8,1,0.000107,15.000276,[ 99 173] ; [179 165],[122.75324675 149.24675325] ; [155.24675325 188.75324675],1
p6,1,0.000141,14.494705,[ 84 188] ; [156 183],[106.84124386 165.15875614] ; [133.15875614 205.84124386],1
p9,1,0.000239,13.493322,[226  43] ; [320  23],[239.99019608  29.00980392] ; [306.00980392  36.99019608],1
p7,1,0.000271,13.260494,[158 109] ; [246  90],[178.88557214  88.11442786] ; [225.11442786 110.88557214],1
p3,1,0.000347,12.796,[121 151] ; [204 142],[143.0420712 128.9579288] ; [181.9579288 164.0420712],1
p10,1,0.000553,11.928705,[223  47] ; [314  28],[236.91176471  33.08823529] ; [300.08823529  41.91176471],1
a3,1,0.000767,11.31879,[179  94] ; [269  77],[197.58319871  75.41680129] ; [250.41680129  95.58319871],1
n4,1,0.00204,9.512884,[210  63] ; [300  47],[224.56451613  48.43548387] ; [285.43548387  61.56451613],0
a5,1,0.002288,9.302675,[187  86] ; [275  72],[203.42903226  69.57096774] ; [258.57096774  88.42903226],0
p8,1,0.003307,8.629684,[139 131] ; [214 124],[156.75986842 113.24013158] ; [196.24013158 141.75986842],0
d1,1,0.004493,8.073083,[146 128] ; [224 123],[163.25281804 110.74718196] ; [206.74718196 140.25281804],0
r1,1,0.00548,7.71397,[207  67] ; [293  54],[220.61191626  53.38808374] ; [279.38808374  67.61191626],0
p5,1,0.009739,6.681956,[ 25 247] ; [ 56 288],[ 35.76623377 236.23376623] ; [ 45.23376623 298.76623377],0
b5,1,0.010162,6.606286,[140 134] ; [213 134],[155.75201288 118.24798712] ; [197.24798712 149.75201288],0
d5,1,0.010593,6.532417,[208  66] ; [291  55],[220.52580645  53.47419355] ; [278.47419355  67.52580645],0
u4,1,0.011691,6.3571,[  1 273] ; [ 11 336],[  5.29468599 268.70531401] ; [  6.70531401 340.29468599],0
r4,1,0.012373,6.256634,[243  31] ; [327  20],[251.49758454  22.50241546] ; [318.50241546  28.49758454],0
s2,1,0.012928,6.178893,[122 149] ; [188 153],[137.27124183 133.72875817] ; [172.72875817 168.27124183],0
b3,1,0.013072,6.159312,[ 49 106] ; [105 133],[60.73791349 94.26208651] ; [ 93.26208651 144.73791349],0
b2,1,0.013072,6.159312,[ 49 106] ; [105 133],[60.73791349 94.26208651] ; [ 93.26208651 144.73791349],0
d4,1,0.014418,5.986208,[213  59] ; [297  49],[224.46601942  47.53398058] ; [285.53398058  60.46601942],0
u1,1,0.014578,5.966744,[ 39 235] ; [ 76 271],[ 50.74074074 223.25925926] ; [ 64.25925926 282.74074074],0
s6,1,0.016917,5.704919,[166 100] ; [244  97],[179.67051071  86.32948929] ; [230.32948929 110.67051071],0
a4,1,0.021517,5.284421,[110 163] ; [171 174],[124.13106796 148.86893204] ; [156.86893204 188.13106796],0
v4,1,0.024898,5.030938,[255  17] ; [337   9],[260.5566343  11.4433657] ; [331.4433657  14.5566343],0
s5,1,0.031097,4.647588,[ 82 181] ; [133 202],[ 94.55685619 168.44314381] ; [120.44314381 214.55685619],0
s7,1,0.031372,4.632502,[119 146] ; [178 153],[132.05536913 132.94463087] ; [164.94463087 166.05536913],0
r2,1,0.034149,4.487235,[251  21] ; [330  13],[256.96260163  15.03739837] ; [324.03739837  18.96260163],0
u3,1,0.035922,4.400805,[44 50] ; [49 29],[50.8255814 43.1744186] ; [42.1744186 35.8255814],0
p2,1,0.045653,3.994341,[227  45] ; [307  38],[235.41004862  36.58995138] ; [298.58995138  46.41004862],0
a2,1,0.050703,3.818048,[ 55 219] ; [ 93 254],[ 65.30112721 208.69887279] ; [ 82.69887279 264.30112721],0
d3,1,0.072076,3.235104,[180  93] ; [252  95],[190.21935484  82.78064516] ; [241.78064516 105.21935484],0
d2,1,0.099467,2.714063,[121 151] ; [177 169],[131.15857605 140.84142395] ; [166.84142395 179.15857605],0
n1,1,0.127534,2.322268,[20 49] ; [22 30],[23.95041322 45.04958678] ; [18.04958678 33.95041322],0
a7,1,0.156123,2.011383,[188  84] ; [257  89],[195.85760518  76.14239482] ; [249.14239482  96.85760518],0
a8,1,0.215746,1.532446,[ 32 222] ; [ 51 262],[ 37.18165785 216.81834215] ; [ 45.81834215 267.18165785],0
n2,1,0.2324,1.426111,[47 21] ; [41 11],[49.86666667 18.13333333] ; [38.13333333 13.86666667],0
r3,1,0.314295,1.012539,[261  11] ; [337   9],[263.197411   8.802589] ; [334.802589  11.197411],0
s3,1,0.315863,1.005999,[142 126] ; [194 146],[148.10526316 119.89473684] ; [187.89473684 152.10526316],0
u2,1,0.38516,0.754169,[48 46] ; [45 33],[50.8255814 43.1744186] ; [42.1744186 35.8255814],0
s4,1,0.390111,0.738596,[ 48 221] ; [ 52 289],[ 44.09836066 224.90163934] ; [ 55.90163934 285.09836066],0
a6,1,0.403903,0.696674,[184  89] ; [244 102],[188.76252019  84.23747981] ; [239.23747981 106.76252019],0
p12,1,0.408274,0.683821,[ 23 248] ; [ 36 308],[ 25.99837398 245.00162602] ; [ 33.00162602 310.99837398],0
n3,1,0.670519,0.180995,[52 16] ; [38 14],[51. 17.] ; [39. 13.],0
p1,1,0.733431,0.115985,[ 23 248] ; [ 32 313],[ 24.19642857 246.80357143] ; [ 30.80357143 314.19642857],0
a1,1,0.760594,0.092842,[ 12 262] ; [ 17 330],[ 12.79549114 261.20450886] ; [ 16.20450886 330.79549114],0
s1,1,0.799654,0.064412,[  8 262] ; [  9 334],[  7.48776509 262.51223491] ; [  9.51223491 333.48776509],0
b4,1,0.881674,0.022155,[165 109] ; [211 136],[165.90016103 108.09983897] ; [210.09983897 136.90016103],0
b1,1,0.938235,0.006005,[ 90 184] ; [115 232],[ 90.45088567 183.54911433] ; [114.54911433 232.45088567],0
