Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,99.289743,[ 40 128] ; [238  99],[92.48316832 75.51683168] ; [185.51683168 151.48316832],1
p6,1,0.0,57.713368,[ 31 135] ; [181 152],[70.5250501 95.4749499] ; [141.4749499 191.5250501],1
p8,1,0.0,34.393287,[ 63 103] ; [219 115],[93.624 72.376] ; [188.376 145.624],1
p7,1,9e-06,19.616402,[90 69] ; [253  79],[111.07331976  47.92668024] ; [231.92668024 100.07331976],1
p2,1,1.1e-05,19.340254,[132  36] ; [309  26],[147.29224652  20.70775348] ; [293.70775348  41.29224652],1
p5,1,1.6e-05,18.586158,[  8 159] ; [ 64 271],[ 23.95219124 143.04780876] ; [ 48.04780876 286.95219124],1
d1,1,2.9e-05,17.470509,[83 86] ; [230 107],[104.53952569  64.46047431] ; [208.46047431 128.53952569],1
n5,1,0.000168,14.159789,[118  50] ; [284  52],[134.  34.] ; [268.  68.],1
n4,1,0.000182,14.013221,[119  50] ; [285  52],[134.93280632  34.06719368] ; [269.06719368  67.93280632],1
d2,1,0.000208,13.755732,[ 64 105] ; [186 150],[83.66336634 85.33663366] ; [166.33663366 169.66336634],1
d3,1,0.000308,13.023358,[104  65] ; [259  78],[121.23913043  47.76086957] ; [241.76086957  95.23913043],1
d5,1,0.005822,7.604514,[130  39] ; [291  45],[140.88910891  28.11089109] ; [280.11089109  55.88910891],0
d4,1,0.006107,7.518561,[132  37] ; [294  42],[142.56237624  26.43762376] ; [283.43762376  52.56237624],0
n2,1,0.009006,6.821638,[43  5] ; [39 18],[37.48571429 10.51428571] ; [44.51428571 12.48571429],0
u1,1,0.011371,6.406445,[ 23 146] ; [ 78 259],[ 33.73320158 135.26679842] ; [ 67.26679842 269.73320158],0
a5,1,0.011596,6.371641,[119  50] ; [271  66],[130.256917  38.743083] ; [259.743083  77.256917],0
s7,1,0.013039,6.163822,[92 76] ; [210 107],[104.61030928  63.38969072] ; [197.38969072 119.61030928],0
r4,1,0.014506,5.975516,[152  17] ; [322  15],[158.31225296  10.68774704] ; [315.68774704  21.31225296],0
a4,1,0.023499,5.131218,[ 66 103] ; [167 169],[77.97425743 91.02574257] ; [155.02574257 180.97425743],0
v1,1,0.028658,4.788029,[84 78] ; [204 124],[95.21632653 66.78367347] ; [192.78367347 135.21632653],0
p9,1,0.060597,3.520972,[158  11] ; [326  10],[161.97227723   7.02772277] ; [322.02772277  13.97227723],0
u2,1,0.066411,3.369573,[28 22] ; [56 22],[32.8125 17.1875] ; [51.1875 26.8125],0
a2,1,0.069341,3.298541,[ 35 134] ; [ 95 242],[ 43.41897233 125.58102767] ; [ 86.58102767 250.41897233],0
s2,1,0.073559,3.201764,[103  64] ; [234 102],[111.88667992  55.11332008] ; [225.11332008 110.88667992],0
b5,1,0.078551,3.094639,[111  58] ; [194 143],[101.86758893  67.13241107] ; [203.13241107 133.86758893],0
s8,1,0.087631,2.917361,[90 79] ; [205 130],[98.91865079 70.08134921] ; [196.08134921 138.91865079],0
n6,1,0.09573,2.775272,[143  25] ; [302  33],[148.62823062  19.37176938] ; [296.37176938  38.62823062],0
r1,1,0.106632,2.60344,[134  34] ; [287  49],[140.33333333  27.66666667] ; [280.66666667  55.33333333],0
a3,1,0.124941,2.354265,[118  50] ; [258  79],[125.08514851  42.91485149] ; [250.91485149  86.08514851],0
p11,1,0.126356,2.336707,[136  33] ; [289  48],[141.94664032  27.05335968] ; [283.05335968  53.94664032],0
a7,1,0.126374,2.336485,[117  52] ; [254  82],[124.15643564  44.84356436] ; [246.84356436  89.15643564],0
s5,1,0.156608,2.006677,[67 96] ; [157 171],[74.36252546 88.63747454] ; [149.63747454 178.36252546],0
p12,1,0.163644,1.940225,[ 15 154] ; [ 44 292],[ 19.74455446 149.25544554] ; [ 39.25544554 296.74455446],0
u3,1,0.196604,1.667424,[28 23] ; [51 26],[31.4765625 19.5234375] ; [47.5234375 29.4765625],0
b1,1,0.204485,1.610046,[ 54 115] ; [127 210],[ 60.45256917 108.54743083] ; [120.54743083 216.45256917],0
p1,1,0.206202,1.597891,[ 11 158] ; [ 33 301],[ 14.7833002 154.2166998] ; [ 29.2166998 304.7833002],0
u4,1,0.213567,1.547081,[  2 167] ; [ 10 327],[  4.00790514 164.99209486] ; [  7.99209486 329.00790514],0
v3,1,0.217342,1.521833,[ 62 103] ; [141 184],[68.35714286 96.64285714] ; [134.64285714 190.35714286],0
a1,1,0.33227,0.94003,[  7 162] ; [ 21 316],[  9.35177866 159.64822134] ; [ 18.64822134 318.35177866],0
s3,1,0.343037,0.899047,[121  45] ; [229 104],[116.43286573  49.56713427] ; [233.56713427  99.43286573],0
v2,1,0.376796,0.781129,[87 68] ; [198 130],[91.45962733 63.54037267] ; [193.54037267 134.45962733],0
s1,1,0.477368,0.504869,[  7 159] ; [ 10 324],[  5.644 160.356] ; [ 11.356 322.644],0
a8,1,0.574478,0.315247,[ 23 133] ; [ 40 271],[ 21.04496788 134.95503212] ; [ 41.95503212 269.04496788],0
v4,1,0.585364,0.297643,[163   4] ; [325  11],[162.01988072   4.98011928] ; [325.98011928  10.01988072],0
n3,1,0.616396,0.250965,[33 15] ; [41 15],[34.15384615 13.84615385] ; [39.84615385 16.15384615],0
a6,1,0.716788,0.131591,[115  53] ; [236 101],[116.76831683  51.23168317] ; [234.23168317 102.76831683],0
r3,1,0.719369,0.129098,[162   6] ; [326  10],[162.66666667   5.33333333] ; [325.33333333  10.66666667],0
s4,1,0.77046,0.085132,[ 37 130] ; [ 70 263],[ 35.738 131.262] ; [ 71.262 261.738],0
r2,1,0.773108,0.083123,[159   7] ; [318  16],[158.364   7.636] ; [318.636  15.364],0
n1,1,0.773236,0.083028,[19 29] ; [21 36],[18.28571429 29.71428571] ; [21.71428571 35.28571429],0
b2,1,0.794454,0.067877,[33 59] ; [ 79 132],[34.00660066 57.99339934] ; [ 77.99339934 133.00660066],0
b3,1,0.794454,0.067877,[33 59] ; [ 79 132],[34.00660066 57.99339934] ; [ 77.99339934 133.00660066],0
b4,1,0.928343,0.008087,[101  68] ; [200 137],[100.53162055  68.46837945] ; [200.46837945 136.53162055],0
