Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.1e-05,19.273709,[135  14] ; [54 26],[122.97379913  26.02620087] ; [66.02620087 13.97379913],1
p10,1,0.000921,10.980613,[133  16] ; [60 23],[123.95258621  25.04741379] ; [69.04741379 13.95258621],1
v4,1,0.001254,10.409528,[145   3] ; [71 10],[139.59825328   8.40174672] ; [76.40174672  4.59825328],0
s3,1,0.001287,10.36064,[122  26] ; [52 30],[111.96521739  36.03478261] ; [62.03478261 19.96521739],0
s2,1,0.002429,9.193143,[113  36] ; [47 36],[102.75862069  46.24137931] ; [57.24137931 25.75862069],0
p9,1,0.002558,9.098901,[135  15] ; [60 20],[127.17391304  22.82608696] ; [67.82608696 12.17391304],0
v3,1,0.007938,7.04734,[70 71] ; [25 55],[60.61085973 80.38914027] ; [34.38914027 45.61085973],0
r4,1,0.018797,5.520317,[137  13] ; [67 16],[131.3304721  18.6695279] ; [72.6695279 10.3304721],0
r1,1,0.018902,5.510604,[130  18] ; [63 20],[123.65367965  24.34632035] ; [69.34632035 13.65367965],0
v1,1,0.054064,3.710737,[80 63] ; [34 46],[73.10313901 69.89686099] ; [40.89686099 39.10313901],0
a3,1,0.08501,2.966425,[126  24] ; [62 21],[121.03004292  28.96995708] ; [66.96995708 16.03004292],0
p12,1,0.089053,2.891416,[ 12 138] ; [ 2 80],[  9.05172414 140.94827586] ; [ 4.94827586 77.05172414],0
s5,1,0.09134,2.85059,[61 85] ; [25 57],[55.07017544 90.92982456] ; [30.92982456 51.07017544],0
n5,1,0.110389,2.548641,[120  28] ; [59 23],[115.1826087  32.8173913] ; [63.8173913 18.1826087],0
p7,1,0.112918,2.512896,[88 58] ; [40 41],[82.32599119 63.67400881] ; [45.67400881 35.32599119],0
p5,1,0.160746,1.967194,[ 17 128] ; [ 5 78],[ 13.99122807 131.00877193] ; [ 8.00877193 74.99122807],0
b2,1,0.177951,1.814658,[43 65] ; [16 39],[39.09202454 68.90797546] ; [19.90797546 35.09202454],0
b3,1,0.177951,1.814658,[43 65] ; [16 39],[39.09202454 68.90797546] ; [19.90797546 35.09202454],0
a6,1,0.197683,1.65941,[104  46] ; [50 32],[99.56896552 50.43103448] ; [54.43103448 27.56896552],0
d1,1,0.208018,1.585168,[94 56] ; [45 38],[89.48497854 60.51502146] ; [49.51502146 33.48497854],0
n6,1,0.274064,1.196293,[127  21] ; [65 16],[124.08733624  23.91266376] ; [67.91266376 13.08733624],0
n1,1,0.30264,1.062523,[19 18] ; [ 7 12],[17.17857143 19.82142857] ; [ 8.82142857 10.17857143],0
s4,1,0.30337,1.059323,[ 26 124] ; [19 64],[ 28.96995708 121.03004292] ; [16.03004292 66.96995708],0
v2,1,0.304745,1.053314,[86 57] ; [43 38],[82.35267857 60.64732143] ; [46.64732143 34.35267857],0
s1,1,0.338454,0.916277,[  5 142] ; [ 5 77],[  6.41921397 140.58078603] ; [ 3.58078603 78.41921397],0
a5,1,0.348673,0.87828,[120  30] ; [62 21],[117.16738197  32.83261803] ; [64.83261803 18.16738197],0
p11,1,0.348673,0.87828,[120  30] ; [62 21],[117.16738197  32.83261803] ; [64.83261803 18.16738197],0
p3,1,0.398441,0.713027,[69 81] ; [33 49],[65.94827586 84.05172414] ; [36.05172414 45.94827586],0
p8,1,0.41686,0.659151,[69 80] ; [33 48],[66.07826087 82.92173913] ; [35.92173913 45.07826087],0
r3,1,0.472355,0.516461,[144   6] ; [77  5],[142.88793103   7.11206897] ; [78.11206897  3.88793103],0
u2,1,0.474063,0.51249,[14  9] ; [10 10],[12.8372093 10.1627907] ; [11.1627907  8.8372093],0
b4,1,0.478518,0.502238,[85 65] ; [51 32],[87.55364807 62.44635193] ; [48.44635193 34.55364807],0
d4,1,0.4984,0.458341,[126  24] ; [66 16],[124.13793103  25.86206897] ; [67.86206897 14.13793103],0
u3,1,0.510925,0.432173,[16  8] ; [12  9],[14.93333333  9.06666667] ; [13.06666667  7.93333333],0
a2,1,0.511064,0.431888,[ 44 106] ; [21 62],[ 41.84549356 108.15450644] ; [23.15450644 59.84549356],0
n3,1,0.589485,0.29115,[26 12] ; [11  7],[25.10714286 12.89285714] ; [11.89285714  6.10714286],0
p2,1,0.63377,0.226982,[119  31] ; [68 15],[120.38626609  29.61373391] ; [66.61373391 16.38626609],0
p4,1,0.636542,0.223293,[82 67] ; [43 40],[80.28017241 68.71982759] ; [44.71982759 38.28017241],0
b5,1,0.678806,0.171473,[88 62] ; [51 32],[89.48497854 60.51502146] ; [49.51502146 33.48497854],0
a8,1,0.69152,0.157445,[ 24 111] ; [15 60],[ 25.07142857 109.92857143] ; [13.92857143 61.07142857],0
u1,1,0.699329,0.14917,[ 34 116] ; [17 66],[ 32.83261803 117.16738197] ; [18.16738197 64.83261803],0
a4,1,0.733292,0.116111,[67 83] ; [39 44],[68.24034335 81.75965665] ; [37.75965665 45.24034335],0
d2,1,0.7579,0.095012,[80 70] ; [42 40],[78.87931034 71.12068966] ; [43.12068966 38.87931034],0
r2,1,0.810363,0.057579,[140   8] ; [76  5],[139.59825328   8.40174672] ; [76.40174672  4.59825328],0
n2,1,0.812403,0.056324,[31  7] ; [15  4],[30.66666667  7.33333333] ; [15.33333333  3.66666667],0
d3,1,0.812574,0.05622,[102  48] ; [57 25],[102.80172414  47.19827586] ; [56.19827586 25.80172414],0
a7,1,0.84785,0.036811,[103  47] ; [58 25],[103.64806867  46.35193133] ; [57.35193133 25.64806867],0
p1,1,0.848223,0.036628,[ 10 140] ; [ 5 78],[  9.65665236 140.34334764] ; [ 5.34334764 77.65665236],0
d5,1,0.859568,0.031302,[123  27] ; [68 14],[123.49137931  26.50862069] ; [67.50862069 14.49137931],0
a1,1,0.883726,0.021388,[  6 144] ; [ 3 80],[  5.79399142 144.20600858] ; [ 3.20600858 79.79399142],0
n4,1,0.969417,0.00147,[118  30] ; [66 17],[117.88744589  30.11255411] ; [66.11255411 16.88744589],0
b1,1,0.971308,0.001294,[60 90] ; [33 50],[59.87124464 90.12875536] ; [33.12875536 49.87124464],0
