Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,172.747463,[365  51] ; [28 79],[312.59655832 103.40344168] ; [80.40344168 26.59655832],1
n6,1,0.0,51.350516,[380  36] ; [68 38],[357.02681992  58.97318008] ; [90.97318008 15.02681992],1
p11,1,1e-06,23.422233,[353  65] ; [68 39],[335.19619048  82.80380952] ; [85.80380952 21.19619048],1
s7,1,1.1e-05,19.344957,[233 169] ; [33 66],[213.43712575 188.56287425] ; [52.56287425 46.43712575],1
p4,1,4.4e-05,16.688673,[287 127] ; [51 55],[269.1 144.9] ; [68.9 37.1],1
a8,1,4.9e-05,16.47343,[ 61 306] ; [ 1 98],[ 48.82832618 318.17167382] ; [13.17167382 85.82832618],1
p9,1,0.000196,13.868307,[367  45] ; [78 26],[355.31007752  56.68992248] ; [89.68992248 14.31007752],1
v3,1,0.000201,13.819013,[191 207] ; [27 72],[174.57545272 223.42454728] ; [43.42454728 55.57545272],1
r4,1,0.000204,13.792049,[398  20] ; [91 16],[389.33714286  28.66285714] ; [99.66285714  7.33714286],1
p6,1,0.000286,13.161266,[178 231] ; [25 79],[161.8460039 247.1539961] ; [41.1539961 62.8460039],1
p10,1,0.000302,13.059466,[357  58] ; [74 30],[344.63391137  70.36608863] ; [86.36608863 17.63391137],1
p7,1,0.000325,12.921635,[280 129] ; [51 52],[264.41210938 144.58789062] ; [66.58789062 36.41210938],1
a5,1,0.000333,12.877312,[364  54] ; [78 29],[351.91619048  66.08380952] ; [90.08380952 16.91619048],1
s8,1,0.000514,12.06487,[225 189] ; [38 69],[208.9865643 205.0134357] ; [54.0134357 52.9865643],1
d2,1,0.001682,9.867266,[315 100] ; [65 42],[302.10727969 112.89272031] ; [77.89272031 29.10727969],0
a3,1,0.001852,9.690667,[347  69] ; [75 32],[335.66347992  80.33652008] ; [86.33652008 20.66347992],0
p3,1,0.002002,9.547506,[232 183] ; [41 64],[217.875 197.125] ; [55.125 49.875],0
u1,1,0.002711,8.992156,[127 291] ; [17 90],[114.65142857 303.34857143] ; [29.34857143 77.65142857],0
a2,1,0.003455,8.549911,[161 257] ; [25 82],[148.09142857 269.90857143] ; [37.90857143 69.09142857],0
v1,1,0.004432,8.097736,[245 162] ; [46 57],[232.22941176 174.77058824] ; [58.77058824 44.22941176],0
a4,1,0.004733,7.978853,[254 163] ; [49 58],[241.1278626 175.8721374] ; [61.8721374 45.1278626],0
r1,1,0.005177,7.81651,[363  53] ; [81 25],[353.83908046  62.16091954] ; [90.16091954 15.83908046],0
s4,1,0.00586,7.592895,[ 58 352] ; [27 80],[ 67.40812379 342.59187621] ; [17.59187621 89.40812379],0
p5,1,0.006417,7.429382,[ 55 360] ; [  4 101],[ 47.08653846 367.91346154] ; [11.91346154 93.08653846],0
p12,1,0.013408,6.114409,[ 44 371] ; [  3 102],[ 37.50961538 377.49038462] ; [ 9.49038462 95.50961538],0
p2,1,0.013558,6.094772,[358  58] ; [80 25],[349.72744722  66.27255278] ; [88.27255278 16.72744722],0
p8,1,0.028177,4.817232,[232 177] ; [47 58],[222.00583658 186.99416342] ; [56.99416342 48.00583658],0
n3,1,0.05179,3.782535,[56 17] ; [25 17],[51.4173913 21.5826087] ; [29.5826087 12.4173913],0
n2,1,0.05637,3.641084,[55 19] ; [24 18],[50.39655172 23.60344828] ; [28.60344828 13.39655172],0
a1,1,0.085752,2.952362,[ 25 393] ; [  2 105],[ 21.49714286 396.50285714] ; [  5.50285714 101.49714286],0
u4,1,0.112082,2.524614,[ 17 401] ; [  1 106],[ 14.33142857 403.66857143] ; [  3.66857143 103.33142857],0
v4,1,0.128444,2.311216,[403  14] ; [99  7],[400.25621415  16.74378585] ; [101.74378585   4.25621415],0
b1,1,0.142166,2.154354,[161 257] ; [33 74],[154.46095238 263.53904762] ; [39.53904762 67.46095238],0
d5,1,0.187691,1.735649,[408   7] ; [103   4],[406.25478927   8.74521073] ; [104.74521073   2.25478927],0
u3,1,0.196403,1.668919,[44 27] ; [24  8],[46.87378641 24.12621359] ; [21.12621359 10.87378641],0
b5,1,0.198622,1.652482,[253 165] ; [72 35],[258.76190476 159.23809524] ; [66.23809524 40.76190476],0
r2,1,0.216671,1.526283,[402  10] ; [102   5],[400.09248555  11.90751445] ; [103.90751445   3.09248555],0
s2,1,0.22565,1.468075,[238 176] ; [54 52],[232.47692308 181.52307692] ; [59.52307692 46.47692308],0
d3,1,0.23993,1.381006,[364  52] ; [98  9],[367.47992352  48.52007648] ; [94.52007648 12.47992352],0
s6,1,0.267294,1.23058,[289 120] ; [69 37],[284.31456311 124.68543689] ; [73.68543689 32.31456311],0
n1,1,0.279036,1.171778,[29 43] ; [13 30],[26.29565217 45.70434783] ; [15.70434783 27.29565217],0
s3,1,0.324389,0.971168,[246 164] ; [58 48],[241.5503876 168.4496124] ; [62.4496124 43.5503876],0
v2,1,0.346273,0.887068,[257 149] ; [57 41],[252.94444444 153.05555556] ; [61.05555556 36.94444444],0
a7,1,0.346283,0.887032,[318 100] ; [86 21],[321.66095238  96.33904762] ; [82.33904762 24.66095238],0
u2,1,0.475467,0.509243,[43 27] ; [22 10],[44.60784314 25.39215686] ; [20.39215686 11.60784314],0
b4,1,0.478775,0.501653,[246 172] ; [67 40],[249.20761905 168.79238095] ; [63.79238095 43.20761905],0
a6,1,0.50482,0.44479,[308 107] ; [76 31],[305.28735632 109.71264368] ; [78.71264368 28.28735632],0
p1,1,0.516409,0.421058,[ 36 382] ; [ 7 98],[ 34.36711281 383.63288719] ; [ 8.63288719 96.36711281],0
s5,1,0.639932,0.218832,[145 254] ; [40 63],[147.04183267 251.95816733] ; [37.95816733 65.04183267],0
b2,1,0.841231,0.040128,[112 163] ; [22 34],[111.32930514 163.67069486] ; [22.67069486 33.32930514],0
b3,1,0.841231,0.040128,[112 163] ; [22 34],[111.32930514 163.67069486] ; [22.67069486 33.32930514],0
s1,1,0.949191,0.004061,[ 12 399] ; [  3 104],[ 11.9015444 399.0984556] ; [  3.0984556 103.9015444],0
