Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.00033,12.894737,[29 20] ; [28 70],[19. 30.] ; [38. 60.],1
v3,1,0.001425,10.172943,[21 26] ; [19 79],[12.96551724 34.03448276] ; [27.03448276 70.96551724],0
s7,1,0.001661,9.890732,[21 28] ; [17 76],[13.11267606 35.88732394] ; [24.88732394 68.11267606],0
a8,1,0.002106,9.454495,[11 33] ; [ 6 87],[ 5.45985401 38.54014599] ; [11.54014599 81.45985401],0
r1,1,0.003671,8.440022,[40  8] ; [60 41],[32.2147651 15.7852349] ; [67.7852349 33.2147651],0
r3,1,0.004007,8.280751,[45  4] ; [71 29],[38.14765101 10.85234899] ; [77.85234899 22.14765101],0
a5,1,0.00618,7.497079,[36 14] ; [49 52],[28.14569536 21.85430464] ; [56.85430464 44.14569536],0
r4,1,0.010465,6.554032,[41  9] ; [62 39],[34.10596026 15.89403974] ; [68.89403974 32.10596026],0
s6,1,0.012178,6.284703,[27 22] ; [34 67],[19.92666667 29.07333333] ; [41.07333333 59.92666667],0
s2,1,0.017825,5.613306,[19 31] ; [20 80],[13. 37.] ; [26. 74.],0
p8,1,0.018042,5.59207,[18 32] ; [18 80],[12.16216216 37.83783784] ; [23.83783784 74.16216216],0
u1,1,0.020828,5.34113,[12 38] ; [10 91],[ 7.28476821 42.71523179] ; [14.71523179 86.28476821],0
s3,1,0.0225,5.206731,[25 24] ; [31 67],[18.66666667 30.33333333] ; [37.33333333 60.66666667],0
n4,1,0.023502,5.130999,[37 12] ; [57 44],[30.70666667 18.29333333] ; [63.29333333 37.70666667],0
d3,1,0.025537,4.987106,[36 14] ; [53 47],[29.66666667 20.33333333] ; [59.33333333 40.66666667],0
s8,1,0.0382,4.296078,[13 36] ; [13 88],[ 8.49333333 40.50666667] ; [17.50666667 83.49333333],0
a3,1,0.04156,4.153026,[35 14] ; [54 46],[29.26845638 19.73154362] ; [59.73154362 40.26845638],0
v4,1,0.054754,3.689556,[43  6] ; [74 26],[38.47651007 10.52348993] ; [78.52348993 21.47651007],0
r2,1,0.061502,3.496417,[45  4] ; [79 20],[41.05405405  7.94594595] ; [82.94594595 16.05405405],0
u4,1,0.071206,3.254987,[ 3 47] ; [  1 100],[ 1.32450331 48.67549669] ; [ 2.67549669 98.32450331],0
n6,1,0.076992,3.127273,[35 14] ; [57 44],[30.05333333 18.94666667] ; [61.94666667 39.05333333],0
a7,1,0.092503,2.830265,[34 15] ; [55 45],[29.26845638 19.73154362] ; [59.73154362 40.26845638],0
p11,1,0.09453,2.79548,[30 20] ; [46 55],[25.16556291 24.83443709] ; [50.83443709 50.16556291],0
n2,1,0.137005,2.211282,[12  4] ; [27 23],[9.45454545 6.54545455] ; [29.54545455 20.45454545],0
a2,1,0.149778,2.074507,[14 36] ; [18 83],[10.59602649 39.40397351] ; [21.40397351 79.59602649],0
d4,1,0.176975,1.822841,[39 11] ; [66 32],[35.47297297 14.52702703] ; [69.52702703 28.47297297],0
s1,1,0.202844,1.62178,[ 1 48] ; [ 7 92],[ 2.64864865 46.35135135] ; [ 5.35135135 93.64864865],0
p2,1,0.270339,1.215024,[30 20] ; [51 50],[26.82119205 23.17880795] ; [54.17880795 46.82119205],0
a6,1,0.288844,1.125,[33 17] ; [57 43],[30. 20.] ; [60. 40.],0
p4,1,0.29627,1.090909,[16 34] ; [24 76],[13.33333333 36.66666667] ; [26.66666667 73.33333333],0
s5,1,0.303286,1.05969,[10 38] ; [14 85],[ 7.83673469 40.16326531] ; [16.16326531 82.83673469],0
s4,1,0.3044,1.05482,[ 4 45] ; [14 86],[ 5.91946309 43.08053691] ; [12.08053691 87.91946309],0
b5,1,0.368695,0.808059,[33 17] ; [59 42],[30.46357616 19.53642384] ; [61.53642384 39.46357616],0
n3,1,0.37796,0.777328,[11  5] ; [27 21],[9.5 6.5] ; [28.5 19.5],0
d2,1,0.416404,0.660441,[27 23] ; [46 52],[24.66216216 25.33783784] ; [48.33783784 49.66216216],0
