Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,46.671989,[131  23] ; [126 119],[99.19298246 54.80701754] ; [157.80701754  87.19298246],1
p7,1,0.0,34.278605,[134  19] ; [146  97],[108.18181818  44.81818182] ; [171.81818182  71.18181818],1
p8,1,0.0,27.611922,[116  37] ; [119 123],[91.02531646 61.97468354] ; [143.97468354  98.02531646],1
p3,1,1e-06,23.302519,[109  45] ; [114 133],[85.64089776 68.35910224] ; [137.35910224 109.64089776],1
v1,1,3.2e-05,17.304301,[120  32] ; [140  99],[101.0741688  50.9258312] ; [158.9258312  80.0741688],1
p5,1,4e-05,16.879792,[ 34 121] ; [ 19 228],[ 20.43532338 134.56467662] ; [ 32.56467662 214.43532338],1
p12,1,0.000276,13.223638,[ 29 125] ; [ 17 229],[ 17.71 136.29] ; [ 28.29 217.71],1
s8,1,0.000468,12.240979,[90 63] ; [100 145],[73.04020101 79.95979899] ; [116.95979899 128.04020101],1
s7,1,0.002174,9.396285,[93 56] ; [110 127],[78.36010363 70.63989637] ; [124.63989637 112.36010363],0
s6,1,0.007694,7.103379,[113  39] ; [149  94],[100.82025316  51.17974684] ; [161.17974684  81.82025316],0
n5,1,0.01157,6.375548,[133  22] ; [183  60],[123.06532663  31.93467337] ; [192.93467337  50.06532663],0
s2,1,0.012193,6.282578,[90 63] ; [112 132],[77.8488665 75.1511335] ; [124.1511335 119.8488665],0
n6,1,0.013276,6.13197,[143  10] ; [209  36],[135.31658291  17.68341709] ; [216.68341709  28.31658291],0
p1,1,0.018064,5.589934,[ 20 135] ; [ 15 232],[ 13.49502488 141.50497512] ; [ 21.50497512 225.49502488],0
b3,1,0.02319,5.154194,[49 54] ; [ 53 105],[40.25287356 62.74712644] ; [61.74712644 96.25287356],0
b2,1,0.02319,5.154194,[49 54] ; [ 53 105],[40.25287356 62.74712644] ; [61.74712644 96.25287356],0
n2,1,0.030396,4.68678,[17  9] ; [40  6],[20.58333333  5.41666667] ; [36.41666667  9.58333333],0
p2,1,0.03135,4.633676,[142  13] ; [208  39],[134.95024876  20.04975124] ; [215.04975124  31.95024876],0
n4,1,0.05359,3.725435,[133  22] ; [192  54],[125.6234414  29.3765586] ; [199.3765586  46.6234414],0
u1,1,0.060449,3.525018,[ 39 116] ; [ 43 204],[ 31.61691542 123.38308458] ; [ 50.38308458 196.61691542],0
a1,1,0.064272,3.423575,[ 14 141] ; [ 11 236],[  9.63930348 145.36069652] ; [ 15.36069652 231.63930348],0
s5,1,0.107292,2.593655,[59 88] ; [ 77 163],[51.65891473 95.34108527] ; [ 84.34108527 155.65891473],0
p9,1,0.12304,2.378191,[144  10] ; [216  27],[139.64735516  14.35264484] ; [220.35264484  22.64735516],0
b4,1,0.125747,2.344239,[101  54] ; [142 105],[93.69402985 61.30597015] ; [149.30597015  97.69402985],0
r1,1,0.15829,1.99049,[126  29] ; [212  33],[130.975  24.025] ; [207.025  37.975],0
s1,1,0.159599,1.978022,[  4 150] ; [  2 240],[  2.33333333 151.66666667] ; [  3.66666667 238.33333333],0
r3,1,0.160639,1.968196,[149   5] ; [242   3],[150.9122807   3.0877193] ; [240.0877193   4.9122807],0
b5,1,0.167931,1.901318,[98 57] ; [139 108],[91.38059701 63.61940299] ; [145.61940299 101.38059701],0
n3,1,0.17393,1.848738,[18  8] ; [39  8],[20.30136986  5.69863014] ; [36.69863014 10.30136986],0
n1,1,0.225952,1.466161,[10 15] ; [12 34],[ 7.74647887 17.25352113] ; [14.25352113 31.74647887],0
v4,1,0.252763,1.307969,[149   5] ; [229  14],[146.62972292   7.37027708] ; [231.37027708  11.62972292],0
b1,1,0.265365,1.24055,[56 99] ; [ 76 171],[ 50.89552239 104.10447761] ; [ 81.10447761 165.89552239],0
u2,1,0.266363,1.235379,[24 15] ; [28 28],[21.34736842 17.65263158] ; [30.65263158 25.34736842],0
s3,1,0.285613,1.140188,[90 63] ; [128 112],[84.87022901 68.12977099] ; [133.12977099 106.87022901],0
p10,1,0.316448,1.00357,[139  15] ; [213  32],[135.85964912  18.14035088] ; [216.14035088  28.85964912],0
a7,1,0.388011,0.745166,[121  33] ; [184  62],[117.425  36.575] ; [187.575  58.425],0
s4,1,0.401359,0.704252,[ 22 132] ; [ 28 217],[ 19.29824561 134.70175439] ; [ 30.70175439 214.29824561],0
u4,1,0.451535,0.566796,[  5 150] ; [  5 242],[  3.85572139 151.14427861] ; [  6.14427861 240.85572139],0
a6,1,0.462678,0.539408,[105  48] ; [178  69],[108.2475  44.7525] ; [174.7525  72.2475],0
r4,1,0.49975,0.455468,[143  12] ; [223  24],[141.11940299  13.88059701] ; [224.88059701  22.11940299],0
