Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.45975,[87 10] ; [20 19],[76.31617647 20.68382353] ; [30.68382353  8.31617647],1
r1,1,0.020531,5.366162,[68 28] ; [20 20],[62.11764706 33.88235294] ; [25.88235294 14.11764706],0
n6,1,0.0222,5.23001,[84 13] ; [28 12],[79.29927007 17.70072993] ; [32.70072993  7.29927007],0
n1,1,0.02231,5.221445,[11 10] ; [ 2 12],[ 7.8 13.2] ; [5.2 8.8],0
a4,1,0.029775,4.722222,[29 67] ; [ 5 35],[24. 72.] ; [10. 30.],0
r2,1,0.04204,4.133583,[90  6] ; [33  7],[86.82352941  9.17647059] ; [36.17647059  3.82352941],0
v3,1,0.051626,3.787853,[36 59] ; [ 8 31],[31.19402985 63.80597015] ; [12.80597015 26.19402985],0
p6,1,0.059998,3.537451,[35 61] ; [ 8 32],[30.35294118 65.64705882] ; [12.64705882 27.35294118],0
p11,1,0.074699,3.176632,[81 16] ; [28 12],[77.17518248 19.82481752] ; [31.82481752  8.17518248],0
p4,1,0.095266,2.783064,[54 43] ; [16 24],[49.5620438 47.4379562] ; [20.4379562 19.5620438],0
v1,1,0.107914,2.5845,[49 44] ; [15 25],[44.7518797 48.2481203] ; [19.2481203 20.7518797],0
a5,1,0.113169,2.509396,[58 39] ; [18 22],[53.81021898 43.18978102] ; [22.18978102 17.81021898],0
r4,1,0.139035,2.188602,[83 14] ; [30 10],[80.00729927 16.99270073] ; [32.99270073  7.00729927],0
p1,1,0.143093,2.144374,[17 80] ; [ 3 36],[14.26470588 82.73529412] ; [ 5.73529412 33.26470588],0
p3,1,0.165045,1.927386,[49 48] ; [15 25],[45.31386861 51.68613139] ; [18.68613139 21.31386861],0
a3,1,0.176648,1.825599,[53 43] ; [17 23],[49.41176471 46.58823529] ; [20.58823529 19.41176471],0
a2,1,0.195295,1.677211,[12 85] ; [ 2 38],[ 9.91240876 87.08759124] ; [ 4.08759124 35.91240876],0
b4,1,0.196237,1.670159,[53 44] ; [17 23],[49.5620438 47.4379562] ; [20.4379562 19.5620438],0
b1,1,0.213719,1.546053,[35 62] ; [19 21],[38.23357664 58.76642336] ; [15.76642336 24.23357664],0
p2,1,0.214098,1.5435,[79 18] ; [28 11],[76.31617647 20.68382353] ; [30.68382353  8.31617647],0
p12,1,0.216983,1.524214,[ 8 89] ; [ 1 39],[ 6.37226277 90.62773723] ; [ 2.62773723 37.37226277],0
s3,1,0.218996,1.51094,[48 45] ; [16 24],[44.7518797 48.2481203] ; [19.2481203 20.7518797],0
p10,1,0.223113,1.484234,[87 10] ; [32  7],[84.875 12.125] ; [34.125  4.875],0
p8,1,0.251626,1.314255,[53 42] ; [18 22],[49.96296296 45.03703704] ; [21.03703704 18.96296296],0
s7,1,0.255072,1.295306,[41 50] ; [13 25],[38.09302326 52.90697674] ; [15.90697674 22.09302326],0
a6,1,0.275277,1.190258,[63 34] ; [22 18],[60.18248175 36.81751825] ; [24.81751825 15.18248175],0
p7,1,0.27672,1.183131,[59 37] ; [20 19],[56.17777778 39.82222222] ; [22.82222222 16.17777778],0
s5,1,0.284814,1.143977,[24 68] ; [ 7 33],[21.60606061 70.39393939] ; [ 9.39393939 30.60606061],0
s6,1,0.300641,1.07135,[60 33] ; [22 18],[57.33834586 35.66165414] ; [24.66165414 15.33834586],0
v2,1,0.348433,0.879154,[45 45] ; [16 23],[42.55813953 47.44186047] ; [18.44186047 20.55813953],0
d3,1,0.355884,0.852365,[28 69] ; [ 8 30],[25.86666667 71.13333333] ; [10.13333333 27.86666667],0
d2,1,0.356987,0.848465,[24 73] ; [ 7 33],[21.94890511 75.05109489] ; [ 9.05109489 30.94890511],0
b5,1,0.368758,0.807847,[59 38] ; [21 19],[56.64233577 40.35766423] ; [23.35766423 16.64233577],0
s8,1,0.462419,0.540032,[38 59] ; [13 27],[36.10948905 60.89051095] ; [14.89051095 25.10948905],0
u3,1,0.501647,0.45145,[21 23] ; [ 9 14],[19.70149254 24.29850746] ; [10.29850746 12.70149254],0
p5,1,0.526655,0.400842,[11 86] ; [ 3 36],[ 9.98529412 87.01470588] ; [ 4.01470588 34.98529412],0
a8,1,0.556876,0.345143,[10 78] ; [ 3 35],[ 9.07936508 78.92063492] ; [ 3.92063492 34.07936508],0
b3,1,0.62807,0.234687,[18 43] ; [ 4 13],[17.20512821 43.79487179] ; [ 4.79487179 12.20512821],0
b2,1,0.62807,0.234687,[18 43] ; [ 4 13],[17.20512821 43.79487179] ; [ 4.79487179 12.20512821],0
s1,1,0.630842,0.230921,[ 4 91] ; [ 1 39],[ 3.51851852 91.48148148] ; [ 1.48148148 38.51851852],0
a7,1,0.707948,0.140335,[63 34] ; [24 15],[62.05147059 34.94852941] ; [24.94852941 14.05147059],0
n2,1,0.714219,0.1341,[17  4] ; [12  2],[17.4  3.6] ; [11.6  2.4],0
n3,1,0.714219,0.1341,[17  4] ; [12  2],[17.4  3.6] ; [11.6  2.4],0
u2,1,0.716619,0.131755,[19 25] ; [11 12],[19.70149254 24.29850746] ; [10.29850746 12.70149254],0
r3,1,0.754862,0.097491,[88  8] ; [36  4],[87.52941176  8.47058824] ; [36.47058824  3.52941176],0
s2,1,0.818463,0.05268,[36 59] ; [16 24],[36.59259259 58.40740741] ; [15.40740741 24.59259259],0
a1,1,0.851365,0.03511,[ 3 94] ; [ 1 39],[ 2.83211679 94.16788321] ; [ 1.16788321 38.83211679],0
s4,1,0.863846,0.029405,[18 78] ; [ 7 33],[17.64705882 78.35294118] ; [ 7.35294118 32.64705882],0
d5,1,0.893346,0.017975,[46 51] ; [18 21],[45.64705882 51.35294118] ; [18.35294118 20.64705882],0
v4,1,0.901793,0.015227,[88  8] ; [36  3],[88.17777778  7.82222222] ; [35.82222222  3.17777778],0
