Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,21.733726,[27 16] ; [ 2 26],[17.56338028 25.43661972] ; [11.43661972 16.56338028],1
r3,1,3.5e-05,17.131275,[36  7] ; [10 18],[27.85915493 15.14084507] ; [18.14084507  9.85915493],1
r2,1,0.00063,11.685278,[36  7] ; [11 14],[29.72058824 13.27941176] ; [17.27941176  7.72058824],1
s2,1,0.001482,10.101462,[18 25] ; [ 2 26],[12.11267606 30.88732394] ; [ 7.88732394 20.11267606],0
n6,1,0.004837,7.93939,[32 11] ; [11 16],[26.41428571 16.58571429] ; [16.58571429 10.41428571],0
p10,1,0.010953,6.472876,[24 18] ; [ 7 20],[18.86956522 23.13043478] ; [12.13043478 14.86956522],0
p6,1,0.016169,5.784426,[11 31] ; [ 1 26],[ 7.30434783 34.69565217] ; [ 4.69565217 22.30434783],0
s6,1,0.021904,5.25341,[19 24] ; [ 5 23],[14.53521127 28.46478873] ; [ 9.46478873 18.53521127],0
v2,1,0.033642,4.512821,[17 22] ; [ 5 22],[13. 26.] ; [ 9. 18.],0
s8,1,0.049613,3.854486,[11 32] ; [ 2 26],[ 7.87323944 35.12676056] ; [ 5.12676056 22.87323944],0
u3,1,0.05659,3.634615,[7 7] ; [ 2 11],[4.66666667 9.33333333] ; [4.33333333 8.66666667],0
u2,1,0.05659,3.634615,[7 7] ; [ 2 11],[4.66666667 9.33333333] ; [4.33333333 8.66666667],0
s5,1,0.063446,3.444939,[10 31] ; [ 2 26],[ 7.13043478 33.86956522] ; [ 4.86956522 23.13043478],0
p11,1,0.077293,3.120926,[23 20] ; [ 9 19],[19.38028169 23.61971831] ; [12.61971831 15.38028169],0
d5,1,0.093579,2.811702,[30 13] ; [14 14],[26.64788732 16.35211268] ; [17.35211268 10.64788732],0
n1,1,0.095882,2.772736,[ 4 11] ; [8 6],[6.20689655 8.79310345] ; [5.79310345 8.20689655],0
p9,1,0.105109,2.626263,[23 16] ; [10 16],[19.8 19.2] ; [13.2 12.8],0
n4,1,0.114287,2.493912,[21 22] ; [19  9],[24.22535211 18.77464789] ; [15.77464789 12.22535211],0
b5,1,0.119252,2.427123,[28 15] ; [13 15],[24.83098592 18.16901408] ; [16.16901408 11.83098592],0
n2,1,0.15631,2.009569,[12  4] ; [7 7],[10.13333333  5.86666667] ; [8.86666667 5.13333333],0
b4,1,0.164,1.936952,[22 21] ; [19  9],[24.83098592 18.16901408] ; [16.16901408 11.83098592],0
s3,1,0.188587,1.728623,[16 27] ; [ 6 21],[13.51428571 29.48571429] ; [ 8.48571429 18.51428571],0
p8,1,0.204172,1.612275,[12 31] ; [ 4 23],[ 9.82857143 33.17142857] ; [ 6.17142857 20.82857143],0
a3,1,0.23936,1.384358,[29 14] ; [15 13],[26.64788732 16.35211268] ; [17.35211268 10.64788732],0
p1,1,0.239514,1.383451,[ 6 37] ; [ 7 21],[ 7.87323944 35.12676056] ; [ 5.12676056 22.87323944],0
p4,1,0.241413,1.372322,[13 30] ; [ 5 23],[10.90140845 32.09859155] ; [ 7.09859155 20.90140845],0
d3,1,0.241691,1.370703,[23 20] ; [11 17],[20.5915493 22.4084507] ; [13.4084507 14.5915493],0
s1,1,0.312676,1.01934,[ 3 40] ; [ 4 24],[ 4.23943662 38.76056338] ; [ 2.76056338 25.23943662],0
a7,1,0.381209,0.766799,[23 20] ; [12 16],[21.1971831 21.8028169] ; [13.8028169 14.1971831],0
a4,1,0.39985,0.708776,[17 26] ; [ 8 19],[15.35714286 27.64285714] ; [ 9.64285714 17.35714286],0
d2,1,0.402804,0.69994,[19 23] ; [15 12],[20.69565217 21.30434783] ; [13.30434783 13.69565217],0
d4,1,0.430631,0.62112,[30 13] ; [17 11],[28.46478873 14.53521127] ; [18.53521127  9.46478873],0
n3,1,0.464214,0.535714,[7 9] ; [8 6],[8. 8.] ; [7. 7.],0
p7,1,0.49526,0.465078,[14 29] ; [ 7 21],[12.71830986 30.28169014] ; [ 8.28169014 19.71830986],0
n5,1,0.527486,0.399233,[26 17] ; [19  9],[27.25352113 15.74647887] ; [17.74647887 10.25352113],0
s7,1,0.532447,0.38972,[10 30] ; [ 5 22],[ 8.95522388 31.04477612] ; [ 6.04477612 20.95522388],0
b1,1,0.560904,0.338142,[23 20] ; [13 15],[21.8028169 21.1971831] ; [14.1971831 13.8028169],0
a5,1,0.565494,0.330281,[26 17] ; [15 13],[24.83098592 18.16901408] ; [16.16901408 11.83098592],0
a6,1,0.631209,0.230425,[24 19] ; [14 14],[23.01408451 19.98591549] ; [14.98591549 13.01408451],0
s4,1,0.635092,0.225219,[ 8 35] ; [ 4 24],[ 7.26760563 35.73239437] ; [ 4.73239437 23.26760563],0
p3,1,0.648989,0.207177,[11 31] ; [ 6 22],[10.2 31.8] ; [ 6.8 21.2],0
v1,1,0.653332,0.201725,[13 29] ; [ 7 20],[12.17391304 29.82608696] ; [ 7.82608696 19.17391304],0
d1,1,0.682891,0.16689,[19 24] ; [11 17],[18.16901408 24.83098592] ; [11.83098592 16.16901408],0
b2,1,0.715137,0.1332,[12 14] ; [ 9 13],[11.375 14.625] ; [ 9.625 12.375],0
b3,1,0.715137,0.1332,[12 14] ; [ 9 13],[11.375 14.625] ; [ 9.625 12.375],0
a1,1,0.742183,0.108218,[ 5 38] ; [ 4 24],[ 5.45070423 37.54929577] ; [ 3.54929577 24.45070423],0
p12,1,0.756503,0.096147,[ 1 42] ; [ 1 27],[ 1.21126761 41.78873239] ; [ 0.78873239 27.21126761],0
p5,1,0.833385,0.044252,[ 2 40] ; [ 1 26],[ 1.82608696 40.17391304] ; [ 1.17391304 25.82608696],0
a2,1,0.905287,0.014158,[ 5 38] ; [ 3 25],[ 4.84507042 38.15492958] ; [ 3.15492958 24.84507042],0
u1,1,0.978671,0.000715,[ 3 40] ; [ 2 26],[ 3.02816901 39.97183099] ; [ 1.97183099 26.02816901],0
v3,1,0.978962,0.000695,[ 9 32] ; [ 6 21],[ 9.04411765 31.95588235] ; [ 5.95588235 21.04411765],0
