Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000237,13.512579,[14 48] ; [17 10],[21.59550562 40.40449438] ; [ 9.40449438 17.59550562],1
s3,1,0.000401,12.526717,[16 47] ; [18 10],[23.53846154 39.46153846] ; [10.46153846 17.53846154],1
p2,1,0.000408,12.49315,[22 41] ; [21  7],[29.76923077 33.23076923] ; [13.23076923 14.76923077],1
p7,1,0.000849,11.13135,[ 9 52] ; [13 14],[15.25 45.75] ; [ 6.75 20.25],1
s2,1,0.00122,10.459145,[ 9 55] ; [13 16],[15.13978495 48.86021505] ; [ 6.86021505 22.13978495],0
p11,1,0.00192,9.624116,[20 44] ; [19 10],[26.83870968 37.16129032] ; [12.16129032 16.83870968],0
s7,1,0.005145,7.827593,[10 49] ; [13 16],[15.42045455 43.57954545] ; [ 7.57954545 21.42045455],0
v1,1,0.007266,7.205991,[14 47] ; [14 13],[19.40909091 41.59090909] ; [ 8.59090909 18.40909091],0
s4,1,0.008519,6.921038,[ 6 58] ; [ 9 20],[10.32258065 53.67741935] ; [ 4.67741935 24.32258065],0
v4,1,0.009968,6.640656,[30 32] ; [21  6],[35.52808989 26.47191011] ; [15.47191011 11.52808989],0
b5,1,0.010326,6.577782,[28 36] ; [21  8],[33.72043011 30.27956989] ; [15.27956989 13.72043011],0
s8,1,0.013342,6.123146,[ 4 60] ; [ 7 22],[ 7.56989247 56.43010753] ; [ 3.43010753 25.56989247],0
d4,1,0.016542,5.744335,[36 27] ; [24  5],[41.08695652 21.91304348] ; [18.91304348 10.08695652],0
d3,1,0.021182,5.311771,[25 38] ; [19 10],[30.13043478 32.86956522] ; [13.86956522 15.13043478],0
p9,1,0.03492,4.449096,[25 35] ; [19 10],[29.66292135 30.33707865] ; [14.33707865 14.66292135],0
r3,1,0.038599,4.278445,[27 34] ; [19  9],[31.52808989 29.47191011] ; [14.47191011 13.52808989],0
n3,1,0.046934,3.947763,[14 19] ; [11  4],[17.1875 15.8125] ; [7.8125 7.1875],0
n6,1,0.068526,3.317972,[27 35] ; [18 10],[31. 31.] ; [14. 14.],0
s5,1,0.070257,3.277015,[ 7 57] ; [ 7 20],[ 9.84615385 54.15384615] ; [ 4.15384615 22.84615385],0
p10,1,0.072627,3.222618,[25 37] ; [17 11],[28.93333333 33.06666667] ; [13.06666667 14.93333333],0
b2,1,0.084277,2.980423,[17 18] ; [ 4 13],[14.13461538 20.86538462] ; [ 6.86538462 10.13461538],0
b3,1,0.084277,2.980423,[17 18] ; [ 4 13],[14.13461538 20.86538462] ; [ 6.86538462 10.13461538],0
p1,1,0.120755,2.407497,[ 9 54] ; [ 1 28],[ 6.84782609 56.15217391] ; [ 3.15217391 25.84782609],0
n4,1,0.123725,2.369519,[35 28] ; [21  8],[38.34782609 24.65217391] ; [17.65217391 11.34782609],0
d5,1,0.151552,2.056559,[34 30] ; [20  9],[37.16129032 26.83870968] ; [16.83870968 12.16129032],0
a3,1,0.155994,2.012635,[33 29] ; [20  9],[36.10989011 25.89010989] ; [16.89010989 12.10989011],0
u3,1,0.195945,1.672341,[ 7 24] ; [4 5],[ 8.525 22.475] ; [2.475 6.525],0
r2,1,0.205419,1.603425,[35 26] ; [18  7],[37.59302326 23.40697674] ; [15.40697674  9.59302326],0
v3,1,0.217869,1.518354,[12 50] ; [ 9 20],[14.30769231 47.69230769] ; [ 6.69230769 22.30769231],0
b1,1,0.222583,1.487638,[33 31] ; [11 18],[30.27956989 33.72043011] ; [13.72043011 15.27956989],0
d1,1,0.265052,1.242178,[21 43] ; [13 16],[23.39784946 40.60215054] ; [10.60215054 18.39784946],0
a7,1,0.281871,1.158046,[31 31] ; [18 11],[33.38461538 28.61538462] ; [15.61538462 13.38461538],0
r1,1,0.289056,1.124013,[17 46] ; [11 18],[19.17391304 43.82608696] ; [ 8.82608696 20.17391304],0
p8,1,0.337027,0.921707,[12 52] ; [ 3 25],[10.43478261 53.56521739] ; [ 4.56521739 23.43478261],0
u2,1,0.372299,0.795978,[12 19] ; [4 3],[13.05263158 17.94736842] ; [2.94736842 4.05263158],0
n1,1,0.377681,0.778235,[11 23] ; [ 3 12],[ 9.71428571 24.28571429] ; [ 4.28571429 10.71428571],0
p3,1,0.380032,0.770599,[ 7 56] ; [ 5 23],[ 8.30769231 54.69230769] ; [ 3.69230769 24.30769231],0
p5,1,0.394061,0.726373,[ 2 61] ; [ 2 26],[ 2.76923077 60.23076923] ; [ 1.23076923 26.76923077],0
u1,1,0.427428,0.629803,[ 5 59] ; [ 1 28],[ 4.12903226 59.87096774] ; [ 1.87096774 27.12903226],0
n2,1,0.51799,0.417893,[17 17] ; [9 6],[18.04081633 15.95918367] ; [7.95918367 7.04081633],0
b4,1,0.573205,0.317349,[38 26] ; [19 10],[39.22580645 24.77419355] ; [17.77419355 11.22580645],0
n5,1,0.616917,0.250224,[37 26] ; [18 10],[38.07692308 24.92307692] ; [16.92307692 11.07692308],0
a1,1,0.620308,0.245435,[ 9 55] ; [ 3 26],[ 8.25806452 55.74193548] ; [ 3.74193548 25.25806452],0
s1,1,0.677769,0.172648,[ 6 57] ; [ 2 27],[ 5.47826087 57.52173913] ; [ 2.52173913 26.47826087],0
d2,1,0.684705,0.164878,[25 37] ; [13 16],[25.89010989 36.10989011] ; [12.10989011 16.89010989],0
a2,1,0.692824,0.156045,[ 7 57] ; [ 4 25],[ 7.56989247 56.43010753] ; [ 3.43010753 25.56989247],0
a6,1,0.769013,0.08624,[31 33] ; [15 14],[31.65591398 32.34408602] ; [14.34408602 14.65591398],0
a5,1,0.854445,0.033654,[30 34] ; [13 16],[29.59139785 34.40860215] ; [13.40860215 15.59139785],0
p6,1,0.879349,0.023041,[ 6 56] ; [ 3 25],[ 6.2 55.8] ; [ 2.8 25.2],0
a8,1,0.883217,0.021577,[ 5 55] ; [ 2 25],[ 4.82758621 55.17241379] ; [ 2.17241379 24.82758621],0
a4,1,0.932408,0.007194,[19 44] ; [ 9 20],[19.17391304 43.82608696] ; [ 8.82608696 20.17391304],0
