Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.002151,9.415714,[9 4] ; [ 5 21],[4.66666667 8.33333333] ; [ 9.33333333 16.66666667],0
d2,1,0.003241,8.666667,[8 5] ; [ 4 22],[4. 9.] ; [ 8. 18.],0
v1,1,0.004339,8.136207,[7 6] ; [ 3 23],[3.33333333 9.66666667] ; [ 6.66666667 19.33333333],0
s6,1,0.008239,6.980769,[8 5] ; [ 5 21],[4.33333333 8.66666667] ; [ 8.66666667 17.33333333],0
d5,1,0.012014,6.308824,[11  2] ; [11 15],[7.33333333 5.66666667] ; [14.66666667 11.33333333],0
p11,1,0.023494,5.131579,[10  3] ; [10 16],[6.66666667 6.33333333] ; [13.33333333 12.66666667],0
s3,1,0.050344,3.829964,[4 8] ; [ 2 23],[ 1.94594595 10.05405405] ; [ 4.05405405 20.94594595],0
v3,1,0.059709,3.545455,[4 9] ; [ 2 24],[ 2. 11.] ; [ 4. 22.],0
d3,1,0.069949,3.284211,[9 4] ; [10 16],[6.33333333 6.66666667] ; [12.66666667 13.33333333],0
r3,1,0.077737,3.111593,[11  2] ; [14 11],[8.55263158 4.44736842] ; [16.44736842  8.55263158],0
n3,1,0.079008,3.085185,[4 1] ; [4 8],[2.35294118 2.64705882] ; [5.64705882 6.35294118],0
a3,1,0.087321,2.923077,[9 4] ; [10 15],[6.5 6.5] ; [12.5 12.5],0
u3,1,0.093533,2.8125,[2 2] ; [ 2 14],[0.8 3.2] ; [ 3.2 12.8],0
a4,1,0.106864,2.6,[5 8] ; [ 4 22],[ 3. 10.] ; [ 6. 20.],0
s2,1,0.107181,2.595297,[4 8] ; [ 3 23],[2.21052632 9.78947368] ; [ 4.78947368 21.21052632],0
d4,1,0.141032,2.166667,[11  2] ; [16 10],[9. 4.] ; [18.  8.],0
n2,1,0.149073,2.081713,[4 1] ; [5 7],[2.64705882 2.35294118] ; [6.35294118 5.64705882],0
b1,1,0.172955,1.857143,[5 8] ; [16 10],[7. 6.] ; [14. 12.],0
a7,1,0.172955,1.857143,[9 4] ; [12 14],[7. 6.] ; [14. 12.],0
a5,1,0.249745,1.324728,[7 6] ; [ 9 17],[5.33333333 7.66666667] ; [10.66666667 15.33333333],0
n4,1,0.253579,1.303476,[9 4] ; [13 13],[7.33333333 5.66666667] ; [14.66666667 11.33333333],0
a6,1,0.361054,0.834225,[7 6] ; [10 16],[5.66666667 7.33333333] ; [11.33333333 14.66666667],0
p9,1,0.414172,0.666793,[5 7] ; [14 11],[6.16216216 5.83783784] ; [12.83783784 12.16216216],0
a2,1,0.455414,0.557143,[ 2 11] ; [ 2 24],[ 1.33333333 11.66666667] ; [ 2.66666667 23.33333333],0
p4,1,0.461743,0.541667,[5 8] ; [ 7 19],[4. 9.] ; [ 8. 18.],0
b3,1,0.492519,0.471018,[2 5] ; [7 9],[2.73913043 4.26086957] ; [6.26086957 9.73913043],0
b2,1,0.492519,0.471018,[2 5] ; [7 9],[2.73913043 4.26086957] ; [6.26086957 9.73913043],0
s5,1,0.498174,0.458824,[ 1 12] ; [ 4 22],[ 1.66666667 11.33333333] ; [ 3.33333333 22.66666667],0
p1,1,0.498174,0.458824,[ 1 12] ; [ 4 22],[ 1.66666667 11.33333333] ; [ 3.33333333 22.66666667],0
p3,1,0.550029,0.357265,[ 1 11] ; [ 4 22],[ 1.57894737 10.42105263] ; [ 3.42105263 22.57894737],0
