Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,260.085632,[280  59] ; [ 38 209],[183.96245734 155.03754266] ; [134.03754266 112.96245734],1
s6,1,0.0,93.10086,[282  50] ; [116 129],[229.00519931 102.99480069] ; [168.99480069  76.00519931],1
s7,1,0.0,88.978041,[234  95] ; [ 72 161],[179.13523132 149.86476868] ; [126.86476868 106.13523132],1
s8,1,0.0,65.969779,[212 126] ; [ 71 176],[163.51111111 174.48888889] ; [119.48888889 127.51111111],1
s5,1,1e-06,23.525708,[139 180] ; [ 58 185],[111.8202847 207.1797153] ; [ 85.1797153 157.8202847],1
p12,1,0.000286,13.162025,[ 43 292] ; [ 10 236],[ 30.55938038 304.44061962] ; [ 22.44061962 223.55938038],1
s4,1,0.001067,10.707852,[ 61 274] ; [ 21 223],[ 47.44386874 287.55613126] ; [ 34.55613126 209.44386874],0
n5,1,0.008398,6.94647,[298  39] ; [199  48],[286.79623288  50.20376712] ; [210.20376712  36.79623288],0
p9,1,0.008425,6.940894,[300  37] ; [200  46],[289.02229846  47.97770154] ; [210.97770154  35.02229846],0
a3,1,0.009428,6.739977,[277  61] ; [181  67],[264.17064846  73.82935154] ; [193.82935154  54.17064846],0
n1,1,0.018104,5.586106,[33 28] ; [17 36],[26.75438596 34.24561404] ; [23.24561404 29.75438596],0
u3,1,0.020423,5.37535,[43 19] ; [33 34],[36.52713178 25.47286822] ; [39.47286822 27.52713178],0
r2,1,0.025156,5.013139,[323  10] ; [226  17],[317.390625  15.609375] ; [231.609375  11.390625],0
p6,1,0.028522,4.796253,[147 186] ; [ 86 159],[134.23702422 198.76297578] ; [ 98.76297578 146.23702422],0
u4,1,0.036479,4.374571,[ 14 325] ; [  3 246],[  9.80102041 329.19897959] ; [  7.19897959 241.80102041],0
n2,1,0.039402,4.243445,[50 12] ; [35 20],[45.04273504 16.95726496] ; [39.95726496 15.04273504],0
p7,1,0.045075,4.015831,[224 105] ; [147  98],[212.64634146 116.35365854] ; [158.35365854  86.64634146],0
u2,1,0.046452,3.965126,[42 19] ; [34 32],[36.50393701 24.49606299] ; [39.49606299 26.50393701],0
r1,1,0.049521,3.857589,[289  50] ; [196  52],[280.09369676  58.90630324] ; [204.90630324  43.09369676],0
p2,1,0.05988,3.540698,[292  45] ; [199  47],[283.81989708  53.18010292] ; [207.18010292  38.81989708],0
p3,1,0.064738,3.411654,[193 145] ; [122 125],[182. 156.] ; [133. 114.],0
r4,1,0.076338,3.141194,[314  25] ; [220  29],[307.86734694  31.13265306] ; [226.13265306  22.86734694],0
p11,1,0.088169,2.907485,[283  56] ; [194  55],[275.00510204  63.99489796] ; [201.99489796  47.00510204],0
v4,1,0.103506,2.650681,[324  14] ; [231  18],[319.57410562  18.42589438] ; [235.42589438  13.57410562],0
s1,1,0.108308,2.578737,[ 15 320] ; [  5 242],[ 11.51202749 323.48797251] ; [  8.48797251 238.51202749],0
p10,1,0.111345,2.535023,[289  48] ; [198  47],[281.99140893  55.00859107] ; [205.00859107  39.99140893],0
p4,1,0.112087,2.52454,[223 114] ; [147  99],[213.87650086 123.12349914] ; [156.12349914  89.87650086],0
b1,1,0.142665,2.148973,[147 192] ; [ 93 156],[138.36734694 200.63265306] ; [101.63265306 147.36734694],0
a2,1,0.165654,1.921838,[102 237] ; [ 62 187],[ 94.55102041 244.44897959] ; [ 69.44897959 179.55102041],0
u1,1,0.194078,1.686384,[ 82 257] ; [ 49 200],[ 75.5255102 263.4744898] ; [ 55.4744898 193.5255102],0
d1,1,0.213842,1.545222,[250  89] ; [172  77],[243.29591837  95.70408163] ; [178.70408163  70.29591837],0
p5,1,0.253773,1.302415,[ 50 284] ; [ 29 219],[ 45.33676976 288.66323024] ; [ 33.66323024 214.33676976],0
d2,1,0.262496,1.255546,[201 138] ; [135 112],[194.37542662 144.62457338] ; [141.62457338 105.37542662],0
a8,1,0.314583,1.011337,[ 58 262] ; [ 32 184],[ 53.73134328 266.26865672] ; [ 36.26865672 179.73134328],0
p8,1,0.341307,0.905516,[185 150] ; [125 119],[179.36096718 155.63903282] ; [130.63903282 113.36096718],0
a6,1,0.421112,0.647209,[227 111] ; [175  74],[231.47529813 106.52470187] ; [170.52470187  78.47529813],0
a7,1,0.517215,0.419443,[243  95] ; [185  64],[246.44633731  91.55366269] ; [181.55366269  67.44633731],0
v1,1,0.547161,0.362427,[189 139] ; [135 110],[185.46596859 142.53403141] ; [138.53403141 106.46596859],0
r3,1,0.56905,0.324274,[324  13] ; [237  12],[322.62286689  14.37713311] ; [238.37713311  10.62286689],0
d3,1,0.634472,0.226045,[259  80] ; [186  63],[256.55612245  82.44387755] ; [188.44387755  60.55612245],0
a1,1,0.664731,0.187827,[ 22 317] ; [ 14 235],[ 20.75510204 318.24489796] ; [ 15.24489796 233.75510204],0
n6,1,0.687853,0.16142,[301  36] ; [218  29],[299.49143836  37.50856164] ; [219.50856164  27.49143836],0
d5,1,0.697821,0.150749,[303  36] ; [225  24],[304.40816327  34.59183673] ; [223.59183673  25.40816327],0
v3,1,0.721777,0.126796,[140 187] ; [100 142],[137.92618629 189.07381371] ; [102.07381371 139.92618629],0
a5,1,0.746556,0.104448,[270  69] ; [201  48],[271.54591837  67.45408163] ; [199.45408163  49.54591837],0
p1,1,0.775921,0.081019,[ 28 309] ; [ 19 229],[ 27.07521368 309.92478632] ; [ 19.92478632 228.07521368],0
n3,1,0.795755,0.067,[45 18] ; [39 14],[45.62068966 17.37931034] ; [38.37931034 14.62068966],0
b5,1,0.836421,0.042631,[203 136] ; [147 102],[201.78571429 137.21428571] ; [148.21428571 100.78571429],0
