Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2e-06,22.585491,[207  77] ; [21 32],[192.14243323  91.85756677] ; [35.85756677 17.14243323],1
s8,1,1.8e-05,18.367809,[198  98] ; [20 35],[183.84045584 112.15954416] ; [34.15954416 20.84045584],1
s5,1,4.8e-05,16.530199,[139 148] ; [10 44],[125.40469208 161.59530792] ; [23.59530792 30.40469208],1
p9,1,0.00204,9.513624,[262  31] ; [40 14],[255.00288184  37.99711816] ; [46.99711816  7.00288184],0
s3,1,0.002086,9.472519,[260  34] ; [40 15],[252.72206304  41.27793696] ; [47.27793696  7.72206304],0
d5,1,0.003276,8.646854,[248  47] ; [37 18],[240.21428571  54.78571429] ; [44.78571429 10.21428571],0
r4,1,0.007346,7.186277,[277  21] ; [45 10],[271.83002833  26.16997167] ; [50.16997167  4.83002833],0
n6,1,0.008428,6.940193,[258  36] ; [40 14],[251.75862069  42.24137931] ; [46.24137931  7.75862069],0
p4,1,0.010039,6.628031,[201  94] ; [27 27],[192.72206304 102.27793696] ; [35.27793696 18.72206304],0
a5,1,0.015037,5.912124,[234  63] ; [35 20],[226.96875  70.03125] ; [42.03125 12.96875],0
a4,1,0.020686,5.353057,[142 155] ; [17 38],[134.15625 162.84375] ; [24.84375 30.15625],0
b5,1,0.021014,5.32566,[185 113] ; [25 30],[177.28045326 120.71954674] ; [32.71954674 22.28045326],0
p5,1,0.022698,5.191477,[ 47 247] ; [ 2 49],[ 41.75652174 252.24347826] ; [ 7.24347826 43.75652174],0
a2,1,0.024404,5.065668,[ 87 211] ; [ 8 47],[ 80.19830028 217.80169972] ; [14.80169972 40.19830028],0
v4,1,0.031986,4.599261,[287   9] ; [49  5],[284.16  11.84] ; [51.84  2.16],0
p6,1,0.032529,4.570405,[127 166] ; [15 39],[119.90201729 173.09798271] ; [22.09798271 31.90201729],0
r1,1,0.072889,3.216737,[250  46] ; [41 14],[245.4017094  50.5982906] ; [45.5982906  9.4017094],0
d1,1,0.080464,3.055508,[194 104] ; [29 26],[188.25495751 109.74504249] ; [34.74504249 20.25495751],0
d4,1,0.086661,2.935338,[260  34] ; [44 11],[256.09169054  37.90830946] ; [47.90830946  7.09169054],0
n4,1,0.092598,2.828614,[244  52] ; [40 15],[239.4985755  56.5014245] ; [44.5014245 10.4985755],0
n1,1,0.106378,2.607218,[30 27] ; [ 4 10],[27.29577465 29.70422535] ; [6.70422535 7.29577465],0
p3,1,0.116779,2.459994,[163 133] ; [23 30],[157.75358166 138.24641834] ; [28.24641834 24.75358166],0
v1,1,0.122411,2.386199,[178 108] ; [27 26],[172.94985251 113.05014749] ; [32.05014749 20.94985251],0
p8,1,0.131738,2.271902,[158 136] ; [23 31],[152.9137931 141.0862069] ; [28.0862069 25.9137931],0
a3,1,0.137471,2.206042,[227  69] ; [37 18],[222.63247863  73.36752137] ; [41.36752137 13.63247863],0
n5,1,0.180508,1.793434,[238  57] ; [40 15],[234.31428571  60.68571429] ; [43.68571429 11.31428571],0
d3,1,0.200202,1.640901,[208  87] ; [34 21],[203.97142857  91.02857143] ; [38.02857143 16.97142857],0
u1,1,0.203154,1.619556,[ 66 232] ; [ 8 47],[ 62.47025496 235.52974504] ; [11.52974504 43.47025496],0
