Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,24.03884,[29 54] ; [ 10 116],[15.48803828 67.51196172] ; [ 23.51196172 102.48803828],1
s8,1,3.2e-05,17.27275,[29 56] ; [ 14 115],[17.07943925 67.92056075] ; [ 25.92056075 103.07943925],1
s7,1,0.000153,14.337265,[32 48] ; [ 20 103],[20.49261084 59.50738916] ; [31.50738916 91.49261084],1
p10,1,0.001308,10.330514,[67 15] ; [77 50],[56.49760766 25.50239234] ; [87.50239234 39.49760766],0
r4,1,0.002315,9.281733,[72 13] ; [85 44],[62.35981308 22.64018692] ; [94.64018692 34.35981308],0
n6,1,0.002659,9.028093,[72 13] ; [84 43],[62.54716981 22.45283019] ; [93.45283019 33.54716981],0
p4,1,0.002964,8.829797,[48 36] ; [47 82],[37.46478873 46.53521127] ; [57.53521127 71.46478873],0
p5,1,0.003302,8.632673,[14 70] ; [  6 123],[ 7.88732394 76.11267606] ; [ 12.11267606 116.88732394],0
s2,1,0.00386,8.348514,[17 67] ; [  9 120],[10.25352113 73.74647887] ; [ 15.74647887 113.25352113],0
p1,1,0.009126,6.798009,[ 2 83] ; [ 16 112],[ 7.18309859 77.81690141] ; [ 10.81690141 117.18309859],0
p9,1,0.009785,6.673662,[69 15] ; [83 43],[60.8 23.2] ; [91.2 34.8],0
u2,1,0.010193,6.600932,[29 13] ; [25 33],[22.68 19.32] ; [31.32 26.68],0
p7,1,0.010307,6.580986,[49 34] ; [52 75],[39.91904762 43.08095238] ; [61.08095238 65.91904762],0
r3,1,0.022474,5.20868,[78  7] ; [102  25],[72.16981132 12.83018868] ; [107.83018868  19.16981132],0
p6,1,0.025494,4.990034,[30 53] ; [28 99],[22.92380952 60.07619048] ; [35.07619048 91.92380952],0
v4,1,0.033089,4.54119,[78  7] ; [104  24],[72.62910798 12.37089202] ; [109.37089202  18.62910798],0
a7,1,0.034542,4.467685,[61 24] ; [73 54],[53.72641509 31.27358491] ; [80.27358491 46.72641509],0
v1,1,0.041447,4.157664,[43 41] ; [47 80],[35.82938389 48.17061611] ; [54.17061611 72.82938389],0
