Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,30.399718,[74  8] ; [ 9 15],[64.20754717 17.79245283] ; [18.79245283  5.20754717],1
d1,1,0.0,28.299925,[54 28] ; [ 1 23],[42.54716981 39.45283019] ; [12.45283019 11.54716981],1
d3,1,5.5e-05,16.260736,[68 14] ; [10 14],[60.33962264 21.66037736] ; [17.66037736  6.33962264],1
a4,1,0.002842,8.906,[29 53] ; [ 1 23],[23.20754717 58.79245283] ; [ 6.79245283 17.20754717],0
r4,1,0.004543,8.052936,[74  8] ; [16  8],[69.62264151 12.37735849] ; [20.37735849  3.62264151],0
d2,1,0.008842,6.854561,[34 48] ; [ 3 21],[28.62264151 53.37735849] ; [ 8.37735849 15.62264151],0
v4,1,0.01456,5.968927,[77  4] ; [19  5],[74.05714286  6.94285714] ; [21.94285714  2.05714286],0
r3,1,0.024014,5.093631,[79  3] ; [20  4],[76.58490566  5.41509434] ; [22.41509434  1.58490566],0
r2,1,0.033545,4.51773,[75  5] ; [19  5],[72.30769231  7.69230769] ; [21.69230769  2.30769231],0
p1,1,0.035571,4.417549,[ 5 74] ; [ 5 19],[ 7.66990291 71.33009709] ; [ 2.33009709 21.66990291],0
r1,1,0.03842,4.286318,[65 17] ; [14 10],[61.11320755 20.88679245] ; [17.88679245  6.11320755],0
a3,1,0.041736,4.145862,[50 32] ; [ 9 15],[45.64150943 36.35849057] ; [13.35849057 10.64150943],0
v2,1,0.070235,3.27752,[43 36] ; [ 8 16],[39.11650485 39.88349515] ; [11.88349515 12.11650485],0
p9,1,0.093098,2.819975,[65 17] ; [15  9],[61.88679245 20.11320755] ; [18.11320755  5.88679245],0
p12,1,0.186033,1.748759,[ 4 78] ; [ 3 21],[ 5.41509434 76.58490566] ; [ 1.58490566 22.41509434],0
p2,1,0.191151,1.708722,[69 11] ; [18  6],[66.92307692 13.07692308] ; [20.07692308  3.92307692],0
b5,1,0.195975,1.672121,[46 36] ; [17  7],[48.73584906 33.26415094] ; [14.26415094  9.73584906],0
b1,1,0.205072,1.605882,[23 59] ; [10 14],[25.52830189 56.47169811] ; [ 7.47169811 16.52830189],0
s7,1,0.217185,1.522872,[31 49] ; [ 6 18],[28.46153846 51.53846154] ; [ 8.53846154 15.46153846],0
s5,1,0.219297,1.508966,[24 55] ; [ 4 19],[21.68627451 57.31372549] ; [ 6.31372549 16.68627451],0
p10,1,0.231034,1.434483,[60 20] ; [15  9],[57.69230769 22.30769231] ; [17.30769231  6.69230769],0
b4,1,0.237301,1.396559,[52 30] ; [12 12],[49.50943396 32.49056604] ; [14.49056604  9.50943396],0
u3,1,0.250234,1.321994,[18 13] ; [6 9],[16.17391304 14.82608696] ; [7.82608696 7.17391304],0
