Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5.8e-05,16.151204,[ 2 11] ; [20  4],[7.72972973 5.27027027] ; [14.27027027  9.72972973],1
n6,1,0.015144,5.899666,[ 3 10] ; [15  8],[6.5 6.5] ; [11.5 11.5],0
a5,1,0.040574,4.193729,[6 7] ; [19  5],[8.78378378 4.21621622] ; [16.21621622  7.78378378],0
p8,1,0.046104,3.977775,[6 5] ; [ 5 19],[3.45714286 7.54285714] ; [ 7.54285714 16.45714286],0
d5,1,0.067053,3.353738,[8 5] ; [21  3],[10.18918919  2.81081081] ; [18.81081081  5.18918919],0
s1,1,0.076989,3.127355,[ 3 10] ; [ 1 23],[ 1.40540541 11.59459459] ; [ 2.59459459 21.40540541],0
a6,1,0.07932,3.078772,[6 7] ; [18  6],[8.43243243 4.56756757] ; [15.56756757  8.43243243],0
n2,1,0.124283,2.3625,[1 3] ; [7 3],[2.28571429 1.71428571] ; [5.71428571 4.28571429],0
s8,1,0.129824,2.294609,[ 1 12] ; [ 7 17],[ 2.81081081 10.18918919] ; [ 5.18918919 18.81081081],0
b4,1,0.140176,2.176028,[8 5] ; [20  4],[9.83783784 3.16216216] ; [18.16216216  5.83783784],0
r4,1,0.173023,1.856556,[ 3 10] ; [11 13],[4.91891892 8.08108108] ; [ 9.08108108 14.91891892],0
s4,1,0.232707,1.42424,[ 2 11] ; [ 1 23],[ 1.05405405 11.94594595] ; [ 1.94594595 22.05405405],0
v2,1,0.259653,1.270604,[4 9] ; [12 12],[5.62162162 7.37837838] ; [10.37837838 13.62162162],0
a3,1,0.281942,1.157705,[8 5] ; [18  5],[9.38888889 3.61111111] ; [16.61111111  6.38888889],0
u2,1,0.303052,1.060714,[1 4] ; [3 3],[1.81818182 3.18181818] ; [2.18181818 3.81818182],0
v3,1,0.35092,0.870129,[ 2 11] ; [ 7 17],[3.16216216 9.83783784] ; [ 5.83783784 18.16216216],0
p4,1,0.37095,0.800481,[ 3 10] ; [ 9 15],[4.21621622 8.78378378] ; [ 7.78378378 16.21621622],0
p3,1,0.497602,0.460046,[ 2 11] ; [ 6 18],[ 2.81081081 10.18918919] ; [ 5.18918919 18.81081081],0
p6,1,0.497602,0.460046,[ 2 11] ; [ 6 18],[ 2.81081081 10.18918919] ; [ 5.18918919 18.81081081],0
r1,1,0.50137,0.452036,[5 8] ; [12 12],[5.97297297 7.02702703] ; [11.02702703 12.97297297],0
p10,1,0.587045,0.294983,[5 8] ; [11 12],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
n1,1,0.596701,0.28,[1 3] ; [4 6],[1.42857143 2.57142857] ; [3.57142857 6.42857143],0
b1,1,0.64155,0.216721,[6 7] ; [13 11],[6.67567568 6.32432432] ; [12.32432432 11.67567568],0
d2,1,0.64155,0.216721,[6 7] ; [13 11],[6.67567568 6.32432432] ; [12.32432432 11.67567568],0
s5,1,0.643563,0.214113,[ 2 11] ; [ 5 18],[ 2.52777778 10.47222222] ; [ 4.47222222 18.52777778],0
u1,1,0.652998,0.202142,[ 1 12] ; [ 3 21],[ 1.40540541 11.59459459] ; [ 2.59459459 21.40540541],0
d1,1,0.665671,0.186708,[5 8] ; [11 13],[5.62162162 7.37837838] ; [10.37837838 13.62162162],0
a2,1,0.686225,0.163202,[ 2 11] ; [ 5 19],[ 2.45945946 10.54054054] ; [ 4.54054054 19.45945946],0
n3,1,0.732678,0.116667,[2 2] ; [6 4],[2.28571429 1.71428571] ; [5.71428571 4.28571429],0
b2,1,0.735039,0.114535,[2 7] ; [ 4 10],[2.34782609 6.65217391] ; [ 3.65217391 10.34782609],0
b3,1,0.735039,0.114535,[2 7] ; [ 4 10],[2.34782609 6.65217391] ; [ 3.65217391 10.34782609],0
v1,1,0.806179,0.060201,[4 9] ; [ 8 15],[4.33333333 8.66666667] ; [ 7.66666667 15.33333333],0
p2,1,0.823181,0.049933,[6 7] ; [12 12],[6.32432432 6.67567568] ; [11.67567568 12.32432432],0
s6,1,0.825298,0.048724,[5 8] ; [ 8 15],[4.69444444 8.30555556] ; [ 8.30555556 14.69444444],0
r3,1,0.841219,0.040134,[10  3] ; [17  6],[9.75 3.25] ; [17.25  5.75],0
d3,1,0.849647,0.035936,[8 5] ; [14 10],[7.72972973 5.27027027] ; [14.27027027  9.72972973],0
p7,1,0.873624,0.025299,[4 9] ; [ 8 16],[4.21621622 8.78378378] ; [ 7.78378378 16.21621622],0
d4,1,0.873624,0.025299,[9 4] ; [16  8],[8.78378378 4.21621622] ; [16.21621622  7.78378378],0
a4,1,0.873624,0.025299,[4 9] ; [ 8 16],[4.21621622 8.78378378] ; [ 7.78378378 16.21621622],0
r2,1,0.886436,0.020396,[8 5] ; [13  9],[7.8 5.2] ; [13.2  8.8],0
s2,1,0.926113,0.0086,[ 3 10] ; [ 5 18],[ 2.88888889 10.11111111] ; [ 5.11111111 17.88888889],0
