Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,99.684797,[254 112] ; [ 45 139],[198.97090909 167.02909091] ; [100.02909091  83.97090909],1
p6,1,0.0,52.574552,[185 183] ; [ 33 149],[145.86181818 222.13818182] ; [ 72.13818182 109.86181818],1
p2,1,0.0,35.541383,[339  29] ; [135  49],[316.  52.] ; [158.  26.],1
p4,1,0.0,31.172524,[276  93] ; [94 90],[246.88969259 122.11030741] ; [123.11030741  60.88969259],1
p3,1,0.0,29.983591,[234 135] ; [ 71 112],[203.88586957 165.11413043] ; [101.11413043  81.88586957],1
p10,1,0.0,25.798549,[330  37] ; [134  49],[309.61454545  57.38545455] ; [154.38545455  28.61454545],1
v1,1,8e-06,19.892393,[234 127] ; [79 98],[210.02416357 150.97583643] ; [102.97583643  74.02416357],1
p9,1,5.1e-05,16.392734,[335  32] ; [143  38],[320.12043796  46.87956204] ; [157.87956204  23.12043796],1
r4,1,7.1e-05,15.789327,[347  23] ; [153  31],[333.93501805  36.06498195] ; [166.06498195  17.93501805],1
s5,1,0.000271,13.263839,[146 214] ; [ 42 130],[127.21804511 232.78195489] ; [ 60.78195489 111.21804511],1
p11,1,0.000605,11.761653,[316  54] ; [135  49],[301.20938628  68.79061372] ; [149.79061372  34.20938628],1
r3,1,0.000721,11.434119,[356  11] ; [165  18],[347.64909091  19.35090909] ; [173.35090909   9.64909091],1
r1,1,0.00091,11.001836,[313  53] ; [136  48],[298.78909091  67.21090909] ; [150.21090909  33.78909091],1
p5,1,0.002987,8.815189,[ 60 309] ; [ 13 169],[ 48.88747731 320.11252269] ; [ 24.11252269 157.88747731],0
v2,1,0.005229,7.798472,[223 136] ; [87 89],[208.01869159 150.98130841] ; [101.98130841  74.01869159],0
v4,1,0.006086,7.524537,[356  12] ; [168  16],[349.33333333  18.66666667] ; [174.66666667   9.33333333],0
a8,1,0.009766,6.677088,[ 65 270] ; [ 17 148],[ 54.94 280.06] ; [ 27.06 137.94],0
b5,1,0.015411,5.868869,[214 156] ; [126  58],[227.07581227 142.92418773] ; [112.92418773  71.07581227],0
v3,1,0.01755,5.640516,[169 189] ; [ 64 112],[156.20599251 201.79400749] ; [76.79400749 99.20599251],0
d2,1,0.021882,5.255115,[194 176] ; [113  67],[206.52727273 163.47272727] ; [100.47272727  79.52727273],0
s6,1,0.028779,4.780776,[261  98] ; [115  66],[249.97037037 109.02962963] ; [126.02962963  54.97037037],0
s7,1,0.032965,4.547594,[193 158] ; [78 95],[181.52862595 169.47137405] ; [89.47137405 83.52862595],0
s8,1,0.052755,3.751657,[190 178] ; [ 78 104],[179.31636364 188.68363636] ; [88.68363636 93.31636364],0
