Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3.2e-05,17.315876,[ 6 41] ; [9 4],[11.75 35.25] ; [3.25 9.75],1
p7,1,0.000233,13.541186,[ 6 41] ; [8 5],[10.96666667 36.03333333] ; [3.03333333 9.96666667],1
p8,1,0.004527,8.059151,[ 5 40] ; [6 7],[ 8.53448276 36.46551724] ; [ 2.46551724 10.53448276],0
d3,1,0.028266,4.811784,[20 27] ; [10  3],[23.5 23.5] ; [6.5 6.5],0
p5,1,0.055561,3.665184,[ 1 45] ; [ 2 11],[ 2.33898305 43.66101695] ; [ 0.66101695 12.33898305],0
s2,1,0.065997,3.37988,[ 7 39] ; [5 8],[ 9.3559322 36.6440678] ; [ 2.6440678 10.3559322],0
s4,1,0.072004,3.236738,[ 5 42] ; [4 9],[ 7.05 39.95] ; [ 1.95 11.05],0
b2,1,0.114918,2.485247,[14 19] ; [1 7],[12.07317073 20.92682927] ; [2.92682927 5.07317073],0
b3,1,0.114918,2.485247,[14 19] ; [1 7],[12.07317073 20.92682927] ; [2.92682927 5.07317073],0
s1,1,0.147627,2.096603,[ 4 43] ; [ 3 10],[ 5.48333333 41.51666667] ; [ 1.51666667 11.48333333],0
a7,1,0.152188,2.050178,[25 22] ; [4 9],[22.71666667 24.28333333] ; [6.28333333 6.71666667],0
p10,1,0.179393,1.802642,[15 30] ; [7 6],[17.06896552 27.93103448] ; [4.93103448 8.06896552],0
s3,1,0.180978,1.789573,[12 33] ; [6 7],[13.96551724 31.03448276] ; [4.03448276 8.96551724],0
n6,1,0.19477,1.681159,[21 25] ; [8 4],[23. 23.] ; [6. 6.],0
a5,1,0.243896,1.357933,[24 23] ; [9 4],[25.85 21.15] ; [7.15 5.85],0
r3,1,0.249553,1.325802,[26 20] ; [5 8],[24.16949153 21.83050847] ; [6.83050847 6.16949153],0
u2,1,0.263128,1.252222,[ 3 15] ; [2 3],[ 3.91304348 14.08695652] ; [1.08695652 3.91304348],0
s6,1,0.277228,1.180628,[11 36] ; [5 8],[12.53333333 34.46666667] ; [3.46666667 9.53333333],0
v1,1,0.297487,1.085428,[11 35] ; [5 8],[12.47457627 33.52542373] ; [3.52542373 9.47457627],0
p2,1,0.340769,0.907538,[15 32] ; [6 7],[16.45 30.55] ; [4.55 8.45],0
a4,1,0.350571,0.87139,[17 29] ; [ 3 10],[15.59322034 30.40677966] ; [4.40677966 8.59322034],0
a6,1,0.387447,0.74694,[19 28] ; [7 6],[20.36666667 26.63333333] ; [5.63333333 7.36666667],0
p9,1,0.408862,0.682107,[18 26] ; [7 6],[19.29824561 24.70175439] ; [5.70175439 7.29824561],0
s5,1,0.484068,0.489684,[ 7 39] ; [ 1 12],[ 6.23728814 39.76271186] ; [ 1.76271186 11.23728814],0
n1,1,0.495947,0.463599,[11 13] ; [2 1],[11.55555556 12.44444444] ; [1.44444444 1.55555556],0
v2,1,0.50986,0.434354,[15 31] ; [ 3 10],[14.03389831 31.96610169] ; [3.96610169 9.03389831],0
s7,1,0.520409,0.413082,[11 32] ; [ 2 10],[10.16363636 32.83636364] ; [2.83636364 9.16363636],0
a8,1,0.52219,0.409566,[ 7 38] ; [ 1 11],[ 6.31578947 38.68421053] ; [ 1.68421053 10.31578947],0
d4,1,0.538262,0.37877,[32 15] ; [10  3],[32.9 14.1] ; [9.1 3.9],0
n3,1,0.539315,0.376812,[11 12] ; [2 1],[11.5 11.5] ; [1.5 1.5],0
d2,1,0.549559,0.358107,[22 24] ; [5 8],[21.05084746 24.94915254] ; [5.94915254 7.05084746],0
r2,1,0.55565,0.347293,[23 21] ; [8 5],[23.92982456 20.07017544] ; [7.07017544 5.92982456],0
u3,1,0.601598,0.272593,[ 2 16] ; [1 4],[ 2.34782609 15.65217391] ; [0.65217391 4.34782609],0
s8,1,0.614017,0.254366,[ 6 41] ; [ 1 12],[ 5.48333333 41.51666667] ; [ 1.51666667 11.48333333],0
u1,1,0.614795,0.253252,[ 2 45] ; [ 1 12],[ 2.35 44.65] ; [ 0.65 12.35],0
n2,1,0.681225,0.16875,[11 13] ; [1 2],[10.66666667 13.33333333] ; [1.33333333 1.66666667],0
b5,1,0.7108,0.13748,[19 28] ; [6 7],[19.58333333 27.41666667] ; [5.41666667 7.58333333],0
b1,1,0.754001,0.0982,[24 23] ; [6 7],[23.5 23.5] ; [6.5 6.5],0
v3,1,0.754001,0.0982,[ 9 38] ; [ 3 10],[ 9.4 37.6] ; [ 2.6 10.4],0
n4,1,0.767498,0.087408,[31 16] ; [8 5],[30.55 16.45] ; [8.45 4.55],0
b4,1,0.767498,0.087408,[31 16] ; [8 5],[30.55 16.45] ; [8.45 4.55],0
r1,1,0.791129,0.070143,[20 27] ; [5 8],[19.58333333 27.41666667] ; [5.41666667 7.58333333],0
p1,1,0.805817,0.060431,[ 6 41] ; [ 2 11],[ 6.26666667 40.73333333] ; [ 1.73333333 11.26666667],0
r4,1,0.856428,0.032733,[12 35] ; [ 3 10],[11.75 35.25] ; [3.25 9.75],0
n5,1,0.898203,0.016367,[28 19] ; [8 5],[28.2 18.8] ; [7.8 5.2],0
a3,1,0.921071,0.009818,[29 17] ; [8 5],[28.84745763 17.15254237] ; [8.15254237 4.84745763],0
p11,1,0.924725,0.008927,[21 26] ; [6 7],[21.15 25.85] ; [5.85 7.15],0
d5,1,0.991429,0.000115,[29 18] ; [8 5],[28.98333333 18.01666667] ; [8.01666667 4.98333333],0
d1,1,0.991429,0.000115,[18 29] ; [5 8],[18.01666667 28.98333333] ; [4.98333333 8.01666667],0
