Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3.3e-05,17.248,[2 3] ; [48  2],[4.54545455 0.45454545] ; [45.45454545  4.54545455],1
r4,1,0.000435,12.375,[1 4] ; [43  7],[4. 1.] ; [40. 10.],1
n6,1,0.010999,6.465556,[2 3] ; [43  7],[4.09090909 0.90909091] ; [40.90909091  9.09090909],0
r1,1,0.012727,6.206656,[1 4] ; [37 13],[3.45454545 1.54545455] ; [34.54545455 15.45454545],0
p10,1,0.04855,3.890845,[2 3] ; [39 10],[3.7962963 1.2037037] ; [37.2037037 11.7962963],0
a3,1,0.124212,2.363395,[1 4] ; [28 22],[2.63636364 2.36363636] ; [26.36363636 23.63636364],0
u1,1,0.133062,2.25641,[1 4] ; [ 2 48],[0.27272727 4.72727273] ; [ 2.72727273 47.27272727],0
a8,1,0.149725,2.075053,[2 3] ; [ 7 41],[0.8490566 4.1509434] ; [ 8.1509434 39.8490566],0
v1,1,0.230571,1.437333,[1 4] ; [24 26],[2.27272727 2.72727273] ; [22.72727273 27.27272727],0
s3,1,0.248189,1.333469,[1 4] ; [23 26],[2.22222222 2.77777778] ; [21.77777778 27.22222222],0
s2,1,0.263681,1.249328,[1 4] ; [23 27],[2.18181818 2.81818182] ; [21.81818182 28.18181818],0
p9,1,0.301875,1.065891,[3 2] ; [40 10],[3.90909091 1.09090909] ; [39.09090909 10.90909091],0
d5,1,0.309375,1.033342,[3 2] ; [18 31],[1.94444444 3.05555556] ; [19.05555556 29.94444444],0
p8,1,0.338352,0.916667,[2 3] ; [31 19],[3. 2.] ; [30. 20.],0
n4,1,0.366372,0.815934,[3 2] ; [39 11],[3.81818182 1.18181818] ; [38.18181818 11.81818182],0
p3,1,0.387338,0.747283,[2 3] ; [30 20],[2.90909091 2.09090909] ; [29.09090909 20.90909091],0
b4,1,0.387338,0.747283,[2 3] ; [30 20],[2.90909091 2.09090909] ; [29.09090909 20.90909091],0
a5,1,0.43904,0.59879,[2 3] ; [29 21],[2.81818182 2.18181818] ; [28.18181818 21.81818182],0
s6,1,0.487248,0.482597,[2 3] ; [27 21],[2.73584906 2.26415094] ; [26.26415094 21.73584906],0
r3,1,0.494053,0.467687,[4 1] ; [45  5],[4.45454545 0.54545455] ; [44.54545455  5.45454545],0
v2,1,0.518844,0.416191,[2 3] ; [27 22],[2.68518519 2.31481481] ; [26.31481481 22.68518519],0
u2,1,0.547435,0.361932,[3 1] ; [13  9],[2.46153846 1.53846154] ; [13.53846154  8.46153846],0
p4,1,0.57323,0.317308,[3 2] ; [36 14],[3.54545455 1.45454545] ; [35.45454545 14.54545455],0
a4,1,0.593955,0.284211,[2 3] ; [14 35],[1.48148148 3.51851852] ; [14.51851852 34.48148148],0
b1,1,0.669764,0.181878,[3 2] ; [25 25],[2.54545455 2.45454545] ; [25.45454545 24.54545455],0
b2,1,0.6936,0.155216,[1 2] ; [14 17],[1.32352941 1.67647059] ; [13.67647059 17.32352941],0
b3,1,0.6936,0.155216,[1 2] ; [14 17],[1.32352941 1.67647059] ; [13.67647059 17.32352941],0
d2,1,0.701741,0.146667,[1 4] ; [14 36],[1.36363636 3.63636364] ; [13.63636364 36.36363636],0
p7,1,0.716728,0.131649,[4 1] ; [43  7],[4.27272727 0.72727273] ; [42.72727273  7.27272727],0
p11,1,0.769017,0.086237,[4 1] ; [37 13],[3.72727273 1.27272727] ; [37.27272727 12.72727273],0
a6,1,0.787919,0.072368,[3 2] ; [33 17],[3.27272727 1.72727273] ; [32.72727273 17.27272727],0
s8,1,0.930062,0.007703,[2 3] ; [19 31],[1.90909091 3.09090909] ; [19.09090909 30.90909091],0
a7,1,0.957332,0.002862,[3 2] ; [30 19],[3.05555556 1.94444444] ; [29.94444444 19.05555556],0
n5,1,0.982778,0.000466,[4 1] ; [39 10],[3.98148148 1.01851852] ; [39.01851852  9.98148148],0
