Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5e-05,16.449047,[102  24] ; [10 14],[94.08 31.92] ; [17.92  6.08],1
p9,1,0.013635,6.084734,[100  23] ; [14 10],[95.3877551 27.6122449] ; [18.6122449  5.3877551],0
u3,1,0.025021,5.022434,[28 34] ; [9 2],[31.42465753 30.57534247] ; [5.57534247 5.42465753],0
b1,1,0.039315,4.247194,[43 83] ; [14 11],[47.56291391 78.43708609] ; [ 9.43708609 15.56291391],0
n4,1,0.04053,4.195569,[95 30] ; [14 11],[90.83333333 34.16666667] ; [18.16666667  6.83333333],0
s2,1,0.040844,4.182456,[51 71] ; [ 5 20],[46.47619048 75.52380952] ; [ 9.52380952 15.47619048],0
p10,1,0.056114,3.648678,[94 28] ; [14 10],[90.24657534 31.75342466] ; [17.75342466  6.24657534],0
s5,1,0.05691,3.625232,[33 88] ; [ 2 21],[29.40972222 91.59027778] ; [ 5.59027778 17.40972222],0
u2,1,0.123222,2.375885,[24 38] ; [7 4],[26.32876712 35.67123288] ; [4.67123288 6.32876712],0
p6,1,0.126106,2.3398,[40 84] ; [ 4 20],[36.86486486 87.13513514] ; [ 7.13513514 16.86486486],0
r1,1,0.157668,1.996448,[93 31] ; [22  3],[95.70469799 28.29530201] ; [19.29530201  5.70469799],0
s3,1,0.161061,1.964236,[67 54] ; [10 15],[63.81506849 57.18493151] ; [13.18493151 11.81506849],0
s7,1,0.22533,1.4701,[52 66] ; [ 7 16],[49.37588652 68.62411348] ; [ 9.62411348 13.37588652],0
r2,1,0.259201,1.273017,[122   4] ; [23  2],[120.99337748   5.00662252] ; [24.00662252  0.99337748],0
d3,1,0.293842,1.101934,[38 87] ; [ 5 20],[35.83333333 89.16666667] ; [ 7.16666667 17.83333333],0
a4,1,0.315522,1.007417,[28 96] ; [ 8 17],[29.95973154 94.04026846] ; [ 6.04026846 18.95973154],0
a7,1,0.320675,0.986189,[83 42] ; [14 11],[80.83333333 44.16666667] ; [16.16666667  8.83333333],0
s6,1,0.328168,0.956115,[75 45] ; [13 12],[72.82758621 47.17241379] ; [15.17241379  9.82758621],0
p1,1,0.343585,0.89701,[ 16 109] ; [ 5 20],[ 17.5 107.5] ; [ 3.5 21.5],0
p2,1,0.35145,0.868213,[96 29] ; [17  8],[94.16666667 30.83333333] ; [18.83333333  6.16666667],0
s4,1,0.38379,0.758526,[ 24 100] ; [ 3 22],[ 22.46979866 101.53020134] ; [ 4.53020134 20.46979866],0
a5,1,0.394971,0.723585,[69 57] ; [16  9],[70.92715232 55.07284768] ; [14.07284768 10.92715232],0
b2,1,0.39603,0.720346,[19 58] ; [ 2 12],[17.76923077 59.23076923] ; [ 3.23076923 10.76923077],0
b3,1,0.39603,0.720346,[19 58] ; [ 2 12],[17.76923077 59.23076923] ; [ 3.23076923 10.76923077],0
p3,1,0.401124,0.704955,[61 63] ; [10 15],[59.08724832 64.91275168] ; [11.91275168 13.08724832],0
a6,1,0.470646,0.520459,[76 50] ; [17  8],[77.60264901 48.39735099] ; [15.39735099  9.60264901],0
a8,1,0.497624,0.46,[ 14 101] ; [ 4 19],[ 15. 100.] ; [ 3. 20.],0
v2,1,0.510538,0.432965,[55 65] ; [ 8 13],[53.61702128 66.38297872] ; [ 9.38297872 11.61702128],0
v1,1,0.523278,0.407428,[60 63] ; [10 14],[58.57142857 64.42857143] ; [11.42857143 12.57142857],0
s8,1,0.52746,0.399282,[48 76] ; [ 8 17],[46.60402685 77.39597315] ; [ 9.39597315 15.60402685],0
v3,1,0.541112,0.373483,[46 78] ; [ 7 16],[44.70748299 79.29251701] ; [ 8.29251701 14.70748299],0
s1,1,0.542989,0.370028,[  6 115] ; [ 2 23],[  6.63013699 114.36986301] ; [ 1.36986301 23.63013699],0
n2,1,0.558697,0.341965,[24  3] ; [9 2],[23.44736842  3.55263158] ; [9.55263158 1.44736842],0
a2,1,0.606604,0.26515,[ 11 115] ; [ 3 22],[ 11.68211921 114.31788079] ; [ 2.31788079 22.68211921],0
p11,1,0.656324,0.198019,[96 30] ; [18  7],[95.12582781 30.87417219] ; [18.87417219  6.12582781],0
d2,1,0.656324,0.198019,[30 96] ; [ 7 18],[30.87417219 95.12582781] ; [ 6.12582781 18.87417219],0
p4,1,0.661003,0.192308,[66 59] ; [12 13],[65. 60.] ; [13. 12.],0
a3,1,0.661003,0.192308,[64 61] ; [14 11],[65. 60.] ; [13. 12.],0
p8,1,0.712922,0.135376,[56 66] ; [12 12],[56.82191781 65.17808219] ; [11.17808219 12.82191781],0
d5,1,0.714904,0.133428,[60 65] ; [13 12],[60.83333333 64.16666667] ; [12.16666667 12.83333333],0
p7,1,0.867185,0.027968,[74 49] ; [14 10],[73.63265306 49.36734694] ; [14.36734694  9.63265306],0
b4,1,0.912236,0.012148,[64 62] ; [13 12],[64.25165563 61.74834437] ; [12.74834437 12.25165563],0
b5,1,0.964646,0.001965,[75 51] ; [15 10],[75.09933775 50.90066225] ; [14.90066225 10.09933775],0
n1,1,0.96749,0.001661,[11 16] ; [4 6],[10.94594595 16.05405405] ; [4.05405405 5.94594595],0
