Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.007811,7.07628,[16  9] ; [ 7 19],[11.2745098 13.7254902] ; [11.7254902 14.2745098],0
p1,1,0.091479,2.848154,[ 1 24] ; [ 5 21],[ 2.94117647 22.05882353] ; [ 3.05882353 22.94117647],0
v3,1,0.106948,2.598753,[ 9 16] ; [ 4 21],[ 6.5 18.5] ; [ 6.5 18.5],0
u3,1,0.152338,2.048677,[3 4] ; [7 2],[4.375 2.625] ; [5.625 3.375],0
v2,1,0.155969,2.012882,[14 11] ; [ 9 16],[11.5 13.5] ; [11.5 13.5],0
n1,1,0.189717,1.71981,[1 8] ; [5 9],[2.34782609 6.65217391] ; [ 3.65217391 10.34782609],0
p8,1,0.207712,1.587302,[ 9 16] ; [ 5 20],[ 7. 18.] ; [ 7. 18.],0
b4,1,0.209686,1.57359,[11 14] ; [16 10],[13.23529412 11.76470588] ; [13.76470588 12.23529412],0
a4,1,0.209686,1.57359,[14 11] ; [10 16],[11.76470588 13.23529412] ; [12.23529412 13.76470588],0
r3,1,0.240073,1.380167,[18  6] ; [22  3],[19.59183673  4.40816327] ; [20.40816327  4.59183673],0
r2,1,0.240605,1.377044,[20  3] ; [25  1],[21.12244898  1.87755102] ; [23.87755102  2.12244898],0
a5,1,0.285136,1.142448,[18  7] ; [15 11],[16.17647059  8.82352941] ; [16.82352941  9.17647059],0
s5,1,0.286003,1.13834,[12  8] ; [11 14],[10.22222222  9.77777778] ; [12.77777778 12.22222222],0
s7,1,0.294948,1.096897,[13  9] ; [10 13],[11.24444444 10.75555556] ; [11.75555556 11.24444444],0
p10,1,0.296385,1.090391,[13 12] ; [16  8],[14.79591837 10.20408163] ; [14.20408163  9.79591837],0
d3,1,0.305749,1.048951,[21  4] ; [18  7],[19.5  5.5] ; [19.5  5.5],0
b1,1,0.32816,0.956144,[11 14] ; [15 11],[12.74509804 12.25490196] ; [13.25490196 12.74509804],0
p3,1,0.331595,0.942659,[12 13] ; [ 9 17],[10.29411765 14.70588235] ; [10.70588235 15.29411765],0
p6,1,0.370455,0.802139,[10 15] ; [ 7 18],[ 8.5 16.5] ; [ 8.5 16.5],0
d5,1,0.384088,0.757576,[23  2] ; [21  4],[22.  3.] ; [22.  3.],0
u1,1,0.406178,0.68996,[ 5 20] ; [ 3 23],[ 3.92156863 21.07843137] ; [ 4.07843137 21.92156863],0
a2,1,0.406178,0.68996,[ 5 20] ; [ 3 23],[ 3.92156863 21.07843137] ; [ 4.07843137 21.92156863],0
r1,1,0.428203,0.627692,[18  7] ; [16 10],[16.66666667  8.33333333] ; [17.33333333  8.66666667],0
r4,1,0.438526,0.600135,[19  6] ; [22  4],[20.09803922  4.90196078] ; [20.90196078  5.09803922],0
d2,1,0.461396,0.542505,[16  9] ; [14 12],[14.70588235 10.29411765] ; [15.29411765 10.70588235],0
p4,1,0.488161,0.480577,[13 12] ; [11 15],[11.76470588 13.23529412] ; [12.23529412 13.76470588],0
s8,1,0.492575,0.470896,[11 14] ; [ 9 17],[ 9.80392157 15.19607843] ; [10.19607843 15.80392157],0
s1,1,0.551515,0.35461,[ 2 23] ; [ 1 24],[ 1.5 23.5] ; [ 1.5 23.5],0
b2,1,0.559847,0.33997,[4 9] ; [2 8],[3.39130435 9.60869565] ; [2.60869565 7.39130435],0
b3,1,0.559847,0.33997,[4 9] ; [2 8],[3.39130435 9.60869565] ; [2.60869565 7.39130435],0
a3,1,0.610764,0.259063,[18  7] ; [17  9],[17.15686275  7.84313725] ; [17.84313725  8.15686275],0
n6,1,0.610764,0.259063,[18  7] ; [17  9],[17.15686275  7.84313725] ; [17.84313725  8.15686275],0
s2,1,0.629303,0.233007,[17  8] ; [16 10],[16.17647059  8.82352941] ; [16.82352941  9.17647059],0
d1,1,0.657342,0.196769,[15 10] ; [14 12],[14.21568627 10.78431373] ; [14.78431373 11.21568627],0
a6,1,0.667817,0.184167,[14 11] ; [13 13],[13.23529412 11.76470588] ; [13.76470588 12.23529412],0
n2,1,0.675447,0.175296,[5 4] ; [9 5],[5.47826087 3.52173913] ; [8.52173913 5.47826087],0
v1,1,0.690926,0.158085,[10 15] ; [ 9 17],[ 9.31372549 15.68627451] ; [ 9.68627451 16.31372549],0
n3,1,0.735039,0.114535,[7 2] ; [10  4],[6.65217391 2.34782609] ; [10.34782609  3.65217391],0
a7,1,0.757621,0.095238,[18  7] ; [17  8],[17.5  7.5] ; [17.5  7.5],0
d4,1,0.789412,0.071329,[20  5] ; [20  6],[19.60784314  5.39215686] ; [20.39215686  5.60784314],0
p9,1,0.822912,0.050087,[16  9] ; [14  9],[15.625  9.375] ; [14.375  8.625],0
s3,1,0.855772,0.033036,[16  9] ; [16 10],[15.68627451  9.31372549] ; [16.31372549  9.68627451],0
s6,1,0.881557,0.0222,[17  6] ; [18  7],[16.77083333  6.22916667] ; [18.22916667  6.77083333],0
b5,1,0.910431,0.012655,[15 10] ; [16 10],[15.19607843  9.80392157] ; [15.80392157 10.19607843],0
p2,1,0.917616,0.010699,[16  9] ; [17  9],[16.17647059  8.82352941] ; [16.82352941  9.17647059],0
u2,1,0.949375,0.004031,[3 4] ; [4 5],[3.0625 3.9375] ; [3.9375 5.0625],0
v4,1,0.959213,0.002615,[22  3] ; [23  3],[22.05882353  2.94117647] ; [22.94117647  3.05882353],0
a1,1,0.977427,0.000801,[ 1 24] ; [ 1 25],[ 0.98039216 24.01960784] ; [ 1.01960784 24.98039216],0
p7,1,1.0,0.0,[12 13] ; [12 13],[12. 13.] ; [12. 13.],0
