Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.002174,9.396307,[ 5 11] ; [10  1],[8.88888889 7.11111111] ; [6.11111111 4.88888889],0
p11,1,0.066435,3.368984,[10  7] ; [10  1],[12.14285714  4.85714286] ; [7.85714286 3.14285714],0
p5,1,0.114169,2.495544,[ 1 16] ; [3 8],[ 2.42857143 14.57142857] ; [1.57142857 9.42857143],0
d5,1,0.117852,2.445633,[11  6] ; [10  1],[12.75  4.25] ; [8.25 2.75],0
n6,1,0.119362,2.425668,[9 8] ; [9 2],[10.92857143  6.07142857] ; [7.07142857 3.92857143],0
b4,1,0.141929,2.156918,[ 6 11] ; [7 4],[7.89285714 9.10714286] ; [5.10714286 5.89285714],0
u3,1,0.157299,2.0,[1 7] ; [2 2],[2. 6.] ; [1. 3.],0
r2,1,0.164725,1.930303,[12  3] ; [6 5],[10.38461538  4.61538462] ; [7.61538462 3.38461538],0
p3,1,0.180101,1.796791,[8 9] ; [8 3],[9.71428571 7.28571429] ; [6.28571429 4.71428571],0
n3,1,0.220671,1.5,[5 3] ; [1 3],[4. 4.] ; [2. 2.],0
v3,1,0.263978,1.247772,[ 3 14] ; [4 7],[ 4.25 12.75] ; [2.75 8.25],0
a5,1,0.295108,1.096171,[9 8] ; [8 3],[10.32142857  6.67857143] ; [6.67857143 4.32142857],0
d4,1,0.295108,1.096171,[9 8] ; [8 3],[10.32142857  6.67857143] ; [6.67857143 4.32142857],0
a2,1,0.295366,1.095001,[ 2 15] ; [3 8],[ 3.03571429 13.96428571] ; [1.96428571 9.03571429],0
s3,1,0.309558,1.032561,[9 7] ; [4 7],[7.7037037 8.2962963] ; [5.2962963 5.7037037],0
a7,1,0.314736,1.010695,[11  6] ; [5 6],[9.71428571 7.28571429] ; [6.28571429 4.71428571],0
a4,1,0.314736,1.010695,[ 6 11] ; [6 5],[7.28571429 9.71428571] ; [4.71428571 6.28571429],0
p4,1,0.327618,0.958289,[11  6] ; [9 2],[12.14285714  4.85714286] ; [7.85714286 3.14285714],0
s4,1,0.327618,0.958289,[ 6 11] ; [2 9],[ 4.85714286 12.14285714] ; [3.14285714 7.85714286],0
d1,1,0.3869,0.748663,[ 5 12] ; [5 6],[ 6.07142857 10.92857143] ; [3.92857143 7.07142857],0
a3,1,0.39033,0.737913,[8 9] ; [7 4],[9.10714286 7.89285714] ; [5.89285714 5.10714286],0
b1,1,0.453323,0.562329,[10  7] ; [8 3],[10.92857143  6.07142857] ; [7.07142857 3.92857143],0
d2,1,0.453323,0.562329,[ 7 10] ; [3 8],[ 6.07142857 10.92857143] ; [3.92857143 7.07142857],0
r1,1,0.462832,0.539037,[ 4 13] ; [4 7],[ 4.85714286 12.14285714] ; [3.14285714 7.85714286],0
s5,1,0.474895,0.510563,[ 2 11] ; [3 8],[ 2.70833333 10.29166667] ; [2.29166667 8.70833333],0
p9,1,0.502716,0.449198,[12  5] ; [9 2],[12.75  4.25] ; [8.25 2.75],0
p2,1,0.527458,0.399287,[14  3] ; [10  1],[14.57142857  2.42857143] ; [9.42857143 1.57142857],0
p10,1,0.579639,0.306818,[10  6] ; [8 3],[10.66666667  5.33333333] ; [7.33333333 3.66666667],0
s6,1,0.581206,0.304289,[7 9] ; [6 5],[7.7037037 8.2962963] ; [5.2962963 5.7037037],0
p7,1,0.61193,0.257374,[11  4] ; [9 2],[11.53846154  3.46153846] ; [8.46153846 2.53846154],0
u1,1,0.635558,0.224599,[ 2 15] ; [2 9],[ 2.42857143 14.57142857] ; [1.57142857 9.42857143],0
s7,1,0.647854,0.208617,[8 6] ; [6 3],[8.52173913 5.47826087] ; [5.47826087 3.52173913],0
n5,1,0.675422,0.175325,[12  4] ; [9 2],[12.44444444  3.55555556] ; [8.55555556 2.44444444],0
n1,1,0.678845,0.171429,[3 5] ; [2 2],[3.33333333 4.66666667] ; [1.66666667 2.33333333],0
s8,1,0.679365,0.170842,[ 6 10] ; [5 6],[6.51851852 9.48148148] ; [4.48148148 6.51851852],0
u2,1,0.763824,0.090278,[6 3] ; [3 1],[6.23076923 2.76923077] ; [2.76923077 1.23076923],0
a6,1,0.798977,0.064857,[10  7] ; [7 4],[10.32142857  6.67857143] ; [6.67857143 4.32142857],0
n4,1,0.798977,0.064857,[10  7] ; [7 4],[10.32142857  6.67857143] ; [6.67857143 4.32142857],0
d3,1,0.816334,0.053946,[8 8] ; [5 6],[7.7037037 8.2962963] ; [5.2962963 5.7037037],0
p8,1,0.823218,0.049911,[10  7] ; [6 5],[9.71428571 7.28571429] ; [6.28571429 4.71428571],0
r3,1,0.824016,0.049454,[11  5] ; [8 3],[11.25925926  4.74074074] ; [7.74074074 3.25925926],0
v4,1,0.89466,0.017532,[12  4] ; [8 3],[11.85185185  4.14814815] ; [8.14814815 2.85185185],0
b5,1,0.90261,0.014973,[12  5] ; [8 3],[12.14285714  4.85714286] ; [7.85714286 3.14285714],0
s2,1,0.93021,0.00767,[9 7] ; [6 5],[8.88888889 7.11111111] ; [6.11111111 4.88888889],0
b3,1,1.0,0.0,[3 5] ; [3 5],[3. 5.] ; [3. 5.],0
b2,1,1.0,0.0,[3 5] ; [3 5],[3. 5.] ; [3. 5.],0
