Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.677303,[ 3 19] ; [66 28],[13.0862069  8.9137931] ; [55.9137931 38.0862069],1
v4,1,0.0001,15.145068,[12 10] ; [84 10],[18.20689655  3.79310345] ; [77.79310345 16.20689655],1
d5,1,0.000553,11.926988,[13  9] ; [84 10],[18.39655172  3.60344828] ; [78.60344828 15.39655172],1
s5,1,0.019467,5.459042,[ 2 20] ; [30 57],[ 6.4587156 15.5412844] ; [25.5412844 61.4587156],0
d2,1,0.037242,4.3393,[ 7 15] ; [52 40],[11.38596491 10.61403509] ; [47.61403509 44.38596491],0
d1,1,0.038925,4.264139,[ 8 14] ; [57 37],[12.32758621  9.67241379] ; [52.67241379 41.32758621],0
n4,1,0.042984,4.096025,[11 11] ; [68 26],[14.98275862  7.01724138] ; [64.01724138 29.98275862],0
p6,1,0.048515,3.892048,[ 3 18] ; [33 57],[ 6.81081081 14.18918919] ; [29.18918919 60.81081081],0
b4,1,0.048767,3.883351,[ 8 14] ; [56 38],[12.13793103  9.86206897] ; [51.86206897 42.13793103],0
a4,1,0.064118,3.427536,[ 7 15] ; [50 43],[10.90434783 11.09565217] ; [46.09565217 46.90434783],0
p2,1,0.064896,3.407609,[11 11] ; [65 27],[14.66666667  7.33333333] ; [61.33333333 30.66666667],0
s8,1,0.073947,3.193159,[ 4 18] ; [36 58],[ 7.5862069 14.4137931] ; [32.4137931 61.5862069],0
p10,1,0.078308,3.099664,[13  9] ; [72 21],[16.26086957  5.73913043] ; [68.73913043 24.26086957],0
n6,1,0.086324,2.941625,[14  8] ; [75 18],[17.02608696  4.97391304] ; [71.97391304 21.02608696],0
b1,1,0.090492,2.8656,[14  8] ; [41 53],[10.43103448 11.56896552] ; [44.56896552 49.43103448],0
u2,1,0.095045,2.786786,[5 2] ; [ 7 13],[3.11111111 3.88888889] ; [ 8.88888889 11.11111111],0
s7,1,0.101641,2.679605,[ 5 15] ; [40 49],[ 8.25688073 11.74311927] ; [36.74311927 52.25688073],0
p12,1,0.113199,2.508983,[ 2 20] ; [ 2 90],[ 0.77192982 21.22807018] ; [ 3.22807018 88.77192982],0
r3,1,0.176152,1.829794,[15  6] ; [79 15],[17.16521739  3.83478261] ; [76.83478261 17.16521739],0
a2,1,0.189372,1.722495,[ 2 20] ; [20 74],[ 4.17241379 17.82758621] ; [17.82758621 76.17241379],0
u3,1,0.228421,1.450667,[2 5] ; [11  9],[3.37037037 3.62962963] ; [ 9.62962963 10.37037037],0
s3,1,0.231368,1.432433,[ 8 14] ; [47 46],[10.52173913 11.47826087] ; [44.47826087 48.52173913],0
p9,1,0.233183,1.42134,[15  6] ; [77 16],[16.94736842  4.05263158] ; [75.05263158 17.94736842],0
s2,1,0.248881,1.329576,[ 8 14] ; [47 47],[10.43103448 11.56896552] ; [44.56896552 49.43103448],0
b5,1,0.270519,1.214114,[11 11] ; [59 35],[13.27586207  8.72413793] ; [56.72413793 37.27586207],0
a8,1,0.273545,1.198883,[ 3 19] ; [ 6 85],[ 1.75221239 20.24778761] ; [ 7.24778761 83.75221239],0
a3,1,0.292224,1.109345,[15  7] ; [74 20],[16.87931034  5.12068966] ; [72.12068966 21.87931034],0
s1,1,0.363605,0.825404,[ 2 20] ; [ 4 89],[ 1.14782609 20.85217391] ; [ 4.85217391 88.14782609],0
n2,1,0.391786,0.733391,[5 3] ; [27  8],[5.95348837 2.04651163] ; [26.04651163  8.95348837],0
d4,1,0.397125,0.717013,[16  6] ; [76 18],[17.44827586  4.55172414] ; [74.55172414 19.44827586],0
s6,1,0.426396,0.63262,[11 11] ; [54 37],[12.65486726  9.34513274] ; [52.34513274 38.65486726],0
v3,1,0.439381,0.597899,[ 5 17] ; [28 62],[ 6.48214286 15.51785714] ; [26.51785714 63.48214286],0
d3,1,0.468072,0.526525,[11 11] ; [55 39],[12.51724138  9.48275862] ; [53.48275862 40.51724138],0
n5,1,0.478485,0.502314,[15  7] ; [71 23],[16.31034483  5.68965517] ; [69.68965517 24.31034483],0
n3,1,0.515599,0.422687,[6 2] ; [22 13],[5.20930233 2.79069767] ; [22.79069767 12.20930233],0
v2,1,0.517951,0.417972,[ 8 14] ; [40 51],[ 9.34513274 12.65486726] ; [38.65486726 52.34513274],0
p3,1,0.524846,0.404361,[ 9 12] ; [47 46],[10.31578947 10.68421053] ; [45.68421053 47.31578947],0
p5,1,0.534259,0.386284,[ 3 18] ; [ 9 84],[ 2.21052632 18.78947368] ; [ 9.78947368 83.21052632],0
n1,1,0.584871,0.298425,[4 4] ; [13 20],[3.31707317 4.68292683] ; [13.68292683 19.31707317],0
a7,1,0.600262,0.274601,[12 10] ; [57 37],[13.0862069  8.9137931] ; [55.9137931 38.0862069],0
a6,1,0.605214,0.267204,[16  6] ; [63 31],[14.98275862  7.01724138] ; [64.01724138 29.98275862],0
u1,1,0.628779,0.23372,[ 1 21] ; [ 7 87],[ 1.51724138 20.48275862] ; [ 6.48275862 87.51724138],0
p1,1,0.688209,0.161031,[ 3 19] ; [10 84],[ 2.46551724 19.53448276] ; [10.53448276 83.46551724],0
s4,1,0.699364,0.149135,[ 3 19] ; [16 78],[ 3.60344828 18.39655172] ; [15.39655172 78.60344828],0
a1,1,0.726708,0.122156,[ 2 20] ; [11 83],[ 2.46551724 19.53448276] ; [10.53448276 83.46551724],0
v1,1,0.764448,0.089787,[ 9 13] ; [40 50],[ 9.625 12.375] ; [39.375 50.625],0
b2,1,0.827571,0.047445,[5 9] ; [21 33],[5.35294118 8.64705882] ; [20.64705882 33.35294118],0
