Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000424,12.424908,[31 47] ; [22  6],[39. 39.] ; [14. 14.],1
s6,1,0.000636,11.667857,[46 34] ; [26  2],[53.33333333 26.66666667] ; [18.66666667  9.33333333],1
p5,1,0.000842,11.147143,[ 3 77] ; [ 7 21],[ 7.40740741 72.59259259] ; [ 2.59259259 25.40740741],1
p12,1,0.002709,8.993536,[ 7 73] ; [ 9 19],[11.85185185 68.14814815] ; [ 4.14814815 23.85185185],0
u1,1,0.0188,5.51998,[10 70] ; [ 9 19],[14.07407407 65.92592593] ; [ 4.92592593 23.07407407],0
b5,1,0.019464,5.459341,[46 34] ; [23  5],[51.11111111 28.88888889] ; [17.88888889 10.11111111],0
s7,1,0.020163,5.397748,[27 46] ; [17 10],[32.12 40.88] ; [11.88 15.12],0
p4,1,0.021157,5.313813,[30 50] ; [17 10],[35.14018692 44.85981308] ; [11.85981308 15.14018692],0
v1,1,0.057727,3.601527,[39 38] ; [20  8],[43.26666667 33.73333333] ; [15.73333333 12.26666667],0
s3,1,0.070041,3.282051,[35 43] ; [17  9],[39. 39.] ; [13. 13.],0
r4,1,0.091538,2.847123,[63 17] ; [26  2],[65.92592593 14.07407407] ; [23.07407407  4.92592593],0
b1,1,0.098861,2.723824,[26 54] ; [14 14],[29.62962963 50.37037037] ; [10.37037037 17.62962963],0
s8,1,0.100313,2.700568,[30 50] ; [15 12],[33.64485981 46.35514019] ; [11.35514019 15.64485981],0
n6,1,0.112027,2.525393,[60 20] ; [25  3],[62.96296296 17.03703704] ; [22.03703704  5.96296296],0
p1,1,0.118871,2.432133,[ 6 74] ; [ 5 23],[ 8.14814815 71.85185185] ; [ 2.85185185 25.14814815],0
a2,1,0.12819,2.314286,[17 63] ; [10 18],[20. 60.] ; [ 7. 21.],0
d2,1,0.139915,2.178897,[39 41] ; [17  9],[42.26415094 37.73584906] ; [13.73584906 12.26415094],0
r1,1,0.14047,2.172803,[61 19] ; [25  3],[63.7037037 16.2962963] ; [22.2962963  5.7037037],0
a7,1,0.183887,1.765927,[58 22] ; [23  4],[60.56074766 19.43925234] ; [20.43925234  6.56074766],0
u2,1,0.200602,1.637984,[12 10] ; [5 1],[13.35714286  8.64285714] ; [3.64285714 2.35714286],0
d5,1,0.240519,1.377551,[60 20] ; [24  4],[62.22222222 17.77777778] ; [21.77777778  6.22222222],0
p11,1,0.265339,1.240687,[55 25] ; [16 12],[52.59259259 27.40740741] ; [18.40740741  9.59259259],0
a4,1,0.298698,1.08,[31 49] ; [14 14],[33.33333333 46.66666667] ; [11.66666667 16.33333333],0
d3,1,0.330523,0.946849,[52 28] ; [21  7],[54.07407407 25.92592593] ; [18.92592593  9.07407407],0
p10,1,0.352749,0.863543,[54 25] ; [21  6],[55.89622642 23.10377358] ; [19.10377358  7.89622642],0
a5,1,0.383466,0.75956,[56 24] ; [22  6],[57.77777778 22.22222222] ; [20.22222222  7.77777778],0
d4,1,0.392893,0.729969,[62 18] ; [23  4],[63.55140187 16.44859813] ; [21.44859813  5.55140187],0
a1,1,0.437558,0.602679,[ 5 75] ; [ 3 25],[ 5.92592593 74.07407407] ; [ 2.07407407 25.92592593],0
s1,1,0.444962,0.583452,[ 3 76] ; [ 2 25],[ 3.72641509 75.27358491] ; [ 1.27358491 25.72641509],0
