Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,7e-06,20.083267,[ 9 20] ; [25  3],[17.29824561 11.70175439] ; [16.70175439 11.29824561],1
s6,1,0.000154,14.325735,[11 16] ; [25  3],[17.67272727  9.32727273] ; [18.32727273  9.67272727],1
s8,1,0.001194,10.5,[ 6 22] ; [18 10],[12. 16.] ; [12. 16.],0
d4,1,0.005614,7.670132,[18 11] ; [26  2],[22.38596491  6.61403509] ; [21.61403509  6.38596491],0
s4,1,0.02249,5.207436,[ 7 22] ; [15 13],[11.19298246 17.80701754] ; [10.80701754 17.19298246],0
r1,1,0.038273,4.292868,[14 15] ; [21  7],[17.80701754 11.19298246] ; [17.19298246 10.80701754],0
n6,1,0.046526,3.962438,[22  7] ; [13 13],[18.45454545 10.54545455] ; [16.54545455  9.45454545],0
s7,1,0.047048,3.94367,[ 9 20] ; [16 12],[12.71929825 16.28070175] ; [12.28070175 15.71929825],0
n3,1,0.073638,3.2,[12  4] ; [3 5],[10.  6.] ; [5. 3.],0
d1,1,0.085951,2.948624,[10 19] ; [16 12],[13.22807018 15.77192982] ; [12.77192982 15.22807018],0
s5,1,0.106539,2.604824,[ 8 20] ; [13 13],[10.88888889 17.11111111] ; [10.11111111 15.88888889],0
n1,1,0.143235,2.142857,[ 5 11] ; [5 3],[6.66666667 9.33333333] ; [3.33333333 4.66666667],0
p3,1,0.144356,2.130895,[12 17] ; [17 11],[14.75438596 14.24561404] ; [14.24561404 13.75438596],0
p10,1,0.15415,2.0307,[19 10] ; [23  5],[21.36842105  7.63157895] ; [20.63157895  7.36842105],0
p7,1,0.172258,1.863184,[23  6] ; [24  2],[24.78181818  4.21818182] ; [22.21818182  3.78181818],0
p5,1,0.17263,1.859952,[ 4 25] ; [ 1 27],[ 2.54385965 26.45614035] ; [ 2.45614035 25.54385965],0
p1,1,0.188834,1.726692,[ 2 27] ; [ 5 22],[ 3.625 25.375] ; [ 3.375 23.625],0
v1,1,0.18938,1.722435,[10 19] ; [14 13],[12.42857143 16.57142857] ; [11.57142857 15.42857143],0
p4,1,0.189715,1.719828,[17 12] ; [21  7],[19.33333333  9.66666667] ; [18.66666667  9.33333333],0
p8,1,0.189715,1.719828,[17 12] ; [21  7],[19.33333333  9.66666667] ; [18.66666667  9.33333333],0
p11,1,0.272855,1.202338,[19 10] ; [22  6],[20.85964912  8.14035088] ; [20.14035088  7.85964912],0
v4,1,0.283001,1.152622,[28  1] ; [25  3],[26.96491228  2.03508772] ; [26.03508772  1.96491228],0
r3,1,0.316916,1.001632,[26  3] ; [27  1],[26.96491228  2.03508772] ; [26.03508772  1.96491228],0
a1,1,0.316916,1.001632,[ 3 26] ; [ 1 27],[ 2.03508772 26.96491228] ; [ 1.96491228 26.03508772],0
a6,1,0.336915,0.922134,[15 14] ; [18 10],[16.78947368 12.21052632] ; [16.21052632 11.78947368],0
a5,1,0.345901,0.888437,[14 15] ; [17 11],[15.77192982 13.22807018] ; [15.22807018 12.77192982],0
d2,1,0.354935,0.855735,[ 9 20] ; [12 16],[10.68421053 18.31578947] ; [10.31578947 17.68421053],0
p9,1,0.381486,0.765909,[21  8] ; [23  5],[22.38596491  6.61403509] ; [21.61403509  6.38596491],0
v2,1,0.422382,0.643678,[13 16] ; [15 12],[14.5 14.5] ; [13.5 13.5],0
b5,1,0.434015,0.612056,[19 10] ; [21  7],[20.35087719  8.64912281] ; [19.64912281  8.35087719],0
n2,1,0.477197,0.505263,[12  4] ; [7 1],[12.66666667  3.33333333] ; [6.33333333 1.66666667],0
a3,1,0.494093,0.4676,[15 14] ; [17 11],[16.28070175 12.71929825] ; [15.71929825 12.28070175],0
b4,1,0.502686,0.449261,[14 15] ; [16 12],[15.26315789 13.73684211] ; [14.73684211 13.26315789],0
n5,1,0.584218,0.299465,[10 18] ; [12 16],[11. 17.] ; [11. 17.],0
v3,1,0.586286,0.296182,[ 4 25] ; [ 5 21],[ 4.74545455 24.25454545] ; [ 4.25454545 21.74545455],0
b2,1,0.619304,0.246847,[7 9] ; [ 6 11],[6.3030303 9.6969697] ; [ 6.6969697 10.3030303],0
b3,1,0.619304,0.246847,[7 9] ; [ 6 11],[6.3030303 9.6969697] ; [ 6.6969697 10.3030303],0
a8,1,0.638729,0.220408,[ 2 25] ; [ 3 24],[ 2.5 24.5] ; [ 2.5 24.5],0
u1,1,0.650416,0.205376,[ 3 26] ; [ 4 24],[ 3.56140351 25.43859649] ; [ 3.43859649 24.56140351],0
p12,1,0.669223,0.182512,[ 3 26] ; [ 2 26],[ 2.54385965 26.45614035] ; [ 2.45614035 25.54385965],0
d3,1,0.702433,0.145953,[18  9] ; [20  8],[18.65454545  8.34545455] ; [19.34545455  8.65454545],0
a4,1,0.704703,0.143626,[11 18] ; [12 16],[11.70175439 17.29824561] ; [11.29824561 16.70175439],0
u3,1,0.742174,0.108225,[8 6] ; [7 4],[8.4 5.6] ; [6.6 4.4],0
d5,1,0.762838,0.091057,[20  8] ; [21  7],[20.5  7.5] ; [20.5  7.5],0
r4,1,0.786467,0.073388,[23  6] ; [23  5],[23.40350877  5.59649123] ; [22.59649123  5.40350877],0
p2,1,0.807451,0.059397,[22  7] ; [22  6],[22.38596491  6.61403509] ; [21.61403509  6.38596491],0
b1,1,0.896432,0.016944,[15 14] ; [14 14],[14.75438596 14.24561404] ; [14.24561404 13.75438596],0
u2,1,0.94277,0.005154,[10  4] ; [8 3],[10.08  3.92] ; [7.92 3.08],0
a2,1,0.957312,0.002865,[ 4 25] ; [ 4 24],[ 4.07017544 24.92982456] ; [ 3.92982456 24.07017544],0
r2,1,0.963758,0.002065,[26  3] ; [25  3],[25.94736842  3.05263158] ; [25.05263158  2.94736842],0
a7,1,1.0,0.0,[20  8] ; [20  8],[20.  8.] ; [20.  8.],0
