Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1.7e-05,18.484337,[78  4] ; [8 6],[73.45833333  8.54166667] ; [12.54166667  1.45833333],1
p9,1,0.001678,9.872231,[78  3] ; [11  4],[75.09375  5.90625] ; [13.90625  1.09375],0
a3,1,0.002047,9.507195,[68 14] ; [7 8],[63.40206186 18.59793814] ; [11.59793814  3.40206186],0
p7,1,0.003131,8.72945,[68 11] ; [8 7],[63.87234043 15.12765957] ; [12.12765957  2.87234043],0
a5,1,0.005255,7.789672,[66 16] ; [7 8],[61.71134021 20.28865979] ; [11.28865979  3.71134021],0
a6,1,0.008138,7.002862,[56 25] ; [ 5 10],[51.46875 29.53125] ; [9.53125 5.46875],0
v2,1,0.011356,6.408816,[49 30] ; [ 4 11],[44.54255319 34.45744681] ; [8.45744681 6.54255319],0
s5,1,0.031458,4.627799,[52 23] ; [5 8],[48.57954545 26.42045455] ; [8.42045455 4.57954545],0
p8,1,0.032473,4.573373,[68 13] ; [9 6],[64.96875 16.03125] ; [12.03125  2.96875],0
b2,1,0.081678,3.031194,[31 28] ; [3 9],[28.25352113 30.74647887] ; [5.74647887 6.25352113],0
b3,1,0.081678,3.031194,[31 28] ; [3 9],[28.25352113 30.74647887] ; [5.74647887 6.25352113],0
a8,1,0.118395,2.438425,[ 9 64] ; [ 4 10],[10.90804598 62.09195402] ; [ 2.09195402 11.90804598],0
p6,1,0.122451,2.385688,[54 26] ; [7 8],[51.36842105 28.63157895] ; [9.63157895 5.36842105],0
n6,1,0.127178,2.32662,[77  3] ; [13  2],[75.78947368  4.21052632] ; [14.21052632  0.78947368],0
s3,1,0.155098,2.021385,[48 31] ; [12  3],[50.42553191 28.57446809] ; [9.57446809 5.42553191],0
v3,1,0.16281,1.947932,[47 32] ; [6 9],[44.54255319 34.45744681] ; [8.45744681 6.54255319],0
d5,1,0.194366,1.684211,[66 15] ; [10  5],[64.125 16.875] ; [11.875  3.125],0
p12,1,0.222103,1.490729,[23 58] ; [ 2 13],[21.09375 59.90625] ; [ 3.90625 11.09375],0
p3,1,0.242537,1.365785,[65 16] ; [10  5],[63.28125 17.71875] ; [11.71875  3.28125],0
d3,1,0.267704,1.228475,[53 28] ; [12  3],[54.84375 26.15625] ; [10.15625  4.84375],0
a4,1,0.270023,1.216628,[40 42] ; [ 5 10],[38.04123711 43.95876289] ; [6.95876289 8.04123711],0
s6,1,0.336367,0.924228,[62 13] ; [13  1],[63.20224719 11.79775281] ; [11.79775281  2.20224719],0
d1,1,0.353212,0.861883,[54 28] ; [8 7],[52.41237113 29.58762887] ; [9.58762887 5.41237113],0
s4,1,0.359764,0.838716,[ 9 70] ; [ 3 12],[10.08510638 68.91489362] ; [ 1.91489362 13.08510638],0
v1,1,0.361772,0.831733,[56 22] ; [9 6],[54.51612903 23.48387097] ; [10.48387097  4.51612903],0
