Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,24.210545,[58 40] ; [20 66],[41.54347826 56.45652174] ; [36.45652174 49.54347826],1
d5,1,1e-06,23.807332,[85 13] ; [46 39],[70.15300546 27.84699454] ; [60.84699454 24.15300546],1
a4,1,3e-06,21.888193,[45 53] ; [12 74],[30.35869565 67.64130435] ; [26.64130435 59.35869565],1
a3,1,5e-06,20.885604,[73 25] ; [35 50],[57.83606557 40.16393443] ; [50.16393443 34.83606557],1
d2,1,7.2e-05,15.770202,[49 48] ; [19 67],[36.04371585 60.95628415] ; [31.95628415 54.04371585],1
a6,1,0.000171,14.123617,[68 30] ; [36 50],[55.39130435 42.60869565] ; [48.60869565 37.39130435],1
d4,1,0.000414,12.466835,[82 16] ; [52 34],[71.36956522 26.63043478] ; [62.63043478 23.36956522],1
p3,1,0.008461,6.933245,[51 45] ; [29 57],[42.1978022 53.8021978] ; [37.8021978 48.1978022],0
p10,1,0.014099,6.025753,[78 18] ; [54 29],[70.79329609 25.20670391] ; [61.20670391 21.79329609],0
s7,1,0.022546,5.203115,[42 50] ; [24 59],[34.69714286 57.30285714] ; [31.30285714 51.69714286],0
s6,1,0.02466,5.04763,[60 35] ; [39 45],[52.54189944 42.45810056] ; [46.45810056 37.54189944],0
s8,1,0.026415,4.928677,[39 59] ; [21 65],[31.95652174 66.04347826] ; [28.04347826 57.95652174],0
p9,1,0.028197,4.815958,[85 12] ; [63 21],[79.31491713 17.68508287] ; [68.68508287 15.31491713],0
a1,1,0.05026,3.832747,[ 9 89] ; [ 2 84],[ 5.85869565 92.14130435] ; [ 5.14130435 80.85869565],0
s2,1,0.056782,3.62898,[49 49] ; [31 55],[42.60869565 55.39130435] ; [37.39130435 48.60869565],0
s5,1,0.05796,3.59483,[28 63] ; [15 67],[22.61849711 68.38150289] ; [20.38150289 61.61849711],0
n5,1,0.065807,3.38464,[69 28] ; [50 36],[63.07650273 33.92349727] ; [55.92349727 30.07650273],0
u1,1,0.081376,3.037206,[ 8 90] ; [ 2 84],[ 5.32608696 92.67391304] ; [ 4.67391304 81.32608696],0
p4,1,0.100699,2.694433,[53 43] ; [37 49],[47.47252747 48.52747253] ; [42.52747253 43.47252747],0
n4,1,0.110242,2.550756,[67 31] ; [49 37],[61.7826087 36.2173913] ; [54.2173913 31.7826087],0
s4,1,0.120035,2.41686,[15 83] ; [21 65],[19.17391304 78.82608696] ; [16.82608696 69.17391304],0
b3,1,0.162253,1.9531,[21 35] ; [13 39],[17.62962963 38.37037037] ; [16.37037037 35.62962963],0
b2,1,0.162253,1.9531,[21 35] ; [13 39],[17.62962963 38.37037037] ; [16.37037037 35.62962963],0
n1,1,0.164117,1.935874,[16 19] ; [ 7 18],[13.41666667 21.58333333] ; [ 9.58333333 15.41666667],0
p1,1,0.201962,1.628132,[11 87] ; [ 5 80],[ 8.56830601 89.43169399] ; [ 7.43169399 77.56830601],0
v2,1,0.219298,1.508961,[46 49] ; [33 51],[41.9273743 53.0726257] ; [37.0726257 46.9273743],0
n2,1,0.263523,1.250154,[31  6] ; [18  7],[29.24193548  7.75806452] ; [19.75806452  5.24193548],0
u3,1,0.295755,1.093238,[12 12] ; [19 32],[ 9.92 14.08] ; [21.08 29.92],0
p11,1,0.304196,1.055707,[76 22] ; [61 25],[72.9673913 25.0326087] ; [64.0326087 21.9673913],0
s3,1,0.319923,0.989262,[50 47] ; [38 48],[46.64480874 50.35519126] ; [41.35519126 44.64480874],0
v1,1,0.341937,0.903157,[40 52] ; [31 54],[36.9039548 55.0960452] ; [34.0960452 50.9039548],0
r2,1,0.348415,0.879222,[79 15] ; [66 18],[76.57303371 17.42696629] ; [68.42696629 15.57303371],0
b1,1,0.435659,0.607691,[42 56] ; [32 54],[39.41304348 58.58695652] ; [34.58695652 51.41304348],0
p6,1,0.523071,0.407834,[33 60] ; [26 58],[31. 62.] ; [28. 56.],0
d3,1,0.533811,0.387132,[57 41] ; [45 39],[54.92307692 43.07692308] ; [47.07692308 36.92307692],0
p2,1,0.583635,0.300395,[70 26] ; [65 20],[71.60220994 24.39779006] ; [63.39779006 21.60220994],0
p12,1,0.608836,0.261873,[ 4 92] ; [ 5 81],[ 4.74725275 91.25274725] ; [ 4.25274725 81.74725275],0
b4,1,0.632502,0.228683,[57 41] ; [53 33],[58.58695652 39.41304348] ; [51.41304348 34.58695652],0
r4,1,0.640221,0.218454,[67 31] ; [56 30],[65.51086957 32.48913043] ; [57.48913043 28.51086957],0
b5,1,0.669578,0.182096,[62 36] ; [57 29],[63.38043478 34.61956522] ; [55.61956522 30.38043478],0
p5,1,0.671209,0.180191,[11 86] ; [ 8 77],[10.12637363 86.87362637] ; [ 8.87362637 76.12637363],0
