Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.003761,8.395549,[ 7 18] ; [19  9],[12.26415094 12.73584906] ; [13.73584906 14.26415094],0
u2,1,0.005036,7.866574,[3 8] ; [13  3],[6.51851852 4.48148148] ; [9.48148148 6.51851852],0
r4,1,0.016101,5.791835,[ 2 23] ; [10 18],[ 5.66037736 19.33962264] ; [ 6.33962264 21.66037736],0
p2,1,0.043072,4.092568,[11 14] ; [20  8],[14.62264151 10.37735849] ; [16.37735849 11.62264151],0
p9,1,0.054832,3.687178,[10 13] ; [19  8],[13.34  9.66] ; [15.66 11.34],0
a4,1,0.066634,3.364044,[ 9 16] ; [ 4 24],[ 6.13207547 18.86792453] ; [ 6.86792453 21.13207547],0
p7,1,0.089187,2.888981,[ 6 19] ; [13 15],[ 8.96226415 16.03773585] ; [10.03773585 17.96226415],0
s6,1,0.102122,2.672083,[ 7 18] ; [14 14],[ 9.90566038 15.09433962] ; [11.09433962 16.90566038],0
a6,1,0.102122,2.672083,[ 7 18] ; [14 14],[ 9.90566038 15.09433962] ; [11.09433962 16.90566038],0
r3,1,0.115433,2.478214,[13 11] ; [21  7],[15.69230769  8.30769231] ; [18.30769231  9.69230769],0
p8,1,0.122654,2.383101,[ 4 20] ; [10 18],[ 6.46153846 17.53846154] ; [ 7.53846154 20.46153846],0
n4,1,0.12375,2.369208,[16  9] ; [12 16],[13.20754717 11.79245283] ; [14.79245283 13.20754717],0
a5,1,0.138591,2.193539,[14 11] ; [10 18],[11.32075472 13.67924528] ; [12.67924528 15.32075472],0
b1,1,0.143037,2.144979,[12 13] ; [19  9],[14.62264151 10.37735849] ; [16.37735849 11.62264151],0
n1,1,0.168509,1.896162,[4 7] ; [ 2 13],[2.53846154 8.46153846] ; [ 3.46153846 11.53846154],0
p10,1,0.219787,1.505758,[10 13] ; [17 11],[12.17647059 10.82352941] ; [14.82352941 13.17647059],0
p11,1,0.238708,1.388208,[13 12] ; [19  9],[15.09433962  9.90566038] ; [16.90566038 11.09433962],0
s1,1,0.246207,1.344701,[ 3 22] ; [ 1 27],[ 1.88679245 23.11320755] ; [ 2.11320755 25.88679245],0
a3,1,0.265838,1.238095,[14 10] ; [12 16],[12. 12.] ; [14. 14.],0
v2,1,0.306758,1.044581,[ 7 17] ; [12 16],[ 8.76923077 15.23076923] ; [10.23076923 17.76923077],0
a8,1,0.325689,0.965963,[ 4 19] ; [ 2 23],[ 2.875 20.125] ; [ 3.125 21.875],0
b5,1,0.364862,0.821089,[13 12] ; [18 10],[14.62264151 10.37735849] ; [16.37735849 11.62264151],0
