Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.828458,[23 32] ; [48  7],[35.5 19.5] ; [35.5 19.5],1
r2,1,0.00656,7.389716,[38 16] ; [50  5],[43.59633028 10.40366972] ; [44.40366972 10.59633028],0
u3,1,0.009339,6.756787,[11 29] ; [19 14],[16.43835616 23.56164384] ; [13.56164384 19.43835616],0
u2,1,0.010278,6.585984,[13 26] ; [21 12],[18.41666667 20.58333333] ; [15.58333333 17.41666667],0
p11,1,0.016122,5.789474,[30 25] ; [42 13],[36. 19.] ; [36. 19.],0
r3,1,0.017142,5.681818,[39 16] ; [49  6],[44. 11.] ; [44. 11.],0
s3,1,0.020028,5.409466,[20 34] ; [31 21],[25.98113208 28.01886792] ; [25.01886792 26.98113208],0
v4,1,0.022937,5.17327,[40 14] ; [49  5],[44.5  9.5] ; [44.5  9.5],0
v1,1,0.027547,4.856187,[14 40] ; [25 29],[19.5 34.5] ; [19.5 34.5],0
s6,1,0.034958,4.447247,[20 35] ; [30 23],[25.46296296 29.53703704] ; [24.53703704 28.46296296],0
v2,1,0.048106,3.906287,[12 41] ; [20 29],[16.62745098 36.37254902] ; [15.37254902 33.62745098],0
n6,1,0.061129,3.506494,[34 21] ; [43 12],[38.5 16.5] ; [38.5 16.5],0
p10,1,0.119523,2.423562,[27 27] ; [35 19],[31. 23.] ; [31. 23.],0
a7,1,0.125551,2.346667,[21 34] ; [29 26],[25. 30.] ; [25. 30.],0
a8,1,0.183356,1.770213,[ 3 49] ; [ 7 45],[ 5. 47.] ; [ 5. 47.],0
a3,1,0.220671,1.5,[15 39] ; [21 33],[18. 36.] ; [18. 36.],0
s5,1,0.24224,1.367509,[ 7 47] ; [11 40],[ 9.25714286 44.74285714] ; [ 8.74285714 42.25714286],0
p5,1,0.283356,1.150923,[ 3 52] ; [ 6 48],[ 4.5412844 50.4587156] ; [ 4.4587156 49.5412844],0
s4,1,0.32252,0.978698,[11 44] ; [ 7 47],[ 9.08256881 45.91743119] ; [ 8.91743119 45.08256881],0
a4,1,0.324094,0.972355,[ 4 51] ; [ 7 47],[ 5.55045872 49.44954128] ; [ 5.44954128 48.55045872],0
a6,1,0.328569,0.95453,[19 36] ; [24 31],[21.5 33.5] ; [21.5 33.5],0
s7,1,0.366533,0.815385,[11 42] ; [15 38],[13. 40.] ; [13. 40.],0
p7,1,0.371594,0.798326,[27 26] ; [31 21],[29.27619048 23.72380952] ; [28.72380952 23.27619048],0
s2,1,0.377814,0.777801,[16 39] ; [20 34],[18.16513761 36.83486239] ; [17.83486239 36.16513761],0
s1,1,0.429869,0.623177,[ 3 52] ; [ 5 48],[ 4.07407407 50.92592593] ; [ 3.92592593 49.07407407],0
b1,1,0.432446,0.616246,[23 32] ; [19 36],[21. 34.] ; [21. 34.],0
p6,1,0.469126,0.524033,[12 42] ; [15 38],[13.62616822 40.37383178] ; [13.37383178 39.62616822],0
n1,1,0.477897,0.503658,[ 6 14] ; [ 7 10],[ 7.02702703 12.97297297] ; [ 5.97297297 11.02702703],0
d4,1,0.506542,0.441203,[23 32] ; [26 28],[24.72477064 30.27522936] ; [24.27522936 29.72477064],0
d1,1,0.558287,0.342679,[ 2 53] ; [ 1 54],[ 1.5 53.5] ; [ 1.5 53.5],0
b5,1,0.563111,0.334347,[33 22] ; [30 25],[31.5 23.5] ; [31.5 23.5],0
p8,1,0.597514,0.278761,[21 34] ; [18 36],[19.67889908 35.32110092] ; [19.32110092 34.67889908],0
p12,1,0.632039,0.229307,[ 2 53] ; [ 3 51],[ 2.52293578 52.47706422] ; [ 2.47706422 51.52293578],0
a1,1,0.647141,0.209524,[ 3 52] ; [ 2 53],[ 2.5 52.5] ; [ 2.5 52.5],0
s8,1,0.653541,0.201465,[12 43] ; [14 41],[13. 42.] ; [13. 42.],0
p3,1,0.661557,0.191638,[13 42] ; [15 40],[14. 41.] ; [14. 41.],0
d3,1,0.684445,0.165165,[17 38] ; [19 36],[18. 37.] ; [18. 37.],0
n3,1,0.699454,0.149041,[13  7] ; [10  7],[12.43243243  7.56756757] ; [10.56756757  6.43243243],0
n2,1,0.717448,0.130951,[13  7] ; [12  5],[13.51351351  6.48648649] ; [11.48648649  5.51351351],0
b2,1,0.722261,0.126336,[ 8 27] ; [ 8 22],[ 8.61538462 26.38461538] ; [ 7.38461538 22.61538462],0
b3,1,0.722261,0.126336,[ 8 27] ; [ 8 22],[ 8.61538462 26.38461538] ; [ 7.38461538 22.61538462],0
v3,1,0.737471,0.112362,[11 44] ; [12 41],[11.71296296 43.28703704] ; [11.28703704 41.71296296],0
p1,1,0.750621,0.10101,[ 6 49] ; [ 5 50],[ 5.5 49.5] ; [ 5.5 49.5],0
n4,1,0.759571,0.093663,[31 24] ; [32 22],[31.78899083 23.21100917] ; [31.21100917 22.78899083],0
p4,1,0.785459,0.074099,[19 36] ; [17 36],[18.33333333 36.66666667] ; [17.66666667 35.33333333],0
d2,1,0.800862,0.063621,[ 9 46] ; [10 45],[ 9.5 45.5] ; [ 9.5 45.5],0
n5,1,0.801839,0.062985,[34 21] ; [34 19],[34.62962963 20.37037037] ; [33.37037037 19.62962963],0
p9,1,0.839323,0.041112,[35 19] ; [36 18],[35.5 18.5] ; [35.5 18.5],0
p2,1,0.842018,0.039726,[35 20] ; [36 19],[35.5 19.5] ; [35.5 19.5],0
b4,1,1.0,0.0,[29 26] ; [29 26],[29. 26.] ; [29. 26.],0
