Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000358,12.740741,[ 8 35] ; [24 19],[16. 27.] ; [16. 27.],1
s2,1,0.001202,10.487805,[13 30] ; [28 15],[20.5 22.5] ; [20.5 22.5],0
s7,1,0.00279,8.93981,[10 28] ; [25 17],[16.625 21.375] ; [18.375 23.625],0
s6,1,0.003001,8.806852,[20 22] ; [31  8],[26.44444444 15.55555556] ; [24.55555556 14.44444444],0
p3,1,0.008752,6.872727,[14 28] ; [26 16],[20. 22.] ; [20. 22.],0
r2,1,0.019312,5.473027,[29 13] ; [36  4],[33.29268293  8.70731707] ; [31.70731707  8.29268293],0
s5,1,0.042714,4.106667,[ 8 34] ; [14 21],[12. 30.] ; [10. 25.],0
a8,1,0.065449,3.393611,[ 1 37] ; [ 6 36],[ 3.325 34.675] ; [ 3.675 38.325],0
r4,1,0.080351,3.057778,[21 22] ; [29 14],[25. 18.] ; [25. 18.],0
p2,1,0.121125,2.402709,[28 14] ; [35  8],[31.12941176 10.87058824] ; [31.87058824 11.12941176],0
a5,1,0.127366,2.324324,[21 22] ; [28 15],[24.5 18.5] ; [24.5 18.5],0
p12,1,0.175128,1.83849,[ 1 41] ; [ 4 39],[ 2.47058824 39.52941176] ; [ 2.52941176 40.47058824],0
p5,1,0.178445,1.810526,[ 7 36] ; [ 3 40],[ 5. 38.] ; [ 5. 38.],0
v1,1,0.197618,1.659891,[24 18] ; [29 12],[26.81927711 15.18072289] ; [26.18072289 14.81927711],0
p7,1,0.214995,1.537468,[23 20] ; [28 14],[25.8 17.2] ; [25.2 16.8],0
p6,1,0.223029,1.484775,[15 26] ; [20 20],[17.71604938 23.28395062] ; [17.28395062 22.71604938],0
a3,1,0.254092,1.300665,[26 17] ; [31 12],[28.5 14.5] ; [28.5 14.5],0
s1,1,0.294376,1.099499,[ 1 42] ; [ 3 39],[ 2.02352941 40.97647059] ; [ 1.97647059 40.02352941],0
p10,1,0.333998,0.933333,[28 14] ; [32 10],[30. 12.] ; [30. 12.],0
v4,1,0.342008,0.90289,[38  5] ; [34  8],[36.42352941  6.57647059] ; [35.57647059  6.42352941],0
d5,1,0.393935,0.726761,[34  9] ; [37  6],[35.5  7.5] ; [35.5  7.5],0
s4,1,0.393935,0.726761,[ 6 37] ; [ 9 34],[ 7.5 35.5] ; [ 7.5 35.5],0
p1,1,0.397239,0.716667,[ 2 41] ; [ 4 39],[ 3. 40.] ; [ 3. 40.],0
u1,1,0.397239,0.716667,[ 4 39] ; [ 2 41],[ 3. 40.] ; [ 3. 40.],0
p9,1,0.401295,0.704441,[31 11] ; [35  8],[32.61176471  9.38823529] ; [33.38823529  9.61176471],0
p8,1,0.446663,0.579105,[17 25] ; [20 21],[18.72289157 23.27710843] ; [18.27710843 22.72289157],0
p4,1,0.45149,0.566909,[21 21] ; [25 18],[22.72941176 19.27058824] ; [23.27058824 19.72941176],0
v3,1,0.45149,0.566909,[18 25] ; [21 21],[19.72941176 23.27058824] ; [19.27058824 22.72941176],0
n3,1,0.611732,0.25766,[14  5] ; [9 2],[14.56666667  4.43333333] ; [8.43333333 2.56666667],0
n5,1,0.638649,0.220513,[29 14] ; [31 12],[30. 13.] ; [30. 13.],0
a4,1,0.650904,0.204762,[16 27] ; [14 29],[15. 28.] ; [15. 28.],0
b5,1,0.655469,0.199074,[26 17] ; [28 15],[27. 16.] ; [27. 16.],0
b4,1,0.655469,0.199074,[26 17] ; [28 15],[27. 16.] ; [27. 16.],0
u2,1,0.66171,0.191453,[8 8] ; [5 7],[7.42857143 8.57142857] ; [5.57142857 6.42857143],0
d2,1,0.661993,0.191111,[17 26] ; [19 24],[18. 25.] ; [18. 25.],0
d1,1,0.664087,0.188596,[23 20] ; [25 18],[24. 19.] ; [24. 19.],0
b1,1,0.665462,0.186957,[21 22] ; [19 24],[20. 23.] ; [20. 23.],0
a1,1,0.693319,0.155515,[ 4 39] ; [ 3 40],[ 3.5 39.5] ; [ 3.5 39.5],0
n1,1,0.701063,0.147368,[ 5 14] ; [3 6],[ 5.42857143 13.57142857] ; [2.57142857 6.42857143],0
a2,1,0.746797,0.104242,[ 5 38] ; [ 6 37],[ 5.5 37.5] ; [ 5.5 37.5],0
b2,1,0.775674,0.081203,[10 17] ; [ 9 18],[ 9.5 17.5] ; [ 9.5 17.5],0
b3,1,0.775674,0.081203,[10 17] ; [ 9 18],[ 9.5 17.5] ; [ 9.5 17.5],0
d4,1,0.786568,0.073316,[35  8] ; [34  9],[34.5  8.5] ; [34.5  8.5],0
n4,1,0.807524,0.059351,[31 12] ; [32 11],[31.5 11.5] ; [31.5 11.5],0
a7,1,0.824512,0.049171,[26 17] ; [27 16],[26.5 16.5] ; [26.5 16.5],0
a6,1,0.828516,0.046918,[24 19] ; [23 20],[23.5 19.5] ; [23.5 19.5],0
u3,1,0.875948,0.02437,[8 9] ; [6 6],[8.20689655 8.79310345] ; [5.79310345 6.20689655],0
n2,1,0.954452,0.003262,[14  5] ; [8 3],[13.93333333  5.06666667] ; [8.06666667 2.93333333],0
d3,1,1.0,0.0,[29 14] ; [29 14],[29. 14.] ; [29. 14.],0
p11,1,1.0,0.0,[33 10] ; [33 10],[33. 10.] ; [33. 10.],0
n6,1,1.0,0.0,[34  9] ; [34  9],[34.  9.] ; [34.  9.],0
