Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,37.34324,[ 2 19] ; [90 26],[14.10218978  6.89781022] ; [77.89781022 38.10218978],1
v4,1,0.0,25.986039,[ 7 14] ; [98 18],[16.09489051  4.90510949] ; [88.90510949 27.09489051],1
r1,1,4e-05,16.861113,[ 5 16] ; [82 34],[13.33576642  7.66423358] ; [73.66423358 42.33576642],1
r3,1,0.001484,10.098887,[10 11] ; [93 23],[15.78832117  5.21167883] ; [87.21167883 28.78832117],0
s8,1,0.01196,6.316855,[ 1 20] ; [36 79],[ 5.71323529 15.28676471] ; [31.28676471 83.71323529],0
v3,1,0.01382,6.061042,[ 2 19] ; [40 68],[ 6.8372093 14.1627907] ; [35.1627907 72.8372093],0
n6,1,0.032695,4.561702,[ 9 12] ; [78 38],[13.33576642  7.66423358] ; [73.66423358 42.33576642],0
s2,1,0.033633,4.513267,[ 3 18] ; [44 71],[ 7.25735294 13.74264706] ; [39.74264706 75.25735294],0
p9,1,0.046422,3.966226,[ 6 13] ; [63 49],[10.00763359  8.99236641] ; [58.99236641 53.00763359],0
p10,1,0.052449,3.761404,[ 6 14] ; [61 53],[10. 10.] ; [57. 57.],0
s5,1,0.056584,3.634775,[ 1 20] ; [25 84],[ 4.2 16.8] ; [21.8 87.2],0
b4,1,0.061855,3.486925,[16  5] ; [63 53],[12.10948905  8.89051095] ; [66.89051095 49.10948905],0
a8,1,0.063032,3.45575,[ 4 16] ; [  8 105],[ 1.80451128 18.19548872] ; [ 10.19548872 102.80451128],0
u3,1,0.064892,3.40771,[2 8] ; [22 20],[4.61538462 5.38461538] ; [19.38461538 22.61538462],0
s7,1,0.068147,3.32709,[ 3 16] ; [41 69],[ 6.48062016 12.51937984] ; [37.51937984 72.48062016],0
d3,1,0.070528,3.27069,[ 7 14] ; [63 52],[10.80882353 10.19117647] ; [59.19117647 55.80882353],0
a4,1,0.073665,3.19941,[ 5 16] ; [51 63],[ 8.71111111 12.28888889] ; [47.28888889 66.71111111],0
p7,1,0.080232,3.060199,[ 2 19] ; [31 82],[ 5.17164179 15.82835821] ; [27.82835821 85.17164179],0
p3,1,0.082123,3.022368,[ 1 19] ; [25 91],[ 3.82352941 16.17647059] ; [22.17647059 93.82352941],0
d1,1,0.095056,2.786588,[ 6 15] ; [56 60],[ 9.50364964 11.49635036] ; [52.49635036 63.50364964],0
s3,1,0.10715,2.595759,[ 5 15] ; [50 63],[ 8.27067669 11.72932331] ; [46.72932331 66.27067669],0
s6,1,0.111164,2.537594,[ 6 15] ; [54 60],[ 9.33333333 11.66666667] ; [50.66666667 63.33333333],0
v1,1,0.125488,2.347451,[ 4 17] ; [42 74],[ 7.05109489 13.94890511] ; [38.94890511 77.05109489],0
n4,1,0.18903,1.725159,[11 10] ; [78 38],[13.64233577  7.35766423] ; [75.35766423 40.64233577],0
p1,1,0.196471,1.668415,[ 4 17] ; [ 11 105],[ 2.29927007 18.70072993] ; [ 12.70072993 103.29927007],0
d5,1,0.22896,1.447313,[11 10] ; [76 39],[13.43382353  7.56617647] ; [73.56617647 41.43382353],0
d2,1,0.250831,1.318669,[ 7 14] ; [53 60],[ 9.40298507 11.59701493] ; [50.59701493 62.40298507],0
s4,1,0.254401,1.298972,[ 2 19] ; [23 92],[ 3.86029412 17.13970588] ; [21.13970588 93.86029412],0
p11,1,0.281503,1.159822,[ 8 13] ; [59 57],[10.27007299 10.72992701] ; [56.72992701 59.27007299],0
n3,1,0.288368,1.127223,[3 5] ; [26 19],[4.37735849 3.62264151] ; [24.62264151 20.37735849],0
p6,1,0.298874,1.079212,[ 1 18] ; [ 16 100],[ 2.39259259 16.60740741] ; [ 14.60740741 101.39259259],0
b1,1,0.315061,1.009339,[13  8] ; [58 58],[10.88321168 10.11678832] ; [60.11678832 55.88321168],0
