Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,5.4e-05,16.300325,[25  6] ; [19 35],[16.04705882 14.95294118] ; [27.95294118 26.04705882],1
s2,1,0.013187,6.143824,[19 10] ; [20 34],[13.62650602 15.37349398] ; [25.37349398 28.62650602],0
p12,1,0.013374,6.119007,[ 5 26] ; [ 1 53],[ 2.18823529 28.81176471] ; [ 3.81176471 50.18823529],0
v1,1,0.088541,2.900703,[20 11] ; [24 29],[16.23809524 14.76190476] ; [27.76190476 25.23809524],0
s3,1,0.090627,2.863208,[18 11] ; [23 31],[14.3253012 14.6746988] ; [26.6746988 27.3253012],0
v4,1,0.105306,2.623294,[27  4] ; [53  2],[28.8372093  2.1627907] ; [51.1627907  3.8372093],0
a3,1,0.117844,2.445739,[22  9] ; [29 25],[18.6 12.4] ; [32.4 21.6],0
b5,1,0.121889,2.392885,[15 16] ; [36 19],[18.38372093 12.61627907] ; [32.61627907 22.38372093],0
u2,1,0.146676,2.106481,[7 2] ; [13 13],[5.14285714 3.85714286] ; [14.85714286 11.14285714],0
a5,1,0.179135,1.804787,[26  5] ; [39 16],[23.43023256  7.56976744] ; [41.56976744 13.43023256],0
n4,1,0.184358,1.762142,[25  6] ; [37 18],[22.34883721  8.65116279] ; [39.65116279 15.34883721],0
p10,1,0.191163,1.708629,[26  4] ; [41 14],[23.64705882  6.35294118] ; [43.35294118 11.64705882],0
d1,1,0.222462,1.488419,[20 11] ; [28 27],[17.30232558 13.69767442] ; [30.69767442 24.30232558],0
b4,1,0.231676,1.430543,[21 10] ; [30 25],[18.38372093 12.61627907] ; [32.61627907 22.38372093],0
n6,1,0.234672,1.412317,[24  7] ; [48  7],[25.95348837  5.04651163] ; [46.04651163  8.95348837],0
n3,1,0.278503,1.174381,[5 2] ; [6 7],[3.85 3.15] ; [7.15 5.85],0
b2,1,0.311056,1.026186,[ 8 10] ; [ 9 21],[ 6.375 11.625] ; [10.625 19.375],0
b3,1,0.311056,1.026186,[ 8 10] ; [ 9 21],[ 6.375 11.625] ; [10.625 19.375],0
s4,1,0.385482,0.753145,[ 2 28] ; [ 7 48],[ 3.17647059 26.82352941] ; [ 5.82352941 49.17647059],0
u1,1,0.39024,0.738194,[ 3 28] ; [ 9 46],[ 4.3255814 26.6744186] ; [ 7.6744186 47.3255814],0
p1,1,0.410042,0.67868,[ 6 25] ; [ 7 48],[ 4.68604651 26.31395349] ; [ 8.31395349 46.68604651],0
r1,1,0.411849,0.673456,[25  6] ; [40 15],[23.43023256  7.56976744] ; [41.56976744 13.43023256],0
