Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3.1e-05,17.348981,[35 46] ; [53 16],[47.52 33.48] ; [40.48 28.52],1
p11,1,0.00323,8.672783,[55 27] ; [62  9],[62.70588235 19.29411765] ; [54.29411765 16.70588235],0
p10,1,0.004286,8.158658,[55 27] ; [60  9],[62.45033113 19.54966887] ; [52.54966887 16.45033113],0
p6,1,0.007565,7.133669,[22 60] ; [33 36],[29.86754967 52.13245033] ; [25.13245033 43.86754967],0
p5,1,0.008377,6.950962,[ 4 78] ; [13 58],[ 9.11111111 72.88888889] ; [ 7.88888889 63.11111111],0
p12,1,0.015675,5.839024,[ 1 81] ; [ 7 63],[ 4.31578947 77.68421053] ; [ 3.68421053 66.31578947],0
p4,1,0.020496,5.369149,[39 43] ; [47 24],[46.09150327 35.90849673] ; [39.90849673 31.09150327],0
a3,1,0.027066,4.886566,[51 30] ; [32 39],[44.23026316 36.76973684] ; [38.76973684 32.23026316],0
n6,1,0.044482,4.038153,[61 21] ; [62  9],[65.92156863 16.07843137] ; [57.07843137 13.92156863],0
d2,1,0.04617,3.975382,[32 50] ; [17 54],[26.26143791 55.73856209] ; [22.73856209 48.26143791],0
p3,1,0.046849,3.950805,[33 49] ; [40 31],[39.12418301 42.87581699] ; [33.87581699 37.12418301],0
p1,1,0.051737,3.784267,[ 2 80] ; [ 7 64],[ 4.82352941 77.17647059] ; [ 4.17647059 66.82352941],0
v4,1,0.052384,3.763459,[71 11] ; [67  3],[74.44736842  7.55263158] ; [63.55263158  6.44736842],0
b1,1,0.078894,3.087547,[38 44] ; [23 48],[32.69281046 49.30718954] ; [28.30718954 42.69281046],0
u1,1,0.081092,3.042883,[ 6 76] ; [ 1 70],[ 3.75163399 78.24836601] ; [ 3.24836601 67.75163399],0
a4,1,0.082379,3.017339,[29 53] ; [16 55],[24.11764706 57.88235294] ; [20.88235294 50.11764706],0
s8,1,0.136178,2.220629,[23 59] ; [28 43],[27.33333333 54.66666667] ; [23.66666667 47.33333333],0
v3,1,0.157677,1.996362,[19 62] ; [24 47],[22.91447368 58.08552632] ; [20.08552632 50.91447368],0
a2,1,0.160382,1.970621,[10 72] ; [ 4 67],[ 7.50326797 74.49673203] ; [ 6.49673203 64.50326797],0
s7,1,0.176509,1.826773,[27 51] ; [31 37],[30.98630137 47.01369863] ; [27.01369863 40.98630137],0
s6,1,0.185391,1.75387,[42 39] ; [42 25],[45.97297297 35.02702703] ; [38.02702703 28.97297297],0
r4,1,0.190819,1.711281,[47 35] ; [48 23],[50.91503268 31.08496732] ; [44.08496732 26.91503268],0
a6,1,0.201568,1.630979,[50 32] ; [36 35],[46.09150327 35.90849673] ; [39.90849673 31.09150327],0
a1,1,0.208988,1.57842,[ 3 79] ; [ 6 65],[ 4.82352941 77.17647059] ; [ 4.17647059 66.82352941],0
r3,1,0.25999,1.268809,[68 13] ; [64  7],[70.34210526 10.65789474] ; [61.65789474  9.34210526],0
a7,1,0.300747,1.070878,[47 34] ; [47 24],[50.09210526 30.90789474] ; [43.90789474 27.09210526],0
p9,1,0.340741,0.90764,[67 15] ; [62  9],[69.1372549 12.8627451] ; [59.8627451 11.1372549],0
s4,1,0.391383,0.734642,[15 67] ; [17 54],[17.1503268 64.8496732] ; [14.8496732 56.1503268],0
d4,1,0.42682,0.631462,[54 28] ; [51 20],[56.2745098 25.7254902] ; [48.7254902 22.2745098],0
n1,1,0.435543,0.607996,[11 17] ; [ 6 15],[ 9.71428571 18.28571429] ; [ 7.28571429 13.71428571],0
n5,1,0.461111,0.543197,[54 28] ; [50 20],[56.10526316 25.89473684] ; [47.89473684 22.10526316],0
n2,1,0.474769,0.510856,[22  7] ; [14  7],[20.88  8.12] ; [15.12  5.88],0
s1,1,0.484089,0.489638,[ 1 80] ; [ 2 69],[ 1.59868421 79.40131579] ; [ 1.40131579 69.59868421],0
u2,1,0.554292,0.349683,[14 16] ; [21 18],[15.2173913 14.7826087] ; [19.7826087 19.2173913],0
v1,1,0.565401,0.330438,[32 46] ; [32 38],[33.72972973 44.27027027] ; [30.27027027 39.72972973],0
n4,1,0.566546,0.328495,[53 29] ; [49 22],[54.66666667 27.33333333] ; [47.33333333 23.66666667],0
v2,1,0.617294,0.249689,[31 50] ; [30 41],[32.50657895 48.49342105] ; [28.49342105 42.50657895],0
s3,1,0.634515,0.225988,[39 43] ; [36 34],[40.46052632 41.53947368] ; [34.53947368 35.46052632],0
a5,1,0.680991,0.169012,[40 42] ; [37 34],[41.26797386 40.73202614] ; [35.73202614 35.26797386],0
d5,1,0.712901,0.135396,[57 24] ; [48 23],[55.95394737 25.04605263] ; [49.04605263 21.95394737],0
b4,1,0.721356,0.127198,[45 37] ; [41 30],[46.09150327 35.90849673] ; [39.90849673 31.09150327],0
b5,1,0.733159,0.116231,[53 29] ; [44 27],[51.9869281 30.0130719] ; [45.0130719 25.9869281],0
d1,1,0.739792,0.11031,[31 51] ; [25 46],[30.0130719 51.9869281] ; [25.9869281 45.0130719],0
n3,1,0.763803,0.090295,[21  8] ; [16  5],[21.46  7.54] ; [15.54  5.46],0
s5,1,0.812003,0.056569,[20 57] ; [16 50],[19.38461538 57.61538462] ; [16.61538462 49.38461538],0
a8,1,0.813221,0.055825,[ 9 68] ; [ 7 60],[ 8.55555556 68.44444444] ; [ 7.44444444 59.55555556],0
b3,1,0.845526,0.037959,[14 33] ; [13 28],[14.42045455 32.57954545] ; [12.57954545 28.42045455],0
b2,1,0.845526,0.037959,[14 33] ; [13 28],[14.42045455 32.57954545] ; [12.57954545 28.42045455],0
s2,1,0.856176,0.03285,[37 45] ; [31 40],[36.44444444 45.55555556] ; [31.55555556 39.44444444],0
d3,1,0.870515,0.02657,[45 35] ; [39 32],[44.50331126 35.49668874] ; [39.49668874 31.50331126],0
r2,1,0.892792,0.018164,[64 16] ; [55 13],[64.32432432 15.67567568] ; [54.67567568 13.32432432],0
u3,1,0.988661,0.000202,[13 18] ; [16 22],[13.02898551 17.97101449] ; [15.97101449 22.02898551],0
