Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,75.601489,[107   4] ; [18 34],[85.12269939 25.87730061] ; [39.87730061 12.12269939],1
v4,1,0.0,65.572818,[105   6] ; [19 33],[84.44171779 26.55828221] ; [39.55828221 12.44171779],1
r1,1,0.0,43.965105,[91 20] ; [15 37],[72.18404908 38.81595092] ; [33.81595092 18.18404908],1
r2,1,0.0,39.352608,[106   4] ; [28 21],[92.70440252 17.29559748] ; [41.29559748  7.70440252],1
s6,1,4e-06,21.131536,[60 49] ; [ 9 44],[46.42592593 62.57407407] ; [22.57407407 30.42592593],1
p11,1,7e-06,20.257713,[71 40] ; [14 39],[57.5304878 53.4695122] ; [27.4695122 25.5304878],1
n6,1,1.1e-05,19.360805,[85 26] ; [21 30],[72.62962963 38.37037037] ; [33.37037037 17.62962963],1
p9,1,6.4e-05,15.978922,[68 40] ; [14 35],[56.40764331 51.59235669] ; [25.59235669 23.40764331],1
s8,1,0.000118,14.830613,[40 71] ; [ 4 49],[29.7804878 81.2195122] ; [14.2195122 38.7804878],1
s2,1,0.000409,12.489926,[47 62] ; [ 8 45],[37.00617284 71.99382716] ; [17.99382716 35.00617284],1
p10,1,0.000752,11.355071,[66 42] ; [17 35],[56.025 51.975] ; [26.975 25.025],1
n3,1,0.003022,8.794241,[28  9] ; [11 17],[22.2 14.8] ; [16.8 11.2],0
a1,1,0.006579,7.384374,[  6 105] ; [10 43],[ 10.82926829 100.17073171] ; [ 5.17073171 47.82926829],0
p1,1,0.008223,6.98415,[  4 107] ; [ 8 45],[  8.12195122 102.87804878] ; [ 3.87804878 49.12195122],0
s3,1,0.008997,6.823444,[53 56] ; [14 38],[45.36024845 63.63975155] ; [21.63975155 30.36024845],0
s5,1,0.010985,6.467722,[25 78] ; [ 4 49],[19.1474359 83.8525641] ; [ 9.8525641 43.1474359],0
n2,1,0.011875,6.329461,[31  9] ; [14 15],[26.08695652 13.91304348] ; [18.91304348 10.08695652],0
b5,1,0.01744,5.651587,[70 41] ; [23 30],[62.94512195 48.05487805] ; [30.05487805 22.94512195],0
p3,1,0.021203,5.310016,[33 78] ; [ 7 46],[27.07317073 83.92682927] ; [12.92682927 40.07317073],0
u2,1,0.025571,4.984817,[24 18] ; [ 5 14],[19.96721311 22.03278689] ; [9.03278689 9.96721311],0
a7,1,0.041836,4.141839,[72 39] ; [25 27],[66.05521472 44.94478528] ; [30.94478528 21.05521472],0
s7,1,0.053804,3.718767,[36 66] ; [10 40],[30.86842105 71.13157895] ; [15.13157895 34.86842105],0
u3,1,0.053813,3.718482,[25 18] ; [ 6 13],[21.5 21.5] ; [9.5 9.5],0
p4,1,0.070594,3.269151,[31 78] ; [ 8 44],[26.40372671 82.59627329] ; [12.59627329 39.40372671],0
v2,1,0.099784,2.708992,[47 57] ; [16 35],[42.27096774 61.72903226] ; [20.72903226 30.27096774],0
d2,1,0.132712,2.260486,[47 62] ; [29 23],[51.45341615 57.54658385] ; [24.54658385 27.45341615],0
s1,1,0.133347,2.253104,[  7 103] ; [ 7 45],[  9.50617284 100.49382716] ; [ 4.49382716 47.50617284],0
p7,1,0.134112,2.244251,[29 79] ; [ 8 42],[25.29113924 82.70886076] ; [11.70886076 38.29113924],0
v3,1,0.146172,2.111747,[37 64] ; [13 39],[33.00653595 67.99346405] ; [16.99346405 35.00653595],0
v1,1,0.195347,1.676827,[38 70] ; [13 39],[34.425 73.575] ; [16.575 35.425],0
d4,1,0.207759,1.586972,[83 27] ; [35 18],[79.63190184 30.36809816] ; [38.36809816 14.63190184],0
b2,1,0.223126,1.48415,[22 46] ; [16 20],[24.84615385 43.15384615] ; [13.15384615 22.84615385],0
b3,1,0.223126,1.48415,[22 46] ; [16 20],[24.84615385 43.15384615] ; [13.15384615 22.84615385],0
u1,1,0.24207,1.368497,[18 93] ; [ 5 48],[15.56707317 95.43292683] ; [ 7.43292683 45.56707317],0
d3,1,0.270378,1.214831,[62 48] ; [25 28],[58.71165644 51.28834356] ; [28.28834356 24.71165644],0
s4,1,0.277195,1.180791,[22 87] ; [ 7 46],[19.51234568 89.48765432] ; [ 9.48765432 43.51234568],0
d5,1,0.385709,0.752428,[76 34] ; [33 20],[73.55828221 36.44171779] ; [35.44171779 17.55828221],0
b1,1,0.473413,0.513998,[52 59] ; [28 25],[54.14634146 56.85365854] ; [25.85365854 27.14634146],0
n5,1,0.497856,0.459504,[68 42] ; [35 17],[69.9382716 40.0617284] ; [33.0617284 18.9382716],0
a6,1,0.518608,0.41666,[64 46] ; [28 25],[62.08588957 47.91411043] ; [29.91411043 23.08588957],0
d1,1,0.528471,0.397331,[54 57] ; [23 30],[52.11585366 58.88414634] ; [24.88414634 28.11585366],0
a2,1,0.571954,0.319423,[23 88] ; [ 9 44],[21.65853659 89.34146341] ; [10.34146341 42.65853659],0
a5,1,0.656718,0.197534,[71 40] ; [32 21],[69.71341463 41.28658537] ; [33.28658537 19.71341463],0
a3,1,0.660772,0.192587,[68 42] ; [34 18],[69.25925926 40.74074074] ; [32.74074074 19.25925926],0
p8,1,0.746087,0.104849,[17 94] ; [ 9 43],[17.70552147 93.29447853] ; [ 8.29447853 43.70552147],0
p5,1,0.766704,0.088024,[  5 102] ; [ 3 49],[  5.3836478 101.6163522] ; [ 2.6163522 49.3836478],0
a8,1,0.769954,0.085518,[10 96] ; [ 4 46],[ 9.51282051 96.48717949] ; [ 4.48717949 45.51282051],0
a4,1,0.777895,0.079559,[47 63] ; [21 31],[46.17283951 63.82716049] ; [21.82716049 30.17283951],0
n1,1,0.836269,0.042712,[18 20] ; [13 16],[17.58208955 20.41791045] ; [13.41791045 15.58208955],0
n4,1,0.950393,0.003871,[71 40] ; [33 19],[70.82208589 40.17791411] ; [33.17791411 18.82208589],0
b4,1,0.97715,0.00082,[61 50] ; [29 24],[60.91463415 50.08536585] ; [29.08536585 23.91463415],0
