Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000164,14.204167,[29 10] ; [ 5 16],[22.1 16.9] ; [11.9  9.1],1
p5,1,0.007894,7.057387,[14 25] ; [ 1 20],[ 9.75 29.25] ; [ 5.25 15.75],0
p10,1,0.008461,6.93311,[32  6] ; [11 10],[27.69491525 10.30508475] ; [15.30508475  5.69491525],0
p2,1,0.010131,6.611722,[35  4] ; [13  8],[31.2  7.8] ; [16.8  4.2],0
b4,1,0.013306,6.127946,[26 13] ; [ 7 14],[21.45 17.55] ; [11.55  9.45],0
a5,1,0.013306,6.127946,[26 13] ; [ 7 14],[21.45 17.55] ; [11.55  9.45],0
p8,1,0.014988,5.91783,[32  7] ; [11 10],[27.95 11.05] ; [15.05  5.95],0
p9,1,0.019076,5.494505,[33  6] ; [12  9],[29.25  9.75] ; [15.75  5.25],0
p12,1,0.046197,3.974393,[10 29] ; [ 1 20],[ 7.15 31.85] ; [ 3.85 17.15],0
n5,1,0.047275,3.935568,[33  6] ; [13  8],[29.9  9.1] ; [16.1  4.9],0
p11,1,0.107475,2.590961,[33  6] ; [14  7],[30.55  8.45] ; [16.45  4.55],0
v3,1,0.12939,2.299805,[17 22] ; [ 5 16],[14.3 24.7] ; [ 7.7 13.3],0
s8,1,0.1311,2.279435,[19 20] ; [ 6 15],[16.25 22.75] ; [ 8.75 12.25],0
p7,1,0.135968,2.223006,[35  4] ; [15  5],[33.05084746  5.94915254] ; [16.94915254  3.05084746],0
n6,1,0.160817,1.96653,[35  4] ; [16  5],[33.15  5.85] ; [17.85  3.15],0
s6,1,0.173717,1.850571,[25 13] ; [10 11],[22.54237288 15.45762712] ; [12.45762712  8.54237288],0
p1,1,0.224025,1.478397,[11 28] ; [ 3 18],[ 9.1 29.9] ; [ 4.9 16.1],0
s3,1,0.310993,1.026452,[22 17] ; [14  6],[23.79661017 15.20338983] ; [12.20338983  7.79661017],0
v1,1,0.336668,0.923077,[18 21] ; [ 7 14],[16.25 22.75] ; [ 8.75 12.25],0
a4,1,0.362784,0.828234,[ 7 31] ; [ 2 19],[ 5.79661017 32.20338983] ; [ 3.20338983 17.79661017],0
a7,1,0.391504,0.734266,[30  9] ; [14  7],[28.6 10.4] ; [15.4  5.6],0
d4,1,0.399065,0.711141,[16 23] ; [11 10],[17.55 21.45] ; [ 9.45 11.55],0
v2,1,0.406073,0.690268,[22 17] ; [ 9 11],[20.49152542 18.50847458] ; [10.50847458  9.49152542],0
s4,1,0.416793,0.659341,[ 9 30] ; [ 3 18],[ 7.8 31.2] ; [ 4.2 16.8],0
n2,1,0.490153,0.47619,[3 2] ; [4 1],[3.5 1.5] ; [3.5 1.5],0
n3,1,0.490153,0.47619,[4 1] ; [3 2],[3.5 1.5] ; [3.5 1.5],0
r3,1,0.515016,0.423862,[37  2] ; [19  2],[36.4  2.6] ; [19.6  1.4],0
r2,1,0.515016,0.423862,[37  2] ; [19  2],[36.4  2.6] ; [19.6  1.4],0
a3,1,0.515016,0.423862,[22 17] ; [10 11],[20.8 18.2] ; [11.2  9.8],0
s7,1,0.519602,0.414683,[22 14] ; [11 10],[20.84210526 15.15789474] ; [12.15789474  8.84210526],0
s2,1,0.524611,0.40482,[20 19] ; [12  8],[21.15254237 17.84745763] ; [10.84745763  9.15254237],0
n1,1,0.527089,0.4,[3 2] ; [2 3],[2.5 2.5] ; [2.5 2.5],0
a8,1,0.606394,0.26546,[ 5 31] ; [ 4 17],[ 5.68421053 30.31578947] ; [ 3.31578947 17.68421053],0
b2,1,0.635256,0.225,[10 14] ; [6 6],[10.66666667 13.33333333] ; [5.33333333 6.66666667],0
b3,1,0.635256,0.225,[10 14] ; [6 6],[10.66666667 13.33333333] ; [5.33333333 6.66666667],0
n4,1,0.639207,0.21978,[30  9] ; [15  6],[29.25  9.75] ; [15.75  5.25],0
r1,1,0.639207,0.21978,[30  9] ; [15  6],[29.25  9.75] ; [15.75  5.25],0
r4,1,0.642845,0.215041,[35  4] ; [18  3],[34.45  4.55] ; [18.55  2.45],0
s5,1,0.643501,0.214193,[13 23] ; [ 6 14],[12.21428571 23.78571429] ; [ 6.78571429 13.21428571],0
a1,1,0.651015,0.204623,[ 1 38] ; [ 1 20],[ 1.3 37.7] ; [ 0.7 20.3],0
d3,1,0.680517,0.169545,[17 22] ; [ 8 13],[16.25 22.75] ; [ 8.75 12.25],0
d2,1,0.717838,0.130573,[ 9 30] ; [ 4 17],[ 8.45 30.55] ; [ 4.55 16.45],0
v4,1,0.806591,0.05994,[36  3] ; [19  2],[35.75  3.25] ; [19.25  1.75],0
u2,1,0.823218,0.049911,[10  7] ; [6 5],[9.71428571 7.28571429] ; [6.28571429 4.71428571],0
a6,1,0.842564,0.039448,[25 14] ; [14  7],[25.35 13.65] ; [13.65  7.35],0
u3,1,0.933748,0.006911,[9 8] ; [6 5],[9.10714286 7.89285714] ; [5.89285714 5.10714286],0
b1,1,0.935247,0.006601,[19 20] ; [10 11],[18.85 20.15] ; [10.15 10.85],0
b5,1,0.977794,0.000775,[24 15] ; [13  8],[24.05 14.95] ; [12.95  8.05],0
