Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.3e-05,18.981765,[65 25] ; [14 29],[53.45864662 36.54135338] ; [25.54135338 17.45864662],1
s7,1,0.005927,7.572496,[33 52] ; [ 6 35],[26.30952381 58.69047619] ; [12.69047619 28.30952381],0
s6,1,0.011773,6.344806,[49 41] ; [13 29],[42.27272727 47.72727273] ; [19.72727273 22.27272727],0
p10,1,0.018022,5.594054,[61 26] ; [21 22],[54.87692308 32.12307692] ; [27.12307692 15.87692308],0
d2,1,0.027648,4.849888,[26 64] ; [ 5 38],[20.97744361 69.02255639] ; [10.02255639 32.97744361],0
v1,1,0.047835,3.915765,[42 46] ; [12 29],[36.8372093 51.1627907] ; [17.1627907 23.8372093],0
p1,1,0.062418,3.471935,[11 79] ; [ 1 42],[ 8.12030075 81.87969925] ; [ 3.87969925 39.12030075],0
s5,1,0.062826,3.46117,[21 68] ; [ 4 37],[17.11538462 71.88461538] ; [ 7.88461538 33.11538462],0
v3,1,0.063466,3.444413,[26 63] ; [ 6 36],[21.74045802 67.25954198] ; [10.25954198 31.74045802],0
n1,1,0.073188,3.210031,[16 18] ; [ 3 12],[13.18367347 20.81632653] ; [5.81632653 9.18367347],0
r3,1,0.105177,2.625229,[68 21] ; [38  5],[71.46969697 17.53030303] ; [34.53030303  8.46969697],0
a5,1,0.117384,2.451886,[40 50] ; [13 30],[35.86466165 54.13533835] ; [17.13533835 25.86466165],0
p7,1,0.176209,1.829313,[33 55] ; [21 21],[36.55384615 51.44615385] ; [17.44615385 24.55384615],0
n6,1,0.223014,1.484873,[67 22] ; [28 15],[64.0530303 24.9469697] ; [30.9469697 12.0530303],0
b3,1,0.255941,1.290579,[21 34] ; [ 6 18],[18.79746835 36.20253165] ; [ 8.20253165 15.79746835],0
b2,1,0.255941,1.290579,[21 34] ; [ 6 18],[18.79746835 36.20253165] ; [ 8.20253165 15.79746835],0
u3,1,0.285216,1.142069,[21 24] ; [ 8 16],[18.91304348 26.08695652] ; [10.08695652 13.91304348],0
b5,1,0.303601,1.058312,[48 42] ; [27 16],[50.7518797 39.2481203] ; [24.2481203 18.7518797],0
p9,1,0.307739,1.040357,[63 25] ; [27 16],[60.45801527 27.54198473] ; [29.54198473 13.45801527],0
p11,1,0.317954,0.997344,[57 33] ; [31 12],[59.54887218 30.45112782] ; [28.45112782 14.54887218],0
u2,1,0.327274,0.959655,[17 28] ; [12 12],[18.91304348 26.08695652] ; [10.08695652 13.91304348],0
s2,1,0.329793,0.949711,[35 53] ; [13 29],[32.49230769 55.50769231] ; [15.50769231 26.49230769],0
b1,1,0.362947,0.82767,[41 49] ; [16 27],[38.57142857 51.42857143] ; [18.42857143 24.57142857],0
a3,1,0.377062,0.780259,[45 43] ; [18 24],[42.64615385 45.35384615] ; [20.35384615 21.64615385],0
b4,1,0.391757,0.73348,[49 41] ; [20 23],[46.69172932 43.30827068] ; [22.30827068 20.69172932],0
p2,1,0.394524,0.724953,[56 34] ; [30 13],[58.19548872 31.80451128] ; [27.80451128 15.19548872],0
d1,1,0.401208,0.704702,[ 5 85] ; [ 1 42],[ 4.06015038 85.93984962] ; [ 1.93984962 41.06015038],0
n3,1,0.412262,0.672269,[20 14] ; [10  4],[21.25 12.75] ; [8.75 5.25],0
a7,1,0.447254,0.577602,[46 44] ; [25 18],[48.04511278 41.95488722] ; [22.95488722 20.04511278],0
a6,1,0.454884,0.558455,[46 44] ; [19 24],[43.98496241 46.01503759] ; [21.01503759 21.98496241],0
p6,1,0.492518,0.47102,[19 70] ; [ 7 36],[17.53030303 71.46969697] ; [ 8.46969697 34.53030303],0
v4,1,0.543232,0.369582,[72 16] ; [37  6],[73.22137405 14.77862595] ; [35.77862595  7.22137405],0
s8,1,0.559424,0.340703,[23 67] ; [ 9 34],[21.65413534 68.34586466] ; [10.34586466 32.65413534],0
d3,1,0.64658,0.210239,[36 54] ; [19 24],[37.21804511 52.78195489] ; [17.78195489 25.21804511],0
r4,1,0.663505,0.189293,[62 28] ; [28 15],[60.90225564 29.09774436] ; [29.09774436 13.90225564],0
n2,1,0.664612,0.18797,[26  9] ; [12  3],[26.6  8.4] ; [11.4  3.6],0
r1,1,0.667271,0.184811,[53 37] ; [27 16],[54.13533835 35.86466165] ; [25.86466165 17.13533835],0
d4,1,0.668713,0.183111,[42 47] ; [22 21],[43.15151515 45.84848485] ; [20.84848485 22.15151515],0
s1,1,0.668908,0.182883,[ 8 79] ; [ 3 40],[ 7.36153846 79.63846154] ; [ 3.63846154 39.36153846],0
v2,1,0.678165,0.172198,[28 57] ; [12 29],[26.98412698 58.01587302] ; [13.01587302 27.98412698],0
r2,1,0.689726,0.159382,[71 18] ; [33 10],[70.12121212 18.87878788] ; [33.87878788  9.12121212],0
p8,1,0.753934,0.098255,[29 59] ; [13 30],[28.21374046 59.78625954] ; [13.78625954 29.21374046],0
p4,1,0.761677,0.091978,[25 64] ; [11 32],[24.27272727 64.72727273] ; [11.72727273 31.27272727],0
a8,1,0.768203,0.086864,[12 71] ; [ 5 35],[11.47154472 71.52845528] ; [ 5.52845528 34.47154472],0
a1,1,0.827058,0.047732,[ 5 85] ; [ 2 41],[ 4.73684211 85.26315789] ; [ 2.26315789 40.73684211],0
s4,1,0.83073,0.045696,[16 74] ; [ 7 36],[15.56390977 74.43609023] ; [ 7.43609023 35.56390977],0
a4,1,0.922259,0.009524,[17 71] ; [ 8 35],[16.79389313 71.20610687] ; [ 8.20610687 34.79389313],0
s3,1,0.951953,0.003631,[42 45] ; [21 22],[42.16153846 44.83846154] ; [20.83846154 22.16153846],0
