Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.6e-05,18.662255,[34 26] ; [ 1 22],[25.30120482 34.69879518] ; [ 9.69879518 13.30120482],1
d3,1,0.000281,13.19244,[43 17] ; [ 6 16],[35.85365854 24.14634146] ; [13.14634146  8.85365854],1
n5,1,0.000281,13.19244,[17 43] ; [16  6],[24.14634146 35.85365854] ; [ 8.85365854 13.14634146],1
d5,1,0.00117,10.536396,[48 12] ; [10 13],[41.92771084 18.07228916] ; [16.07228916  6.92771084],0
r3,1,0.001442,10.151805,[45 14] ; [ 9 14],[38.85365854 20.14634146] ; [15.14634146  7.85365854],0
r1,1,0.002002,9.548044,[43 17] ; [ 8 15],[36.86746988 23.13253012] ; [14.13253012  8.86746988],0
u2,1,0.002528,9.119874,[14  4] ; [ 3 10],[9.87096774 8.12903226] ; [7.12903226 5.87096774],0
r4,1,0.010722,6.510829,[37 23] ; [ 7 16],[31.80722892 28.19277108] ; [12.19277108 10.80722892],0
s3,1,0.011569,6.375676,[31 28] ; [ 5 18],[25.90243902 33.09756098] ; [10.09756098 12.90243902],0
v2,1,0.01573,5.832825,[25 32] ; [ 3 18],[20.46153846 36.53846154] ; [ 7.53846154 13.46153846],0
a1,1,0.020734,5.348989,[ 3 57] ; [ 5 18],[ 5.78313253 54.21686747] ; [ 2.21686747 20.78313253],0
p3,1,0.039529,4.237991,[21 37] ; [ 3 20],[17.18518519 40.81481481] ; [ 6.81481481 16.18518519],0
s2,1,0.051198,3.801784,[24 36] ; [ 4 19],[20.24096386 39.75903614] ; [ 7.75903614 15.24096386],0
a3,1,0.058352,3.58362,[41 19] ; [10 12],[37.31707317 22.68292683] ; [13.68292683  8.31707317],0
p10,1,0.059703,3.545607,[24 33] ; [ 4 17],[20.46153846 36.53846154] ; [ 7.53846154 13.46153846],0
v4,1,0.065527,3.391665,[44 16] ; [12 11],[40.48192771 19.51807229] ; [15.51807229  7.48192771],0
n4,1,0.087632,2.917346,[24 36] ; [14  9],[27.46987952 32.53012048] ; [10.53012048 12.46987952],0
v1,1,0.09077,2.860667,[25 35] ; [ 5 18],[21.68674699 38.31325301] ; [ 8.31325301 14.68674699],0
s8,1,0.104894,2.629505,[11 49] ; [ 1 22],[ 8.6746988 51.3253012] ; [ 3.3253012 19.6746988],0
s4,1,0.130267,2.289322,[14 46] ; [ 2 21],[11.56626506 48.43373494] ; [ 4.43373494 18.56626506],0
p1,1,0.138397,2.195691,[ 4 56] ; [ 4 19],[ 5.78313253 54.21686747] ; [ 2.21686747 20.78313253],0
a7,1,0.170209,1.881099,[41 19] ; [12 11],[38.31325301 21.68674699] ; [14.68674699  8.31325301],0
s6,1,0.171848,1.866752,[25 34] ; [ 6 17],[22.30487805 36.69512195] ; [ 8.69512195 14.30487805],0
b3,1,0.195355,1.676768,[ 9 25] ; [6 7],[10.85106383 23.14893617] ; [4.14893617 8.85106383],0
b2,1,0.195355,1.676768,[ 9 25] ; [6 7],[10.85106383 23.14893617] ; [4.14893617 8.85106383],0
d2,1,0.212972,1.551106,[30 30] ; [ 8 15],[27.46987952 32.53012048] ; [10.53012048 12.46987952],0
p9,1,0.213633,1.546634,[28 29] ; [ 7 14],[25.57692308 31.42307692] ; [ 9.42307692 11.57692308],0
s7,1,0.219295,1.508981,[15 39] ; [ 3 18],[12.96 41.04] ; [ 5.04 15.96],0
b4,1,0.224068,1.478123,[35 25] ; [10 13],[32.53012048 27.46987952] ; [12.46987952 10.53012048],0
p8,1,0.278499,1.174399,[15 43] ; [ 3 18],[13.21518987 44.78481013] ; [ 4.78481013 16.21518987],0
b5,1,0.306301,1.046557,[31 29] ; [ 9 14],[28.91566265 31.08433735] ; [11.08433735 11.91566265],0
p2,1,0.339862,0.910951,[30 29] ; [ 9 14],[28.06097561 30.93902439] ; [10.93902439 12.06097561],0
u3,1,0.347329,0.883191,[10  8] ; [5 8],[8.70967742 9.29032258] ; [6.29032258 6.70967742],0
s1,1,0.361811,0.831596,[ 4 55] ; [ 3 20],[ 5.03658537 53.96341463] ; [ 1.96341463 21.03658537],0
a8,1,0.37465,0.788183,[ 4 54] ; [ 3 20],[ 5.01234568 52.98765432] ; [ 1.98765432 21.01234568],0
a5,1,0.388709,0.742977,[35 25] ; [11 12],[33.25301205 26.74698795] ; [12.74698795 10.25301205],0
a4,1,0.478327,0.502676,[26 34] ; [ 8 15],[24.57831325 35.42168675] ; [ 9.42168675 13.57831325],0
n1,1,0.52369,0.406621,[ 7 18] ; [ 6 10],[ 7.92682927 17.07317073] ; [ 5.07317073 10.92682927],0
p6,1,0.554689,0.348983,[11 46] ; [ 3 19],[10.10126582 46.89873418] ; [ 3.89873418 18.10126582],0
p7,1,0.636442,0.223425,[19 39] ; [ 6 16],[18.125 39.875] ; [ 6.875 15.125],0
r2,1,0.750703,0.100941,[48 11] ; [18  5],[47.48780488 11.51219512] ; [18.51219512  4.48780488],0
v3,1,0.759151,0.094001,[15 40] ; [ 5 16],[14.47368421 40.52631579] ; [ 5.52631579 15.47368421],0
a6,1,0.764708,0.089583,[37 23] ; [15  8],[37.59036145 22.40963855] ; [14.40963855  8.59036145],0
a2,1,0.787428,0.072713,[12 48] ; [ 4 19],[11.56626506 48.43373494] ; [ 4.43373494 18.56626506],0
p4,1,0.804982,0.060962,[17 42] ; [ 6 17],[16.54878049 42.45121951] ; [ 6.45121951 16.54878049],0
n3,1,0.875935,0.024375,[15  9] ; [9 6],[14.76923077  9.23076923] ; [9.23076923 5.76923077],0
n2,1,0.900542,0.015619,[13 12] ; [8 8],[12.80487805 12.19512195] ; [8.19512195 7.80487805],0
b1,1,0.900654,0.015584,[33 27] ; [13 10],[33.25301205 26.74698795] ; [12.74698795 10.25301205],0
