Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.000167,14.17475,[32  8] ; [ 3 10],[26.41509434 13.58490566] ; [8.58490566 4.41509434],1
d3,1,0.004594,8.03264,[32  8] ; [5 8],[27.9245283 12.0754717] ; [9.0754717 3.9245283],0
r4,1,0.031338,4.634335,[37  3] ; [9 4],[34.71698113  5.28301887] ; [11.28301887  1.71698113],0
s8,1,0.088843,2.895206,[20 20] ; [10  3],[22.64150943 17.35849057] ; [7.35849057 5.64150943],0
p2,1,0.116684,2.461277,[33  7] ; [8 5],[30.94339623  9.05660377] ; [10.05660377  2.94339623],0
r1,1,0.11934,2.425959,[28 12] ; [6 7],[25.66037736 14.33962264] ; [8.33962264 4.66037736],0
s7,1,0.124502,2.359746,[20 18] ; [10  3],[22.35294118 15.64705882] ; [7.64705882 5.35294118],0
a2,1,0.235829,1.405353,[ 9 31] ; [ 1 12],[ 7.54716981 32.45283019] ; [ 2.45283019 10.54716981],0
v3,1,0.255958,1.290486,[11 27] ; [6 7],[12.66666667 25.33333333] ; [4.33333333 8.66666667],0
a4,1,0.290338,1.118052,[21 19] ; [9 4],[22.64150943 17.35849057] ; [7.35849057 5.64150943],0
b4,1,0.298752,1.079757,[25 15] ; [6 7],[23.39622642 16.60377358] ; [7.60377358 5.39622642],0
n5,1,0.299096,1.078219,[28 12] ; [11  2],[29.43396226 10.56603774] ; [9.56603774 3.43396226],0
p1,1,0.304534,1.054235,[ 8 32] ; [ 1 12],[ 6.79245283 33.20754717] ; [ 2.20754717 10.79245283],0
s4,1,0.348787,0.877864,[ 8 32] ; [ 1 11],[ 6.92307692 33.07692308] ; [2.07692308 9.92307692],0
d4,1,0.354738,0.856437,[35  5] ; [10  3],[33.96226415  6.03773585] ; [11.03773585  1.96226415],0
n4,1,0.390818,0.736394,[33  7] ; [12  1],[33.96226415  6.03773585] ; [11.03773585  1.96226415],0
s2,1,0.414575,0.665643,[22 17] ; [9 4],[23.25 15.75] ; [7.75 5.25],0
s6,1,0.423644,0.640184,[26 14] ; [10  3],[27.16981132 12.83018868] ; [8.83018868 4.16981132],0
p11,1,0.423644,0.640184,[26 14] ; [10  3],[27.16981132 12.83018868] ; [8.83018868 4.16981132],0
n1,1,0.452209,0.56511,[7 6] ; [3 1],[7.64705882 5.35294118] ; [2.35294118 1.64705882],0
d2,1,0.452505,0.564369,[23 17] ; [9 4],[24.1509434 15.8490566] ; [7.8490566 5.1509434],0
u1,1,0.471738,0.517902,[10 30] ; [ 2 11],[ 9.05660377 30.94339623] ; [ 2.94339623 10.05660377],0
n6,1,0.500432,0.454021,[34  6] ; [10  3],[33.20754717  6.79245283] ; [10.79245283  2.20754717],0
d1,1,0.520262,0.413374,[27 13] ; [10  3],[27.9245283 12.0754717] ; [9.0754717 3.9245283],0
a5,1,0.547168,0.362415,[31  9] ; [9 4],[30.18867925  9.81132075] ; [9.81132075 3.18867925],0
p10,1,0.570155,0.322423,[28 12] ; [8 5],[27.16981132 12.83018868] ; [8.83018868 4.16981132],0
b5,1,0.570155,0.322423,[28 12] ; [8 5],[27.16981132 12.83018868] ; [8.83018868 4.16981132],0
v2,1,0.583067,0.301302,[23 16] ; [6 6],[22.17647059 16.82352941] ; [6.82352941 5.17647059],0
a3,1,0.630236,0.231741,[28 12] ; [10  3],[28.67924528 11.32075472] ; [9.32075472 3.67924528],0
p9,1,0.634586,0.225893,[35  5] ; [12  1],[35.47169811  4.52830189] ; [11.52830189  1.47169811],0
p8,1,0.660205,0.193275,[15 25] ; [4 9],[14.33962264 25.66037736] ; [4.66037736 8.33962264],0
n2,1,0.6885,0.160714,[9 5] ; [3 1],[9.33333333 4.66666667] ; [2.66666667 1.33333333],0
p3,1,0.690901,0.158111,[19 21] ; [7 6],[19.62264151 20.37735849] ; [6.37735849 6.62264151],0
b1,1,0.693359,0.155473,[13 27] ; [5 8],[13.58490566 26.41509434] ; [4.41509434 8.58490566],0
p4,1,0.693359,0.155473,[27 13] ; [8 5],[26.41509434 13.58490566] ; [8.58490566 4.41509434],0
u4,1,0.715158,0.133179,[ 2 38] ; [ 1 12],[ 2.26415094 37.73584906] ; [ 0.73584906 12.26415094],0
s5,1,0.745828,0.10507,[12 25] ; [3 8],[11.5625 25.4375] ; [3.4375 7.5625],0
v1,1,0.815431,0.054487,[21 18] ; [6 6],[20.64705882 18.35294118] ; [6.35294118 5.64705882],0
d5,1,0.859921,0.031143,[33  7] ; [11  2],[33.20754717  6.79245283] ; [10.79245283  2.20754717],0
n3,1,0.879563,0.022959,[11  3] ; [3 1],[10.88888889  3.11111111] ; [3.11111111 0.88888889],0
b3,1,0.901312,0.015377,[11 10] ; [5 5],[10.83870968 10.16129032] ; [5.16129032 4.83870968],0
b2,1,0.901312,0.015377,[11 10] ; [5 5],[10.83870968 10.16129032] ; [5.16129032 4.83870968],0
a8,1,0.96106,0.002384,[ 3 35] ; [ 1 11],[ 3.04 34.96] ; [ 0.96 11.04],0
u2,1,1.0,0.0,[8 4] ; [2 1],[8. 4.] ; [2. 1.],0
u3,1,1.0,0.0,[8 4] ; [2 1],[8. 4.] ; [2. 1.],0
s3,1,1.0,0.0,[21 18] ; [7 6],[21. 18.] ; [7. 6.],0
