Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3.5e-05,17.121889,[30 72] ; [18  6],[38.85714286 63.14285714] ; [ 9.14285714 14.85714286],1
s3,1,0.009926,6.64814,[36 65] ; [16  9],[41.68253968 59.31746032] ; [10.31746032 14.68253968],0
s7,1,0.042744,4.105508,[23 73] ; [10 12],[26.84745763 69.15254237] ; [ 6.15254237 15.84745763],0
s5,1,0.048527,3.891632,[20 76] ; [ 9 13],[23.59322034 72.40677966] ; [ 5.40677966 16.59322034],0
u3,1,0.077673,3.112941,[26 19] ; [8 1],[28.33333333 16.66666667] ; [5.66666667 3.33333333],0
s6,1,0.097251,2.750062,[47 55] ; [15  8],[50.592 51.408] ; [11.408 11.592],0
p11,1,0.10847,2.576376,[59 43] ; [10 15],[55.41732283 46.58267717] ; [13.58267717 11.41732283],0
p2,1,0.128182,2.314379,[62 40] ; [11 14],[58.62992126 43.37007874] ; [14.37007874 10.62992126],0
p8,1,0.13737,2.20718,[22 80] ; [ 2 22],[19.42857143 82.57142857] ; [ 4.57142857 19.42857143],0
u1,1,0.145484,2.11897,[ 7 95] ; [ 4 21],[ 8.83464567 93.16535433] ; [ 2.16535433 22.83464567],0
d3,1,0.156033,2.01226,[62 40] ; [19  6],[65.05511811 36.94488189] ; [15.94488189  9.05511811],0
p10,1,0.234652,1.412437,[49 51] ; [15  9],[51.61290323 48.38709677] ; [12.38709677 11.61290323],0
r4,1,0.237249,1.396869,[74 28] ; [21  4],[76.2992126 25.7007874] ; [18.7007874  6.2992126],0
u2,1,0.283471,1.150373,[28 16] ; [4 5],[26.56603774 17.43396226] ; [5.43396226 3.56603774],0
v1,1,0.299197,1.077771,[43 56] ; [ 8 17],[40.71774194 58.28225806] ; [10.28225806 14.71774194],0
b5,1,0.31016,1.029996,[58 44] ; [17  8],[60.23622047 41.76377953] ; [14.76377953 10.23622047],0
n2,1,0.365228,0.819838,[22 14] ; [4 5],[20.8 15.2] ; [5.2 3.8],0
p6,1,0.384976,0.754752,[10 91] ; [ 4 21],[11.22222222 89.77777778] ; [ 2.77777778 22.22222222],0
s1,1,0.389027,0.741982,[ 4 98] ; [ 2 23],[ 4.81889764 97.18110236] ; [ 1.18110236 23.81889764],0
n1,1,0.398361,0.713268,[11 26] ; [4 5],[12.06521739 24.93478261] ; [2.93478261 6.06521739],0
