Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,4e-06,21.190368,[54 16] ; [ 9 22],[43.66336634 26.33663366] ; [19.33663366 11.66336634],1
r3,1,1.5e-05,18.789304,[62  7] ; [17 16],[53.44117647 15.55882353] ; [25.55882353  7.44117647],1
p9,1,2.2e-05,17.973459,[57 12] ; [12 18],[48.09090909 20.90909091] ; [20.90909091  9.09090909],1
r4,1,0.000153,14.332411,[55 15] ; [14 20],[46.44230769 23.55769231] ; [22.55769231 11.44230769],1
v4,1,0.000193,13.89586,[65  5] ; [21 12],[58.44660194 11.55339806] ; [27.55339806  5.44660194],1
v2,1,0.000452,12.302594,[33 33] ; [ 4 27],[25.17525773 40.82474227] ; [11.82474227 19.17525773],1
r1,1,0.000742,11.38071,[48 22] ; [11 22],[40.09708738 29.90291262] ; [18.90291262 14.09708738],1
p3,1,0.000819,11.198207,[34 36] ; [ 5 29],[26.25 43.75] ; [12.75 21.25],1
n6,1,0.001417,10.184024,[54 16] ; [15 18],[46.89320388 23.10679612] ; [22.10679612 10.89320388],0
p2,1,0.002155,9.41251,[54 16] ; [16 18],[47.11538462 22.88461538] ; [22.88461538 11.11538462],0
p8,1,0.002186,9.386605,[38 29] ; [ 8 25],[30.82 36.18] ; [15.18 17.82],0
n3,1,0.002758,8.960727,[18  2] ; [7 9],[13.88888889  6.11111111] ; [11.11111111  4.88888889],0
p4,1,0.00463,8.018677,[37 33] ; [ 8 26],[30.28846154 39.71153846] ; [14.71153846 19.28846154],0
a1,1,0.006447,7.420843,[ 1 69] ; [ 5 29],[ 4.03846154 65.96153846] ; [ 1.96153846 32.03846154],0
s5,1,0.014032,6.03414,[15 53] ; [ 1 32],[10.77227723 57.22772277] ; [ 5.22772277 27.77227723],0
s8,1,0.021012,5.325761,[17 52] ; [ 2 32],[12.72815534 56.27184466] ; [ 6.27184466 27.72815534],0
p7,1,0.02734,4.8692,[40 29] ; [11 21],[34.84158416 34.15841584] ; [16.15841584 15.84158416],0
s6,1,0.027976,4.829545,[29 39] ; [ 7 27],[24. 44.] ; [12. 22.],0
n2,1,0.036464,4.375264,[16  4] ; [8 9],[12.97297297  7.02702703] ; [11.02702703  5.97297297],0
v1,1,0.070708,3.266514,[31 38] ; [ 9 25],[26.7961165 42.2038835] ; [13.2038835 20.7961165],0
d3,1,0.080823,3.048266,[13 57] ; [11 21],[16.47058824 53.52941176] ; [ 7.52941176 24.47058824],0
b1,1,0.09544,2.780129,[27 43] ; [19 15],[30.96153846 39.03846154] ; [15.03846154 18.96153846],0
u3,1,0.101353,2.684118,[18 16] ; [ 6 14],[15.11111111 18.88888889] ; [ 8.88888889 11.11111111],0
v3,1,0.190712,1.712111,[19 50] ; [ 5 27],[16.3960396 52.6039604] ; [ 7.6039604 24.3960396],0
a4,1,0.227475,1.456583,[20 50] ; [ 6 28],[17.5 52.5] ; [ 8.5 25.5],0
s4,1,0.280972,1.162382,[ 7 62] ; [ 6 28],[ 8.70873786 60.29126214] ; [ 4.29126214 29.70873786],0
p12,1,0.297111,1.087116,[ 6 64] ; [ 1 32],[ 4.75728155 65.24271845] ; [ 2.24271845 30.75728155],0
b4,1,0.320456,0.987083,[34 36] ; [13 21],[31.63461538 38.36538462] ; [15.36538462 18.63461538],0
a5,1,0.330545,0.946763,[38 32] ; [15 19],[35.67307692 34.32692308] ; [17.32692308 16.67307692],0
a6,1,0.333663,0.934629,[44 26] ; [18 16],[41.73076923 28.26923077] ; [20.26923077 13.73076923],0
b5,1,0.333663,0.934629,[44 26] ; [18 16],[41.73076923 28.26923077] ; [20.26923077 13.73076923],0
u2,1,0.358047,0.844732,[18 16] ; [ 8 12],[16.37037037 17.62962963] ; [ 9.62962963 10.37037037],0
a3,1,0.393546,0.727958,[36 34] ; [14 19],[33.98058252 36.01941748] ; [16.01941748 16.98058252],0
a7,1,0.418531,0.654436,[41 29] ; [16 16],[39.11764706 30.88235294] ; [17.88235294 14.11764706],0
s1,1,0.441492,0.592401,[ 2 67] ; [ 2 31],[ 2.70588235 66.29411765] ; [ 1.29411765 31.70588235],0
p6,1,0.481188,0.496169,[22 47] ; [ 8 24],[20.4950495 48.5049505] ; [ 9.5049505 22.4950495],0
d5,1,0.546206,0.364158,[32 38] ; [13 20],[30.58252427 39.41747573] ; [14.41747573 18.58252427],0
b2,1,0.5969,0.279697,[14 25] ; [ 9 12],[14.95 24.05] ; [ 8.05 12.95],0
b3,1,0.5969,0.279697,[14 25] ; [ 9 12],[14.95 24.05] ; [ 8.05 12.95],0
a8,1,0.601095,0.273347,[ 6 60] ; [ 4 28],[ 6.73469388 59.26530612] ; [ 3.26530612 28.73469388],0
n4,1,0.614105,0.25424,[46 24] ; [20 13],[44.85436893 25.14563107] ; [21.14563107 11.85436893],0
r2,1,0.619296,0.246858,[58 12] ; [26  7],[57.08737864 12.91262136] ; [26.91262136  6.08737864],0
p1,1,0.685322,0.164197,[ 8 62] ; [ 3 31],[ 7.40384615 62.59615385] ; [ 3.59615385 30.40384615],0
d1,1,0.73803,0.111866,[ 3 67] ; [ 1 33],[ 2.69230769 67.30769231] ; [ 1.30769231 32.69230769],0
u1,1,0.73803,0.111866,[ 3 67] ; [ 1 33],[ 2.69230769 67.30769231] ; [ 1.30769231 32.69230769],0
n1,1,0.815019,0.054736,[ 9 11] ; [ 7 10],[ 8.64864865 11.35135135] ; [7.35135135 9.64864865],0
n5,1,0.917856,0.010637,[51 19] ; [23  9],[50.78431373 19.21568627] ; [23.21568627  8.78431373],0
d2,1,0.934231,0.00681,[18 52] ; [ 9 25],[18.17307692 51.82692308] ; [ 8.82692308 25.17307692],0
a2,1,0.959859,0.002533,[ 8 62] ; [ 4 30],[ 8.07692308 61.92307692] ; [ 3.92307692 30.07692308],0
s7,1,0.970319,0.001384,[14 51] ; [ 7 26],[13.92857143 51.07142857] ; [ 7.07142857 25.92857143],0
s2,1,0.982758,0.000467,[ 6 63] ; [ 3 31],[ 6.02912621 62.97087379] ; [ 2.97087379 31.02912621],0
