Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,97.724861,[ 42 127] ; [241  98],[94.1476378 74.8523622] ; [188.8523622 150.1476378],1
s2,1,0.0,85.878167,[ 36 133] ; [223 121],[85.32358674 83.67641326] ; [173.67641326 170.32358674],1
s7,1,0.0,54.052443,[ 38 123] ; [197 138],[76.28024194 84.71975806] ; [158.71975806 176.28024194],1
s5,1,0.0,49.784287,[ 18 149] ; [142 198],[ 52.70216963 114.29783037] ; [107.29783037 232.70216963],1
s8,1,0.0,47.954076,[ 38 133] ; [187 157],[74.70873786 96.29126214] ; [150.29126214 193.70873786],1
s4,1,8.4e-05,15.468068,[ 10 161] ; [ 64 276],[ 24.76320939 146.23679061] ; [ 49.23679061 290.76320939],1
n5,1,0.000582,11.83234,[113  57] ; [277  68],[128.73786408  41.26213592] ; [261.26213592  83.73786408],1
p4,1,0.000721,11.43483,[92 79] ; [238 107],[109.36046512  61.63953488] ; [220.63953488 124.36046512],1
p7,1,0.001318,10.316602,[96 72] ; [238  95],[112.  56.] ; [222. 111.],0
p9,1,0.00148,10.102853,[140  29] ; [317  27],[150.55165692  18.44834308] ; [306.44834308  37.55165692],0
p12,1,0.002289,9.30177,[  7 162] ; [ 44 303],[ 16.70348837 152.29651163] ; [ 34.29651163 312.70348837],0
u1,1,0.003991,8.287752,[ 24 147] ; [ 87 260],[ 36.64285714 134.35714286] ; [ 74.35714286 272.64285714],0
p5,1,0.008557,6.913033,[ 11 158] ; [ 50 295],[ 20.05642023 148.94357977] ; [ 40.94357977 304.05642023],0
a2,1,0.010736,6.508535,[ 35 136] ; [108 239],[ 47.20656371 123.79343629] ; [ 95.79343629 251.20656371],0
p6,1,0.011243,6.426487,[ 50 119] ; [141 202],[ 63.04492188 105.95507812] ; [127.95507812 215.04492188],0
p10,1,0.013008,6.167972,[140  29] ; [312  33],[148.61478599  20.38521401] ; [303.38521401  41.61478599],0
u2,1,0.016552,5.74326,[28 29] ; [62 28],[34.89795918 22.10204082] ; [55.10204082 34.89795918],0
r4,1,0.020699,5.351948,[152  19] ; [328  19],[158.45559846  12.54440154] ; [321.54440154  25.45559846],0
n6,1,0.022027,5.243634,[140  30] ; [308  36],[148.17120623  21.82879377] ; [299.82879377  44.17120623],0
u3,1,0.022992,5.169076,[30 27] ; [64 26],[36.44897959 20.55102041] ; [57.55102041 32.44897959],0
a5,1,0.024435,5.063464,[118  53] ; [271  76],[128.41505792  42.58494208] ; [260.58494208  86.41505792],0
d2,1,0.026124,4.947813,[ 68 103] ; [173 172],[79.86627907 91.13372093] ; [161.13372093 183.86627907],0
v1,1,0.030748,4.667,[81 86] ; [196 138],[92.33333333 74.66666667] ; [184.66666667 149.33333333],0
d1,1,0.039973,4.219012,[97 74] ; [229 118],[107.61776062  63.38223938] ; [218.38223938 128.61776062],0
b5,1,0.061564,3.494744,[100  71] ; [232 115],[109.5984556  61.4015444] ; [222.4015444 124.5984556],0
d4,1,0.070045,3.281961,[139  32] ; [302  44],[145.86266925  25.13733075] ; [295.13733075  50.86266925],0
v4,1,0.075542,3.158289,[161   9] ; [337   8],[164.38834951   5.61165049] ; [333.61165049  11.38834951],0
a3,1,0.082501,3.014923,[114  57] ; [256  90],[122.37911025  48.62088975] ; [247.62088975  98.37911025],0
p8,1,0.083259,3.0001,[89 80] ; [207 134],[98.08627451 70.91372549] ; [197.91372549 143.08627451],0
u4,1,0.088141,2.908006,[  1 170] ; [ 10 337],[  3.63127413 167.36872587] ; [  7.36872587 339.63127413],0
b1,1,0.099345,2.716028,[ 62 109] ; [101 246],[ 53.80888031 117.19111969] ; [109.19111969 237.80888031],0
p3,1,0.135447,2.228937,[80 90] ; [187 159],[87.96511628 82.03488372] ; [179.03488372 166.96511628],0
d5,1,0.168368,1.897415,[136  35] ; [292  54],[141.56286267  29.43713733] ; [286.43713733  59.56286267],0
r1,1,0.178078,1.813594,[135  36] ; [289  56],[140.51162791  30.48837209] ; [283.48837209  61.51162791],0
a4,1,0.202106,1.627091,[ 67 104] ; [156 190],[73.7582205 97.2417795] ; [149.2417795 196.7582205],0
r3,1,0.203443,1.617487,[164   6] ; [340   6],[166.04651163   3.95348837] ; [337.95348837   8.04651163],0
r2,1,0.205351,1.6039,[158  12] ; [326  15],[161.01761252   8.98238748] ; [322.98238748  18.01761252],0
n4,1,0.222522,1.488034,[129  42] ; [278  69],[134.35714286  36.64285714] ; [272.64285714  74.35714286],0
a1,1,0.23959,1.383003,[  5 166] ; [ 18 329],[  7.59266409 163.40733591] ; [ 15.40733591 331.59266409],0
d3,1,0.260809,1.264455,[129  42] ; [276  70],[133.95551257  37.04448743] ; [271.04448743  74.95551257],0
v2,1,0.292525,1.107964,[94 69] ; [209 125],[99.37424547 63.62575453] ; [203.62575453 130.37424547],0
b4,1,0.308002,1.039226,[100  71] ; [219 128],[105.30694981  65.69305019] ; [213.69305019 133.30694981],0
a8,1,0.335881,0.926089,[ 20 135] ; [ 51 262],[ 23.51495726 131.48504274] ; [ 47.48504274 265.51495726],0
n2,1,0.339044,0.914044,[26 11] ; [45 12],[27.94680851  9.05319149] ; [43.05319149 13.94680851],0
p2,1,0.353352,0.861384,[146  24] ; [307  39],[149.24418605  20.75581395] ; [303.75581395  42.24418605],0
s1,1,0.355178,0.854872,[  3 165] ; [ 11 332],[  4.60273973 163.39726027] ; [  9.39726027 333.60273973],0
b2,1,0.485388,0.486734,[39 60] ; [ 77 141],[36.22712934 62.77287066] ; [ 79.77287066 138.22712934],0
b3,1,0.485388,0.486734,[39 60] ; [ 77 141],[36.22712934 62.77287066] ; [ 79.77287066 138.22712934],0
p1,1,0.527787,0.39865,[ 16 153] ; [ 27 318],[ 14.1381323 154.8618677] ; [ 28.8618677 316.1381323],0
n1,1,0.589318,0.291411,[11 26] ; [20 37],[12.20212766 24.79787234] ; [18.79787234 38.20212766],0
v3,1,0.619646,0.246365,[ 62 100] ; [136 199],[64.53923541 97.46076459] ; [133.46076459 201.53923541],0
a6,1,0.722282,0.126317,[134  37] ; [275  70],[135.54069767  35.45930233] ; [273.45930233  71.54069767],0
n3,1,0.847125,0.037167,[28 10] ; [43 14],[28.4  9.6] ; [42.6 14.4],0
