Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000952,10.917772,[ 5 24] ; [9 4],[ 9.66666667 19.33333333] ; [4.33333333 8.66666667],1
d3,1,0.029803,4.720608,[ 8 22] ; [8 5],[11.1627907 18.8372093] ; [4.8372093 8.1627907],0
d1,1,0.041821,4.142446,[ 5 25] ; [6 7],[ 7.6744186 22.3255814] ; [3.3255814 9.6744186],0
s6,1,0.042548,4.113283,[13 17] ; [10  3],[16.04651163 13.95348837] ; [6.95348837 6.04651163],0
n6,1,0.066327,3.371667,[19 11] ; [11  1],[21.42857143  8.57142857] ; [8.57142857 3.42857143],0
s7,1,0.07076,3.265306,[ 6 22] ; [6 6],[ 8.4 19.6] ; [3.6 8.4],0
d4,1,0.077387,3.118944,[17 13] ; [11  2],[19.53488372 10.46511628] ; [8.46511628 4.53488372],0
a7,1,0.100268,2.701282,[15 15] ; [ 3 10],[12.55813953 17.44186047] ; [5.44186047 7.55813953],0
p4,1,0.118694,2.434471,[13 17] ; [9 4],[15.34883721 14.65116279] ; [6.65116279 6.34883721],0
p10,1,0.124025,2.365736,[15 14] ; [10  3],[17.26190476 11.73809524] ; [7.73809524 5.26190476],0
n3,1,0.124283,2.3625,[7 3] ; [1 3],[5.71428571 4.28571429] ; [2.28571429 1.71428571],0
n2,1,0.124283,2.3625,[7 3] ; [1 3],[5.71428571 4.28571429] ; [2.28571429 1.71428571],0
s8,1,0.134539,2.239336,[ 7 23] ; [6 7],[ 9.06976744 20.93023256] ; [3.93023256 9.06976744],0
v3,1,0.202566,1.623776,[ 6 24] ; [5 8],[ 7.6744186 22.3255814] ; [3.3255814 9.6744186],0
b4,1,0.206404,1.596473,[20 10] ; [6 7],[18.13953488 11.86046512] ; [7.86046512 5.13953488],0
u2,1,0.28255,1.154783,[10  7] ; [2 4],[8.86956522 8.13043478] ; [3.13043478 2.86956522],0
s1,1,0.36605,0.817028,[ 2 28] ; [ 2 11],[ 2.79069767 27.20930233] ; [ 1.20930233 11.79069767],0
p2,1,0.382443,0.762833,[19 11] ; [10  3],[20.23255814  9.76744186] ; [8.76744186 4.23255814],0
n1,1,0.393153,0.729167,[5 5] ; [1 3],[4.28571429 5.71428571] ; [1.71428571 2.28571429],0
a4,1,0.421246,0.646838,[ 8 22] ; [ 2 11],[ 6.97674419 23.02325581] ; [3.02325581 9.97674419],0
d5,1,0.424415,0.638058,[20 10] ; [7 6],[18.8372093 11.1627907] ; [8.1627907 4.8372093],0
p3,1,0.424415,0.638058,[10 20] ; [6 7],[11.1627907 18.8372093] ; [4.8372093 8.1627907],0
v1,1,0.439261,0.598212,[ 8 22] ; [5 8],[ 9.06976744 20.93023256] ; [3.93023256 9.06976744],0
s4,1,0.442663,0.589371,[ 6 24] ; [4 9],[ 6.97674419 23.02325581] ; [3.02325581 9.97674419],0
b5,1,0.486001,0.485368,[15 15] ; [8 5],[16.04651163 13.95348837] ; [6.95348837 6.04651163],0
s5,1,0.556236,0.346263,[ 7 23] ; [ 2 11],[ 6.27906977 23.72093023] ; [ 2.72093023 10.27906977],0
d2,1,0.586567,0.295737,[ 9 21] ; [5 8],[ 9.76744186 20.23255814] ; [4.23255814 8.76744186],0
v2,1,0.5885,0.292694,[13 16] ; [7 6],[13.80952381 15.19047619] ; [6.19047619 6.80952381],0
a3,1,0.5885,0.292694,[13 16] ; [7 6],[13.80952381 15.19047619] ; [6.19047619 6.80952381],0
r3,1,0.597676,0.278515,[20  9] ; [10  3],[20.71428571  8.28571429] ; [9.28571429 3.71428571],0
r4,1,0.642053,0.216067,[ 9 21] ; [ 3 10],[ 8.37209302 21.62790698] ; [3.62790698 9.37209302],0
p7,1,0.66534,0.187102,[14 16] ; [7 6],[14.65116279 15.34883721] ; [6.34883721 6.65116279],0
b1,1,0.66534,0.187102,[16 14] ; [6 7],[15.34883721 14.65116279] ; [6.65116279 6.34883721],0
p11,1,0.709406,0.138871,[19 11] ; [9 4],[19.53488372 10.46511628] ; [8.46511628 4.53488372],0
r1,1,0.745903,0.105006,[10 20] ; [5 8],[10.46511628 19.53488372] ; [4.53488372 8.46511628],0
b2,1,0.784191,0.075,[ 7 13] ; [3 7],[ 6.66666667 13.33333333] ; [3.33333333 6.66666667],0
b3,1,0.784191,0.075,[ 7 13] ; [3 7],[ 6.66666667 13.33333333] ; [3.33333333 6.66666667],0
p1,1,0.810899,0.057249,[ 3 27] ; [ 1 12],[ 2.79069767 27.20930233] ; [ 1.20930233 11.79069767],0
a1,1,0.810899,0.057249,[ 3 27] ; [ 1 12],[ 2.79069767 27.20930233] ; [ 1.20930233 11.79069767],0
