Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,4.3e-05,16.726362,[86 67] ; [ 9 34],[74.15816327 78.84183673] ; [20.84183673 22.15816327],1
a7,1,0.001859,9.683711,[110  43] ; [20 23],[101.47959184  51.52040816] ; [28.52040816 14.47959184],0
d5,1,0.002729,8.980131,[107  48] ; [19 24],[98.63636364 56.36363636] ; [27.36363636 15.63636364],0
p9,1,0.003624,8.463341,[130  23] ; [28 15],[123.33673469  29.66326531] ; [34.66326531  8.33673469],0
v4,1,0.00383,8.362643,[148   6] ; [36  7],[143.83756345  10.16243655] ; [40.16243655  2.83756345],0
p7,1,0.005684,7.647942,[103  47] ; [18 22],[95.52631579 54.47368421] ; [25.47368421 14.52631579],0
p10,1,0.006851,7.311684,[123  30] ; [26 17],[116.31122449  36.68877551] ; [32.68877551 10.31122449],0
p4,1,0.012814,6.194612,[81 73] ; [13 29],[73.85714286 80.14285714] ; [20.14285714 21.85714286],0
p3,1,0.030559,4.677573,[64 91] ; [10 33],[57.92929293 97.07070707] ; [16.07070707 26.92929293],0
s1,1,0.040004,4.217696,[  4 150] ; [ 4 37],[  6.31794872 147.68205128] ; [ 1.68205128 39.31794872],0
p6,1,0.045653,3.99436,[57 93] ; [ 9 33],[51.5625 98.4375] ; [14.4375 27.5625],0
p5,1,0.092646,2.827786,[ 17 138] ; [ 1 40],[ 14.23469388 140.76530612] ; [ 3.76530612 37.23469388],0
s7,1,0.095981,2.771081,[58 93] ; [10 31],[53.47916667 97.52083333] ; [14.52083333 26.47916667],0
a6,1,0.097169,2.751401,[87 68] ; [18 25],[82.1969697 72.8030303] ; [22.8030303 20.1969697],0
s5,1,0.121113,2.402874,[ 40 109] ; [ 6 34],[ 36.26455026 112.73544974] ; [ 9.73544974 30.26455026],0
a3,1,0.139826,2.17987,[81 74] ; [17 26],[76.71717172 78.28282828] ; [21.28282828 21.71717172],0
b1,1,0.161255,1.962421,[ 44 111] ; [17 26],[ 47.75252525 107.24747475] ; [13.24747475 29.75252525],0
n5,1,0.164421,1.933091,[109  45] ; [25 17],[105.28571429  48.71428571] ; [28.71428571 13.28571429],0
n2,1,0.172831,1.858217,[24 10] ; [10  1],[25.68888889  8.31111111] ; [8.31111111 2.68888889],0
b2,1,0.183186,1.771587,[25 63] ; [ 3 18],[22.60550459 65.39449541] ; [ 5.39449541 15.60550459],0
b3,1,0.183186,1.771587,[25 63] ; [ 3 18],[22.60550459 65.39449541] ; [ 5.39449541 15.60550459],0
s6,1,0.238188,1.391289,[93 59] ; [22 21],[89.64102564 62.35897436] ; [25.35897436 17.64102564],0
a8,1,0.313211,1.017088,[ 22 121] ; [ 4 39],[ 19.98924731 123.01075269] ; [ 6.01075269 36.98924731],0
b5,1,0.32581,0.965479,[88 67] ; [28 15],[90.80808081 64.19191919] ; [25.19191919 17.80808081],0
u4,1,0.329557,0.950638,[  1 154] ; [ 1 42],[  1.56565657 153.43434343] ; [ 0.43434343 42.56565657],0
s3,1,0.339203,0.913443,[85 67] ; [20 22],[82.26804124 69.73195876] ; [22.73195876 19.26804124],0
p1,1,0.346042,0.887919,[ 14 140] ; [ 2 41],[ 12.50761421 141.49238579] ; [ 3.49238579 39.50761421],0
v3,1,0.357531,0.846549,[52 99] ; [11 30],[ 49.546875 101.453125] ; [13.453125 27.546875],0
n6,1,0.395545,0.721828,[127  27] ; [33 10],[125.07614213  28.92385787] ; [34.92385787  8.07614213],0
n1,1,0.39596,0.720559,[14 21] ; [6 5],[15.2173913 19.7826087] ; [4.7826087 6.2173913],0
