Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,153.84935,[372  40] ; [57 86],[318.46486486  93.53513514] ; [110.53513514  32.46486486],1
n6,1,0.0,45.51162,[370  40] ; [94 48],[344.63768116  65.36231884] ; [119.36231884  22.63768116],1
v1,1,5e-06,20.992712,[245 160] ; [52 85],[221.92804428 183.07195572] ; [75.07195572 61.92804428],1
p4,1,6e-06,20.578479,[277 131] ; [66 76],[254.44363636 153.55636364] ; [88.55636364 53.44363636],1
p10,1,1.8e-05,18.384402,[349  58] ; [98 43],[331.98722628  75.01277372] ; [115.01277372  25.98722628],1
s7,1,6.9e-05,15.831522,[211 177] ; [47 89],[191.03816794 196.96183206] ; [66.96183206 69.03816794],1
p11,1,0.000128,14.676867,[335  77] ; [94 49],[318.46486486  93.53513514] ; [110.53513514  32.46486486],1
p3,1,0.000865,11.095857,[219 190] ; [53 89],[201.90199637 207.09800363] ; [70.09800363 71.90199637],1
a2,1,0.000972,10.88074,[148 264] ; [ 30 113],[132.13693694 279.86306306] ; [45.86306306 97.13693694],1
s2,1,0.000993,10.840398,[227 177] ; [57 85],[210.13919414 193.86080586] ; [73.86080586 68.13919414],1
n1,1,0.000993,10.840157,[36 37] ; [ 8 35],[27.68965517 45.31034483] ; [16.31034483 26.68965517],1
a4,1,0.001315,10.322009,[213 197] ; [52 91],[196.47377939 213.52622061] ; [68.52622061 74.47377939],0
p6,1,0.001494,10.08637,[164 241] ; [ 36 105],[148.35164835 256.64835165] ; [51.64835165 89.35164835],0
s6,1,0.001496,10.083603,[294 110] ; [83 59],[278.95238095 125.04761905] ; [98.04761905 43.95238095],0
p9,1,0.001617,9.940026,[352  52] ; [107  34],[340.24954128  63.75045872] ; [118.75045872  22.24954128],0
v3,1,0.001795,9.748529,[176 218] ; [40 96],[160.57358491 233.42641509] ; [55.42641509 80.57358491],0
n2,1,0.002691,9.005903,[62 13] ; [24 18],[55.12820513 19.87179487] ; [30.87179487 11.12820513],0
p8,1,0.003391,8.584304,[235 166] ; [63 79],[220.06998158 180.93001842] ; [77.93001842 64.06998158],0
s8,1,0.003525,8.513496,[193 212] ; [48 95],[178.11131387 226.88868613] ; [62.88868613 80.11131387],0
p5,1,0.004587,8.035326,[ 56 352] ; [  7 135],[ 46.73454545 361.26545455] ; [ 16.26545455 125.73454545],0
u1,1,0.004808,7.950337,[115 297] ; [ 23 120],[102.44324324 309.55675676] ; [ 35.55675676 107.44324324],0
a8,1,0.00573,7.633321,[ 64 295] ; [ 10 120],[ 54.32719836 304.67280164] ; [ 19.67280164 110.32719836],0
d2,1,0.007344,7.186939,[222 187] ; [59 84],[208.20471014 200.79528986] ; [72.79528986 70.20471014],0
p7,1,0.007938,7.047417,[268 129] ; [77 63],[255.05586592 141.94413408] ; [89.94413408 50.05586592],0
r4,1,0.007998,7.033958,[401  11] ; [132  11],[395.66846847  16.33153153] ; [137.33153153   5.66846847],0
s3,1,0.01103,6.460541,[240 161] ; [67 74],[227.13468635 173.86531365] ; [79.86531365 61.13468635],0
a3,1,0.01105,6.457233,[310  98] ; [93 50],[298.41016334 109.58983666] ; [104.58983666  38.41016334],0
a5,1,0.016003,5.802495,[331  81] ; [101  42],[320.69189189  91.30810811] ; [111.30810811  31.69189189],0
p12,1,0.029616,4.731442,[ 42 368] ; [  6 135],[ 35.7168784 374.2831216] ; [ 12.2831216 128.7168784],0
v4,1,0.040395,4.2012,[402   9] ; [134   8],[398.36528029  12.63471971] ; [137.63471971   4.36528029],0
b2,1,0.051314,3.798005,[ 92 160] ; [18 56],[ 85.03067485 166.96932515] ; [24.96932515 49.03067485],0
b3,1,0.051314,3.798005,[ 92 160] ; [18 56],[ 85.03067485 166.96932515] ; [24.96932515 49.03067485],0
s5,1,0.070397,3.273748,[138 260] ; [ 36 101],[129.44299065 268.55700935] ; [44.55700935 92.44299065],0
a6,1,0.111765,2.529084,[329  80] ; [106  37],[322.30978261  86.69021739] ; [112.69021739  30.30978261],0
d1,1,0.13834,2.196323,[276 136] ; [86 57],[268.72792793 143.27207207] ; [93.27207207 49.72792793],0
b4,1,0.139837,2.179755,[239 173] ; [93 50],[246.45765766 165.54234234] ; [85.54234234 57.45765766],0
p1,1,0.179014,1.805794,[ 42 368] ; [  9 131],[ 38.01818182 371.98181818] ; [ 12.98181818 127.01818182],0
s4,1,0.18108,1.788736,[ 57 345] ; [ 27 116],[ 61.95963303 340.04036697] ; [ 22.04036697 120.95963303],0
a1,1,0.184368,1.762057,[ 19 393] ; [  3 140],[ 16.33153153 395.66846847] ; [  5.66846847 137.33153153],0
b1,1,0.186698,1.743482,[155 257] ; [45 98],[148.46846847 263.53153153] ; [51.53153153 91.46846847],0
r2,1,0.191358,1.70713,[403   9] ; [135   6],[400.82459313  11.17540687] ; [137.17540687   3.82459313],0
v2,1,0.29799,1.083169,[247 148] ; [77 57],[241.92816635 153.07183365] ; [82.07183365 51.92816635],0
b5,1,0.366344,0.816027,[268 144] ; [87 56],[263.53153153 148.46846847] ; [91.46846847 51.53153153],0
p2,1,0.414433,0.666047,[350  61] ; [116  25],[346.9673913  64.0326087] ; [119.0326087  21.9673913],0
d5,1,0.430092,0.622575,[347  63] ; [117  26],[344.01446655  65.98553345] ; [119.98553345  23.01446655],0
d4,1,0.458147,0.550417,[348  62] ; [125  18],[350.68716094  59.31283906] ; [122.31283906  20.68716094],0
r3,1,0.853771,0.03397,[396  13] ; [138   5],[395.66304348  13.33695652] ; [138.33695652   4.66304348],0
d3,1,0.864569,0.029091,[327  83] ; [115  28],[327.7034358  82.2965642] ; [114.2965642  28.7034358],0
s1,1,0.876225,0.02426,[ 13 390] ; [  5 138],[ 13.28571429 389.71428571] ; [  4.71428571 138.28571429],0
u3,1,0.905878,0.013981,[67 35] ; [32 16],[67.32 34.68] ; [31.68 16.32],0
u2,1,0.954647,0.003234,[60 42] ; [28 20],[59.84 42.16] ; [28.16 19.84],0
