Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,39.837693,[47 30] ; [296  33],[65.05172414 11.94827586] ; [277.94827586  51.05172414],1
p9,1,0.0,36.54753,[52 24] ; [307  23],[67.20197044  8.79802956] ; [291.79802956  38.20197044],1
n6,1,1e-06,24.003195,[52 25] ; [297  35],[65.70415648 11.29584352] ; [283.29584352  48.70415648],1
p8,1,4e-06,21.149481,[28 50] ; [210 116],[45.95049505 32.04950495] ; [192.04950495 133.95049505],1
p7,1,4.4e-05,16.685828,[38 38] ; [239  84],[52.76190476 23.23809524] ; [224.23809524  98.76190476],1
r4,1,0.000113,14.911857,[64 16] ; [313  21],[72.85024155  7.14975845] ; [304.14975845  29.85024155],1
n5,1,0.000172,14.109466,[51 28] ; [277  55],[63.04622871 15.95377129] ; [264.95377129  67.04622871],1
p4,1,0.000213,13.714269,[38 41] ; [232  99],[52.02439024 26.97560976] ; [217.97560976 113.02439024],1
r3,1,0.001363,10.25478,[71  8] ; [326   8],[75.93946731  3.06053269] ; [321.06053269  12.93946731],0
n4,1,0.001574,9.989524,[53 26] ; [277  57],[63.12348668 15.87651332] ; [266.87651332  67.12348668],0
b1,1,0.00168,9.869517,[43 37] ; [116 218],[30.72463768 49.27536232] ; [128.27536232 205.72463768],0
s1,1,0.002452,9.176196,[ 6 72] ; [  5 325],[ 2.10294118 75.89705882] ; [  8.89705882 321.10294118],0
v4,1,0.006569,7.387059,[73  7] ; [324   8],[77.08737864  2.91262136] ; [319.91262136  12.08737864],0
p2,1,0.007447,7.161865,[61 17] ; [296  35],[68.08312958  9.91687042] ; [288.91687042  42.08312958],0
v2,1,0.030106,4.703233,[47 31] ; [235  88],[54.85286783 23.14713217] ; [227.14713217  95.85286783],0
a5,1,0.033313,4.529609,[56 24] ; [270  64],[62.99516908 17.00483092] ; [263.00483092  70.99516908],0
b5,1,0.056952,3.623999,[58 22] ; [204 130],[50.62801932 29.37198068] ; [211.37198068 122.62801932],0
v3,1,0.064833,3.40921,[32 45] ; [171 150],[39.27386935 37.72613065] ; [163.72613065 157.27386935],0
b3,1,0.083439,2.996611,[12 26] ; [105 120],[16.90494297 21.09505703] ; [100.09505703 124.90494297],0
b2,1,0.083439,2.996611,[12 26] ; [105 120],[16.90494297 21.09505703] ; [100.09505703 124.90494297],0
p6,1,0.103695,2.647776,[27 49] ; [148 175],[33.33333333 42.66666667] ; [141.66666667 181.33333333],0
p3,1,0.147235,2.100669,[38 39] ; [194 138],[43.67726161 33.32273839] ; [188.32273839 143.67726161],0
d1,1,0.151772,2.054351,[52 28] ; [244  90],[57.19806763 22.80193237] ; [238.80193237  95.19806763],0
a3,1,0.169781,1.884873,[57 22] ; [264  69],[61.55097087 17.44902913] ; [259.44902913  73.55097087],0
p12,1,0.184265,1.762884,[ 5 73] ; [ 38 291],[ 8.24078624 69.75921376] ; [ 34.75921376 294.24078624],0
a6,1,0.196426,1.668754,[50 30] ; [233 100],[54.81840194 25.18159806] ; [228.18159806 104.81840194],0
p5,1,0.2173,1.522116,[ 8 70] ; [ 52 278],[11.47058824 66.52941176] ; [ 48.52941176 281.47058824],0
r2,1,0.224937,1.472591,[74  6] ; [316  14],[76.09756098  3.90243902] ; [313.90243902  16.09756098],0
a4,1,0.25717,1.283926,[46 34] ; [168 165],[41.4527845 38.5472155] ; [172.5472155 160.4527845],0
s8,1,0.297103,1.087154,[36 42] ; [175 157],[40.14146341 37.85853659] ; [170.85853659 161.14146341],0
a8,1,0.341536,0.904659,[ 8 62] ; [ 48 253],[10.56603774 59.43396226] ; [ 45.43396226 255.56603774],0
s3,1,0.36414,0.823566,[42 38] ; [190 137],[45.6019656 34.3980344] ; [186.3980344 140.6019656],0
u2,1,0.389187,0.741481,[11 10] ; [44 26],[12.69230769  8.30769231] ; [42.30769231 27.69230769],0
b4,1,0.399681,0.709286,[45 35] ; [205 129],[48.30917874 31.69082126] ; [201.69082126 132.30917874],0
d5,1,0.403064,0.699167,[69 11] ; [299  35],[71.11111111  8.88888889] ; [296.88888889  37.11111111],0
r1,1,0.423721,0.639971,[64 15] ; [282  51],[66.34466019 12.65533981] ; [279.65533981  53.34466019],0
s6,1,0.441179,0.593214,[58 18] ; [236  92],[55.30693069 20.69306931] ; [238.69306931  89.30693069],0
n2,1,0.463291,0.537931,[18  8] ; [40 12],[19.33333333  6.66666667] ; [38.66666667 13.33333333],0
a2,1,0.473772,0.513165,[25 55] ; [ 91 243],[22.41545894 57.58454106] ; [ 93.58454106 240.41545894],0
s4,1,0.486228,0.484862,[14 65] ; [ 48 281],[12.00490196 66.99509804] ; [ 49.99509804 279.00490196],0
a1,1,0.541254,0.37322,[ 6 74] ; [ 19 315],[ 4.83091787 75.16908213] ; [ 20.16908213 313.83091787],0
a7,1,0.593253,0.285292,[56 24] ; [243  90],[57.91767554 22.08232446] ; [241.08232446  91.91767554],0
n3,1,0.613644,0.254902,[18  8] ; [33 19],[17.  9.] ; [34. 18.],0
s2,1,0.648264,0.208096,[47 32] ; [187 143],[45.19804401 33.80195599] ; [188.80195599 141.19804401],0
d2,1,0.687378,0.161938,[45 35] ; [179 154],[43.38983051 36.61016949] ; [180.61016949 152.38983051],0
u4,1,0.714747,0.133582,[ 2 78] ; [ 11 323],[ 2.51207729 77.48792271] ; [ 10.48792271 323.51207729],0
n1,1,0.746755,0.104278,[12 14] ; [22 30],[11.33333333 14.66666667] ; [22.66666667 29.33333333],0
d3,1,0.849154,0.036175,[61 19] ; [258  76],[61.64251208 18.35748792] ; [257.35748792  76.64251208],0
p1,1,0.879923,0.022821,[ 6 73] ; [ 27 306],[ 6.3276699 72.6723301] ; [ 26.6723301 306.3276699],0
s5,1,0.938876,0.00588,[31 42] ; [136 188],[30.70780856 42.29219144] ; [136.29219144 187.70780856],0
s7,1,0.94891,0.004106,[39 33] ; [172 148],[38.75510204 33.24489796] ; [172.24489796 147.75510204],0
u1,1,0.961076,0.002382,[18 62] ; [ 76 258],[18.16425121 61.83574879] ; [ 75.83574879 258.16425121],0
u3,1,0.965288,0.001894,[15  8] ; [46 24],[15.08602151  7.91397849] ; [45.91397849 24.08602151],0
