Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,39.288339,[ 26 117] ; [81 71],[51.86779661 91.13220339] ; [55.13220339 96.86779661],1
v1,1,8e-06,19.906217,[ 41 101] ; [82 68],[59.81506849 82.18493151] ; [63.18493151 86.81506849],1
r1,1,0.000231,13.563578,[90 53] ; [127  28],[104.13087248  38.86912752] ; [112.86912752  42.13087248],1
r3,1,0.000637,11.664912,[126  17] ; [151   3],[133.37037037   9.62962963] ; [143.62962963  10.37037037],1
p10,1,0.00106,10.719852,[91 51] ; [124  29],[103.49152542  38.50847458] ; [111.50847458  41.49152542],0
s8,1,0.003028,8.790676,[ 38 104] ; [67 88],[50.2020202 91.7979798] ; [ 54.7979798 100.2020202],0
d4,1,0.003177,8.702982,[101  43] ; [130  24],[111.62416107  32.37583893] ; [119.37583893  34.62416107],0
r2,1,0.006001,7.550148,[128  15] ; [148   4],[133.78983051   9.21016949] ; [142.21016949   9.78983051],0
p7,1,0.006616,7.374257,[57 83] ; [85 65],[68.55172414 71.44827586] ; [73.44827586 76.55172414],0
a7,1,0.011105,6.448501,[83 60] ; [111  43],[93.40740741 49.59259259] ; [100.59259259  53.40740741],0
p9,1,0.014001,6.037997,[98 39] ; [127  25],[106.66089965  30.33910035] ; [118.33910035  33.66089965],0
d1,1,0.01735,5.660613,[61 83] ; [87 68],[71.27759197 72.72240803] ; [76.72240803 78.27759197],0
s2,1,0.021487,5.286871,[49 94] ; [73 81],[58.74074074 84.25925926] ; [63.25925926 90.74074074],0
p3,1,0.02358,5.12527,[ 24 119] ; [ 43 112],[ 32.15100671 110.84899329] ; [ 34.84899329 120.15100671],0
d3,1,0.025486,4.990574,[74 69] ; [100  55],[83.4966443 59.5033557] ; [90.5033557 64.4966443],0
p5,1,0.031647,4.617505,[ 10 132] ; [  3 152],[  6.21548822 135.78451178] ; [  6.78451178 148.21548822],0
s7,1,0.039331,4.246492,[46 94] ; [67 83],[54.55172414 85.44827586] ; [58.44827586 91.55172414],0
s3,1,0.050254,3.832948,[59 83] ; [81 72],[67.38983051 74.61016949] ; [72.61016949 80.38983051],0
v4,1,0.050655,3.81965,[128  15] ; [147   7],[132.40740741  10.59259259] ; [142.59259259  11.40740741],0
d5,1,0.061073,3.507998,[100  43] ; [123  32],[107.01006711  35.98993289] ; [115.98993289  39.01006711],0
r4,1,0.080953,3.045661,[118  26] ; [138  17],[123.2909699  20.7090301] ; [132.7090301  22.2909699],0
n4,1,0.092382,2.832364,[96 48] ; [117  38],[102.5819398  41.4180602] ; [110.4180602  44.5819398],0
