Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,38.416482,[39  6] ; [20 52],[22.69230769 22.30769231] ; [36.30769231 35.69230769],1
s7,1,1e-06,24.153416,[32 12] ; [17 50],[19.42342342 24.57657658] ; [29.57657658 37.42342342],1
s6,1,6e-05,16.116682,[40  6] ; [36 35],[29.88034188 16.11965812] ; [46.11965812 24.88034188],1
s8,1,0.000121,14.77473,[27 19] ; [17 55],[17.15254237 28.84745763] ; [26.84745763 45.15254237],1
s4,1,0.006645,7.366634,[13 32] ; [ 7 66],[ 7.62711864 37.37288136] ; [12.37288136 60.62711864],0
s5,1,0.014375,5.991526,[18 28] ; [13 57],[12.29310345 33.70689655] ; [18.70689655 51.29310345],0
n6,1,0.031144,4.644986,[41  5] ; [53 20],[36.33613445  9.66386555] ; [57.66386555 15.33613445],0
u1,1,0.052418,3.762371,[ 4 42] ; [ 1 72],[ 1.93277311 44.06722689] ; [ 3.06722689 69.93277311],0
p10,1,0.072465,3.226277,[38  8] ; [48 23],[33.81196581 12.18803419] ; [52.18803419 18.81196581],0
d5,1,0.100648,2.695239,[26 20] ; [30 43],[21.64705882 24.35294118] ; [34.35294118 38.64705882],0
d1,1,0.148196,2.090723,[ 4 42] ; [ 2 71],[ 2.31932773 43.68067227] ; [ 3.68067227 69.31932773],0
s1,1,0.164265,1.934518,[ 5 41] ; [ 3 68],[ 3.14529915 42.85470085] ; [ 4.85470085 66.14529915],0
p12,1,0.16716,1.908231,[ 1 45] ; [ 6 66],[ 2.72881356 43.27118644] ; [ 4.27118644 67.72881356],0
p3,1,0.171641,1.86855,[17 28] ; [37 36],[20.59322034 24.40677966] ; [33.40677966 39.59322034],0
r2,1,0.172314,1.862697,[45  1] ; [67  6],[43.29411765  2.70588235] ; [68.70588235  4.29411765],0
u2,1,0.210083,1.570854,[ 6 12] ; [18 17],[8.1509434 9.8490566] ; [15.8490566 19.1509434],0
p6,1,0.2162,1.529414,[18 28] ; [20 51],[14.94017094 31.05982906] ; [23.05982906 47.94017094],0
d2,1,0.249316,1.327133,[13 33] ; [14 59],[10.43697479 35.56302521] ; [16.56302521 56.43697479],0
p9,1,0.348031,0.880622,[36 10] ; [50 21],[33.81196581 12.18803419] ; [52.18803419 18.81196581],0
p8,1,0.36073,0.835351,[20 26] ; [36 33],[22.4 23.6] ; [33.6 35.4],0
a6,1,0.3911,0.735518,[26 20] ; [47 26],[28.21848739 17.78151261] ; [44.78151261 28.21848739],0
p1,1,0.394886,0.723844,[ 9 37] ; [10 63],[ 7.34453782 38.65546218] ; [11.65546218 61.34453782],0
r4,1,0.41151,0.674435,[44  2] ; [67  6],[42.90756303  3.09243697] ; [68.09243697  4.90756303],0
r3,1,0.415767,0.662251,[43  3] ; [65  8],[41.74789916  4.25210084] ; [66.25210084  6.74789916],0
p2,1,0.432535,0.616006,[33 13] ; [57 16],[34.78991597 11.21008403] ; [55.21008403 17.78991597],0
a3,1,0.433651,0.613025,[28 18] ; [38 33],[25.94871795 20.05128205] ; [40.05128205 30.94871795],0
a8,1,0.498251,0.458659,[ 6 35] ; [ 7 61],[ 4.88990826 36.11009174] ; [ 8.11009174 59.88990826],0
p5,1,0.513701,0.426522,[ 7 39] ; [ 8 64],[ 5.84745763 40.15254237] ; [ 9.15254237 62.84745763],0
n3,1,0.554915,0.348586,[11  2] ; [16  5],[10.32352941  2.67647059] ; [16.67647059  4.32352941],0
b5,1,0.566697,0.32824,[24 22] ; [42 31],[25.51260504 20.48739496] ; [40.48739496 32.51260504],0
a4,1,0.601408,0.272877,[13 33] ; [17 54],[11.79487179 34.20512821] ; [18.20512821 52.79487179],0
n4,1,0.601594,0.272598,[34 12] ; [57 16],[35.17647059 10.82352941] ; [55.82352941 17.17647059],0
p11,1,0.601594,0.272598,[34 12] ; [57 16],[35.17647059 10.82352941] ; [55.82352941 17.17647059],0
b3,1,0.604815,0.267795,[ 7 24] ; [12 31],[ 7.95945946 23.04054054] ; [11.04054054 31.95945946],0
b2,1,0.604815,0.267795,[ 7 24] ; [12 31],[ 7.95945946 23.04054054] ; [11.04054054 31.95945946],0
